TimeStamp,AccX_0,AccY_0,AccZ_0,GyrX_0,GyrY_0,GyrZ_0,AccX_1,AccY_1,AccZ_1,GyrX_1,GyrY_1,GyrZ_1,AccX_2,AccY_2,AccZ_2,GyrX_2,GyrY_2,GyrZ_2,AccX_3,AccY_3,AccZ_3,GyrX_3,GyrY_3,GyrZ_3,AccX_4,AccY_4,AccZ_4,GyrX_4,GyrY_4,GyrZ_4,AccX_5,AccY_5,AccZ_5,GyrX_5,GyrY_5,GyrZ_5,AccX_6,AccY_6,AccZ_6,GyrX_6,GyrY_6,GyrZ_6,AccX_7,AccY_7,AccZ_7,GyrX_7,GyrY_7,GyrZ_7,AccX_8,AccY_8,AccZ_8,GyrX_8,GyrY_8,GyrZ_8,AccX_9,AccY_9,AccZ_9,GyrX_9,GyrY_9,GyrZ_9,AccX_10,AccY_10,AccZ_10,GyrX_10,GyrY_10,GyrZ_10,AccX_11,AccY_11,AccZ_11,GyrX_11,GyrY_11,GyrZ_11,AccX_12,AccY_12,AccZ_12,GyrX_12,GyrY_12,GyrZ_12,AccX_13,AccY_13,AccZ_13,GyrX_13,GyrY_13,GyrZ_13,AccX_14,AccY_14,AccZ_14,GyrX_14,GyrY_14,GyrZ_14,AccX_15,AccY_15,AccZ_15,GyrX_15,GyrY_15,GyrZ_15,AccX_16,AccY_16,AccZ_16,GyrX_16,GyrY_16,GyrZ_16,AccX_17,AccY_17,AccZ_17,GyrX_17,GyrY_17,GyrZ_17,AccX_18,AccY_18,AccZ_18,GyrX_18,GyrY_18,GyrZ_18,AccX_19,AccY_19,AccZ_19,GyrX_19,GyrY_19,GyrZ_19,AccX_20,AccY_20,AccZ_20,GyrX_20,GyrY_20,GyrZ_20,AccX_21,AccY_21,AccZ_21,GyrX_21,GyrY_21,GyrZ_21,AccX_22,AccY_22,AccZ_22,GyrX_22,GyrY_22,GyrZ_22,AccX_23,AccY_23,AccZ_23,GyrX_23,GyrY_23,GyrZ_23,AccX_24,AccY_24,AccZ_24,GyrX_24,GyrY_24,GyrZ_24,AccX_25,AccY_25,AccZ_25,GyrX_25,GyrY_25,GyrZ_25,AccX_26,AccY_26,AccZ_26,GyrX_26,GyrY_26,GyrZ_26,AccX_27,AccY_27,AccZ_27,GyrX_27,GyrY_27,GyrZ_27,AccX_28,AccY_28,AccZ_28,GyrX_28,GyrY_28,GyrZ_28,AccX_29,AccY_29,AccZ_29,GyrX_29,GyrY_29,GyrZ_29,Label
0,-16.0,36.0,-257.0,-12.0,-16.0,22.0,-19.0,38.0,-258.0,-14.0,3.0,13.0,-18.0,36.0,-258.0,-46.0,14.0,3.0,-19.0,35.0,-257.0,-25.0,-1.0,6.0,-18.0,37.0,-258.0,-15.0,-5.0,6.0,-15.0,34.0,-258.0,-11.0,-6.0,0.0,-19.0,37.0,-259.0,-54.0,-30.0,12.0,-23.0,36.0,-254.0,-22.0,-5.0,8.0,-24.0,39.0,-258.0,-5.0,29.0,3.0,-18.0,36.0,-260.0,-39.0,6.0,1.0,-19.0,34.0,-258.0,-15.0,2.0,3.0,-18.0,36.0,-258.0,7.0,1.0,5.0,-20.0,37.0,-258.0,-16.0,6.0,20.0,-20.0,37.0,-260.0,-10.0,-1.0,12.0,-22.0,37.0,-257.0,-21.0,6.0,13.0,-21.0,36.0,-258.0,-31.0,14.0,8.0,-22.0,35.0,-258.0,-50.0,-7.0,25.0,-22.0,35.0,-259.0,-29.0,9.0,1.0,-24.0,34.0,-256.0,-20.0,13.0,-3.0,-19.0,35.0,-257.0,-9.0,-16.0,9.0,-20.0,34.0,-257.0,-21.0,-7.0,1.0,-21.0,33.0,-255.0,-22.0,7.0,0.0,-22.0,36.0,-257.0,-6.0,26.0,14.0,-24.0,36.0,-255.0,-23.0,53.0,23.0,-22.0,32.0,-256.0,-55.0,56.0,14.0,-17.0,36.0,-265.0,-29.0,-2.0,18.0,-23.0,34.0,-258.0,-57.0,-18.0,11.0,-23.0,30.0,-256.0,-23.0,35.0,5.0,-17.0,37.0,-260.0,-11.0,12.0,9.0,-17.0,38.0,-258.0,-62.0,3.0,10.0,TILT_L,
30,-21.0,31.0,-257.0,-35.0,17.0,-12.0,-21.0,35.0,-258.0,-11.0,8.0,7.0,-21.0,34.0,-259.0,-41.0,-14.0,20.0,-22.0,32.0,-257.0,-40.0,3.0,16.0,-22.0,33.0,-257.0,-22.0,13.0,2.0,-21.0,33.0,-252.0,0.0,64.0,16.0,-25.0,27.0,-229.0,-23.0,295.0,80.0,-14.0,11.0,-196.0,-74.0,981.0,15.0,29.0,23.0,-205.0,-264.0,1910.0,-11.0,94.0,29.0,-163.0,-551.0,2691.0,24.0,178.0,59.0,-149.0,-1091.0,3439.0,239.0,243.0,84.0,-143.0,-127.0,3368.0,608.0,292.0,59.0,-137.0,-315.0,3002.0,492.0,334.0,120.0,-156.0,-114.0,2301.0,315.0,346.0,80.0,-143.0,-228.0,1480.0,-120.0,333.0,57.0,-141.0,-184.0,532.0,-193.0,313.0,47.0,-152.0,-238.0,-305.0,-171.0,308.0,60.0,-146.0,-69.0,-989.0,-62.0,301.0,79.0,-150.0,-6.0,-1646.0,-100.0,322.0,82.0,-148.0,165.0,-2540.0,-84.0,302.0,106.0,-179.0,-105.0,-3348.0,-257.0,255.0,82.0,-189.0,429.0,-3748.0,-286.0,175.0,64.0,-191.0,292.0,-3558.0,-377.0,75.0,64.0,-181.0,429.0,-3055.0,-320.0,1.0,49.0,-184.0,412.0,-2102.0,-380.0,-52.0,43.0,-198.0,175.0,-1061.0,-357.0,-65.0,17.0,-190.0,37.0,-432.0,-218.0,-73.0,38.0,-225.0,88.0,-38.0,-95.0,-82.0,12.0,-231.0,-27.0,31.0,-65.0,-80.0,41.0,-250.0,199.0,7.0,-9.0,TILT_L,
60,-82.0,24.0,-244.0,-57.0,54.0,-54.0,-78.0,23.0,-235.0,9.0,77.0,-26.0,-77.0,31.0,-241.0,-44.0,109.0,-38.0,-71.0,25.0,-245.0,12.0,91.0,-25.0,-74.0,26.0,-249.0,-6.0,106.0,-13.0,-76.0,18.0,-235.0,-105.0,195.0,-14.0,-74.0,28.0,-195.0,-254.0,634.0,-71.0,-41.0,38.0,-195.0,-411.0,1673.0,-152.0,3.0,-3.0,-150.0,-540.0,2436.0,-43.0,101.0,74.0,-184.0,-1333.0,3324.0,230.0,192.0,85.0,-120.0,-1374.0,3884.0,448.0,282.0,152.0,-158.0,-623.0,4082.0,755.0,359.0,138.0,-161.0,-263.0,3226.0,510.0,356.0,103.0,-141.0,-210.0,2081.0,220.0,325.0,100.0,-141.0,-455.0,885.0,162.0,314.0,89.0,-131.0,-374.0,-286.0,88.0,267.0,93.0,-128.0,-127.0,-677.0,-32.0,283.0,99.0,-130.0,236.0,-927.0,-101.0,319.0,81.0,-88.0,87.0,-1734.0,-123.0,313.0,111.0,-142.0,210.0,-2629.0,-220.0,275.0,116.0,-192.0,138.0,-3249.0,-411.0,237.0,113.0,-188.0,361.0,-3354.0,-496.0,144.0,102.0,-221.0,663.0,-2928.0,-587.0,82.0,61.0,-187.0,902.0,-2700.0,-272.0,6.0,41.0,-187.0,554.0,-1975.0,-231.0,-35.0,56.0,-210.0,492.0,-1255.0,-280.0,-56.0,37.0,-220.0,295.0,-683.0,-186.0,-75.0,14.0,-226.0,66.0,-341.0,-102.0,-83.0,21.0,-239.0,123.0,-152.0,-38.0,-93.0,5.0,-226.0,-128.0,-32.0,16.0,TILT_L,
90,-92.0,23.0,-232.0,-41.0,153.0,6.0,-78.0,30.0,-244.0,74.0,150.0,28.0,-79.0,30.0,-254.0,46.0,83.0,-29.0,-79.0,9.0,-239.0,-17.0,83.0,-21.0,-74.0,21.0,-230.0,-31.0,223.0,-16.0,-71.0,16.0,-202.0,-141.0,702.0,-15.0,-47.0,9.0,-167.0,-353.0,1887.0,-123.0,28.0,22.0,-179.0,-404.0,2882.0,-58.0,120.0,60.0,-191.0,-815.0,3476.0,42.0,198.0,35.0,-124.0,-1031.0,3891.0,202.0,298.0,139.0,-142.0,-333.0,3785.0,380.0,322.0,66.0,-159.0,-271.0,2919.0,244.0,349.0,102.0,-155.0,-506.0,1812.0,158.0,348.0,62.0,-155.0,-355.0,695.0,134.0,334.0,34.0,-130.0,-974.0,-593.0,86.0,286.0,62.0,-115.0,-484.0,-999.0,29.0,278.0,55.0,-128.0,-195.0,-1318.0,32.0,272.0,97.0,-181.0,189.0,-1558.0,-110.0,299.0,96.0,-168.0,436.0,-2304.0,-204.0,269.0,92.0,-193.0,183.0,-2897.0,-331.0,219.0,98.0,-198.0,744.0,-3144.0,-417.0,134.0,46.0,-192.0,734.0,-3127.0,-242.0,76.0,52.0,-185.0,739.0,-2810.0,-88.0,-16.0,37.0,-187.0,209.0,-1877.0,-210.0,-55.0,15.0,-186.0,274.0,-922.0,-260.0,-60.0,9.0,-210.0,78.0,-249.0,-183.0,-64.0,9.0,-244.0,108.0,-47.0,-78.0,-65.0,5.0,-250.0,23.0,-93.0,-13.0,-69.0,5.0,-247.0,-43.0,-84.0,-32.0,-74.0,5.0,-243.0,6.0,46.0,-46.0,TILT_L,
120,-67.0,16.0,-244.0,-21.0,234.0,-49.0,-64.0,0.0,-234.0,-106.0,313.0,-72.0,-60.0,7.0,-229.0,-147.0,551.0,-66.0,-48.0,9.0,-186.0,-454.0,1186.0,-78.0,-5.0,9.0,-192.0,-434.0,1953.0,-42.0,60.0,22.0,-213.0,-527.0,2574.0,-71.0,131.0,37.0,-190.0,-436.0,2928.0,111.0,199.0,56.0,-147.0,-715.0,3271.0,141.0,251.0,67.0,-145.0,-545.0,3547.0,214.0,323.0,75.0,-142.0,93.0,3100.0,86.0,342.0,83.0,-97.0,-185.0,2431.0,-76.0,343.0,72.0,-128.0,-367.0,1585.0,-35.0,334.0,61.0,-103.0,-274.0,365.0,-25.0,302.0,51.0,-94.0,-315.0,-572.0,17.0,305.0,66.0,-128.0,-46.0,-1261.0,67.0,319.0,94.0,-154.0,254.0,-1884.0,7.0,328.0,86.0,-142.0,307.0,-2801.0,7.0,318.0,95.0,-194.0,363.0,-3543.0,-92.0,267.0,69.0,-183.0,450.0,-3826.0,-145.0,159.0,51.0,-199.0,426.0,-3413.0,-207.0,73.0,7.0,-192.0,598.0,-2648.0,-181.0,11.0,16.0,-193.0,557.0,-1822.0,-203.0,-24.0,15.0,-211.0,346.0,-1106.0,-224.0,-52.0,8.0,-213.0,321.0,-671.0,-191.0,-69.0,-10.0,-207.0,-221.0,-234.0,-109.0,-70.0,11.0,-227.0,84.0,67.0,-43.0,-66.0,-7.0,-238.0,6.0,155.0,0.0,-65.0,-6.0,-249.0,-162.0,145.0,49.0,-65.0,6.0,-250.0,77.0,71.0,52.0,-67.0,2.0,-249.0,-120.0,87.0,26.0,TILT_L,
150,-64.0,2.0,-255.0,46.0,75.0,4.0,-65.0,4.0,-255.0,-53.0,56.0,-6.0,-64.0,-1.0,-244.0,-144.0,76.0,-23.0,-57.0,5.0,-237.0,-61.0,128.0,-17.0,-61.0,11.0,-240.0,-174.0,337.0,-51.0,-52.0,-7.0,-224.0,-138.0,426.0,35.0,-40.0,16.0,-211.0,-425.0,999.0,-57.0,-2.0,11.0,-172.0,-833.0,1988.0,-165.0,65.0,22.0,-161.0,-544.0,2798.0,-80.0,150.0,46.0,-170.0,-640.0,3521.0,93.0,259.0,83.0,-152.0,-610.0,3955.0,186.0,321.0,97.0,-137.0,-166.0,3695.0,212.0,357.0,61.0,-140.0,-256.0,2826.0,78.0,361.0,68.0,-141.0,248.0,1575.0,25.0,342.0,32.0,-151.0,-435.0,374.0,80.0,318.0,45.0,-132.0,-252.0,-467.0,36.0,310.0,53.0,-118.0,-270.0,-1090.0,118.0,329.0,36.0,-116.0,-300.0,-2011.0,184.0,332.0,70.0,-175.0,21.0,-2832.0,82.0,316.0,90.0,-191.0,188.0,-3496.0,-28.0,239.0,78.0,-203.0,319.0,-3585.0,-110.0,159.0,18.0,-208.0,319.0,-3499.0,-117.0,55.0,36.0,-163.0,595.0,-3080.0,-22.0,-1.0,14.0,-174.0,484.0,-1945.0,-83.0,-50.0,41.0,-202.0,569.0,-1065.0,-115.0,-66.0,-25.0,-191.0,224.0,-529.0,-94.0,-72.0,18.0,-227.0,-118.0,-167.0,-75.0,-81.0,-15.0,-229.0,-20.0,-33.0,-17.0,-82.0,5.0,-248.0,44.0,38.0,-32.0,-81.0,-5.0,-245.0,-79.0,72.0,-34.0,TILT_L,
180,-81.0,-7.0,-242.0,-7.0,37.0,-30.0,-80.0,1.0,-241.0,11.0,27.0,-15.0,-78.0,-14.0,-245.0,-29.0,-2.0,1.0,-79.0,3.0,-242.0,94.0,-11.0,15.0,-82.0,-2.0,-237.0,-99.0,81.0,-39.0,-80.0,-13.0,-239.0,-37.0,85.0,11.0,-79.0,-2.0,-234.0,-100.0,129.0,26.0,-76.0,-1.0,-221.0,-137.0,316.0,40.0,-70.0,-7.0,-201.0,-254.0,975.0,-90.0,-38.0,16.0,-176.0,-313.0,1803.0,-133.0,55.0,18.0,-196.0,-716.0,2922.0,-282.0,117.0,22.0,-135.0,-687.0,3456.0,-127.0,213.0,70.0,-149.0,-848.0,3945.0,-140.0,307.0,129.0,-148.0,-378.0,4023.0,-17.0,354.0,102.0,-159.0,978.0,3147.0,-338.0,354.0,48.0,-157.0,140.0,1928.0,-292.0,344.0,21.0,-134.0,-597.0,775.0,-156.0,332.0,30.0,-138.0,-575.0,-278.0,26.0,320.0,26.0,-160.0,-336.0,-1124.0,202.0,308.0,74.0,-156.0,69.0,-1605.0,124.0,308.0,60.0,-134.0,106.0,-2268.0,291.0,317.0,78.0,-186.0,355.0,-2865.0,263.0,255.0,57.0,-209.0,232.0,-3333.0,258.0,203.0,67.0,-187.0,361.0,-3251.0,107.0,119.0,36.0,-186.0,262.0,-2788.0,-11.0,52.0,20.0,-180.0,422.0,-2356.0,73.0,-22.0,29.0,-175.0,49.0,-1651.0,-87.0,-49.0,13.0,-213.0,-6.0,-1031.0,-139.0,-69.0,-8.0,-216.0,-112.0,-619.0,-121.0,-79.0,-6.0,-228.0,-118.0,-268.0,-53.0,TILT_L,
210,-83.0,11.0,-244.0,-86.0,-67.0,-95.0,-81.0,8.0,-238.0,-78.0,-7.0,-75.0,-79.0,9.0,-250.0,-23.0,5.0,-51.0,-86.0,15.0,-249.0,-45.0,48.0,-35.0,-86.0,4.0,-241.0,-33.0,70.0,-32.0,-83.0,7.0,-241.0,-21.0,73.0,-1.0,-80.0,11.0,-243.0,-23.0,104.0,3.0,-79.0,4.0,-233.0,-94.0,200.0,16.0,-74.0,-2.0,-234.0,-242.0,493.0,74.0,-64.0,3.0,-196.0,-72.0,895.0,224.0,-40.0,-5.0,-178.0,-387.0,1727.0,365.0,40.0,28.0,-209.0,-351.0,2636.0,415.0,108.0,27.0,-137.0,-397.0,3419.0,362.0,210.0,107.0,-143.0,-466.0,3905.0,338.0,320.0,126.0,-111.0,-211.0,4028.0,91.0,398.0,109.0,-166.0,674.0,3352.0,-89.0,367.0,29.0,-126.0,446.0,2150.0,-319.0,343.0,31.0,-128.0,-299.0,1329.0,-241.0,344.0,9.0,-123.0,-450.0,6.0,28.0,329.0,13.0,-178.0,-518.0,-1205.0,158.0,319.0,67.0,-143.0,-146.0,-1976.0,110.0,342.0,67.0,-118.0,91.0,-2959.0,295.0,322.0,61.0,-176.0,108.0,-3458.0,102.0,259.0,69.0,-180.0,93.0,-3647.0,-12.0,193.0,57.0,-172.0,379.0,-3414.0,-78.0,104.0,23.0,-196.0,184.0,-2934.0,-91.0,16.0,29.0,-181.0,91.0,-2231.0,-84.0,-39.0,-2.0,-185.0,-201.0,-1125.0,-210.0,-59.0,10.0,-218.0,446.0,-678.0,-169.0,-72.0,12.0,-238.0,-34.0,-500.0,-121.0,TILT_L,
240,-78.0,1.0,-231.0,22.0,-306.0,-152.0,-84.0,8.0,-234.0,4.0,-66.0,-145.0,-78.0,8.0,-238.0,-11.0,13.0,-127.0,-76.0,6.0,-244.0,-17.0,45.0,-49.0,-82.0,7.0,-241.0,-26.0,112.0,-12.0,-85.0,3.0,-241.0,-31.0,133.0,53.0,-78.0,10.0,-247.0,-6.0,117.0,75.0,-82.0,4.0,-242.0,-91.0,103.0,54.0,-74.0,11.0,-240.0,-56.0,257.0,65.0,-70.0,4.0,-215.0,-206.0,497.0,46.0,-54.0,14.0,-198.0,-361.0,1182.0,34.0,-21.0,4.0,-152.0,-391.0,2281.0,-22.0,72.0,37.0,-196.0,-342.0,3107.0,32.0,178.0,83.0,-161.0,-675.0,3661.0,36.0,253.0,72.0,-150.0,-831.0,4008.0,86.0,321.0,120.0,-123.0,-583.0,3793.0,281.0,371.0,98.0,-123.0,688.0,2726.0,85.0,355.0,31.0,-99.0,-340.0,1497.0,-31.0,329.0,55.0,-136.0,-217.0,722.0,-5.0,321.0,25.0,-120.0,-391.0,-224.0,127.0,319.0,41.0,-160.0,-350.0,-1106.0,216.0,337.0,80.0,-128.0,-415.0,-2198.0,117.0,335.0,65.0,-143.0,-38.0,-2962.0,46.0,327.0,94.0,-201.0,-227.0,-3699.0,-297.0,234.0,116.0,-173.0,-48.0,-3667.0,-762.0,145.0,35.0,-163.0,840.0,-3106.0,-778.0,84.0,34.0,-187.0,742.0,-2489.0,-547.0,17.0,36.0,-188.0,449.0,-1766.0,-392.0,-22.0,25.0,-210.0,375.0,-1052.0,-241.0,-47.0,19.0,-212.0,219.0,-551.0,-148.0,TILT_L,
270,-65.0,3.0,-224.0,-7.0,-81.0,-104.0,-65.0,11.0,-239.0,-56.0,85.0,-55.0,-63.0,9.0,-251.0,12.0,56.0,-27.0,-65.0,10.0,-252.0,-12.0,-29.0,-40.0,-67.0,1.0,-243.0,-38.0,-60.0,-43.0,-67.0,12.0,-254.0,8.0,-11.0,-24.0,-65.0,6.0,-247.0,-43.0,-13.0,-19.0,-67.0,6.0,-245.0,-20.0,12.0,-12.0,-65.0,4.0,-245.0,-54.0,45.0,3.0,-63.0,11.0,-248.0,-13.0,92.0,11.0,-67.0,8.0,-243.0,-122.0,191.0,22.0,-63.0,-2.0,-234.0,-172.0,227.0,121.0,-65.0,-1.0,-177.0,-527.0,834.0,170.0,-24.0,4.0,-170.0,-736.0,1943.0,165.0,55.0,50.0,-186.0,-1313.0,2822.0,344.0,117.0,46.0,-125.0,-1461.0,3414.0,516.0,245.0,140.0,-157.0,-810.0,3699.0,830.0,314.0,158.0,-129.0,-350.0,3606.0,774.0,325.0,68.0,-113.0,-379.0,2743.0,508.0,368.0,132.0,-130.0,-61.0,1860.0,252.0,337.0,102.0,-99.0,-94.0,1084.0,93.0,321.0,57.0,-105.0,-206.0,34.0,46.0,322.0,70.0,-141.0,-239.0,-931.0,33.0,304.0,84.0,-115.0,-12.0,-1560.0,22.0,324.0,73.0,-116.0,282.0,-2413.0,-9.0,322.0,107.0,-164.0,474.0,-2970.0,-127.0,275.0,71.0,-169.0,29.0,-3203.0,-232.0,222.0,107.0,-179.0,422.0,-3171.0,-360.0,129.0,58.0,-170.0,639.0,-2772.0,-379.0,71.0,50.0,-195.0,646.0,-2239.0,-305.0,TILT_L,
