TimeStamp,AccX_0,AccY_0,AccZ_0,GyrX_0,GyrY_0,GyrZ_0,AccX_1,AccY_1,AccZ_1,GyrX_1,GyrY_1,GyrZ_1,AccX_2,AccY_2,AccZ_2,GyrX_2,GyrY_2,GyrZ_2,AccX_3,AccY_3,AccZ_3,GyrX_3,GyrY_3,GyrZ_3,AccX_4,AccY_4,AccZ_4,GyrX_4,GyrY_4,GyrZ_4,AccX_5,AccY_5,AccZ_5,GyrX_5,GyrY_5,GyrZ_5,AccX_6,AccY_6,AccZ_6,GyrX_6,GyrY_6,GyrZ_6,AccX_7,AccY_7,AccZ_7,GyrX_7,GyrY_7,GyrZ_7,AccX_8,AccY_8,AccZ_8,GyrX_8,GyrY_8,GyrZ_8,AccX_9,AccY_9,AccZ_9,GyrX_9,GyrY_9,GyrZ_9,AccX_10,AccY_10,AccZ_10,GyrX_10,GyrY_10,GyrZ_10,AccX_11,AccY_11,AccZ_11,GyrX_11,GyrY_11,GyrZ_11,AccX_12,AccY_12,AccZ_12,GyrX_12,GyrY_12,GyrZ_12,AccX_13,AccY_13,AccZ_13,GyrX_13,GyrY_13,GyrZ_13,AccX_14,AccY_14,AccZ_14,GyrX_14,GyrY_14,GyrZ_14,AccX_15,AccY_15,AccZ_15,GyrX_15,GyrY_15,GyrZ_15,AccX_16,AccY_16,AccZ_16,GyrX_16,GyrY_16,GyrZ_16,AccX_17,AccY_17,AccZ_17,GyrX_17,GyrY_17,GyrZ_17,AccX_18,AccY_18,AccZ_18,GyrX_18,GyrY_18,GyrZ_18,AccX_19,AccY_19,AccZ_19,GyrX_19,GyrY_19,GyrZ_19,AccX_20,AccY_20,AccZ_20,GyrX_20,GyrY_20,GyrZ_20,AccX_21,AccY_21,AccZ_21,GyrX_21,GyrY_21,GyrZ_21,AccX_22,AccY_22,AccZ_22,GyrX_22,GyrY_22,GyrZ_22,AccX_23,AccY_23,AccZ_23,GyrX_23,GyrY_23,GyrZ_23,AccX_24,AccY_24,AccZ_24,GyrX_24,GyrY_24,GyrZ_24,AccX_25,AccY_25,AccZ_25,GyrX_25,GyrY_25,GyrZ_25,AccX_26,AccY_26,AccZ_26,GyrX_26,GyrY_26,GyrZ_26,AccX_27,AccY_27,AccZ_27,GyrX_27,GyrY_27,GyrZ_27,AccX_28,AccY_28,AccZ_28,GyrX_28,GyrY_28,GyrZ_28,AccX_29,AccY_29,AccZ_29,GyrX_29,GyrY_29,GyrZ_29,Label
0,0.0,54.0,-257.0,-32.0,8.0,5.0,1.0,51.0,-258.0,-22.0,15.0,3.0,0.0,50.0,-258.0,-23.0,20.0,-2.0,1.0,54.0,-261.0,-23.0,33.0,11.0,0.0,50.0,-260.0,-24.0,3.0,-4.0,0.0,50.0,-257.0,-56.0,-14.0,15.0,0.0,53.0,-259.0,-34.0,7.0,20.0,2.0,61.0,-260.0,-94.0,-25.0,-3.0,0.0,53.0,-257.0,-82.0,-19.0,-15.0,-1.0,58.0,-257.0,-132.0,-5.0,16.0,-5.0,32.0,-255.0,-737.0,-11.0,-57.0,9.0,174.0,-263.0,2443.0,71.0,301.0,-4.0,-32.0,-261.0,-233.0,20.0,-120.0,-4.0,24.0,-252.0,-675.0,3.0,-28.0,0.0,46.0,-259.0,-263.0,36.0,17.0,3.0,49.0,-261.0,-69.0,30.0,38.0,2.0,51.0,-258.0,-98.0,22.0,0.0,-1.0,49.0,-257.0,-57.0,11.0,11.0,0.0,50.0,-260.0,-26.0,23.0,14.0,1.0,46.0,-257.0,-234.0,-9.0,-9.0,-1.0,62.0,-261.0,-370.0,-11.0,-44.0,1.0,61.0,-257.0,112.0,6.0,25.0,0.0,54.0,-258.0,29.0,5.0,15.0,0.0,55.0,-257.0,31.0,6.0,19.0,1.0,55.0,-256.0,-15.0,25.0,32.0,0.0,55.0,-258.0,-29.0,23.0,28.0,0.0,56.0,-260.0,10.0,20.0,28.0,0.0,55.0,-258.0,-36.0,-5.0,21.0,0.0,59.0,-258.0,-24.0,4.0,7.0,-1.0,56.0,-259.0,-28.0,4.0,0.0,TILT_L,
30,1.0,54.0,-260.0,2.0,7.0,8.0,1.0,58.0,-258.0,31.0,1.0,4.0,-2.0,53.0,-256.0,-28.0,32.0,13.0,0.0,49.0,-255.0,-17.0,47.0,41.0,1.0,60.0,-261.0,63.0,32.0,34.0,-2.0,57.0,-256.0,-116.0,11.0,3.0,3.0,57.0,-259.0,-30.0,28.0,36.0,3.0,56.0,-258.0,-24.0,-3.0,30.0,1.0,55.0,-257.0,13.0,12.0,13.0,9.0,66.0,-261.0,19.0,-6.0,-18.0,0.0,39.0,-265.0,-354.0,-80.0,-41.0,-3.0,73.0,-261.0,-72.0,-109.0,-8.0,-9.0,54.0,-256.0,94.0,-48.0,-14.0,-6.0,52.0,-256.0,-142.0,-41.0,-44.0,-6.0,59.0,-254.0,-173.0,-52.0,-3.0,-6.0,53.0,-256.0,-413.0,-94.0,-64.0,-11.0,84.0,-255.0,-148.0,-89.0,-29.0,-14.0,68.0,-251.0,171.0,-36.0,-38.0,-13.0,65.0,-255.0,272.0,-20.0,-30.0,-15.0,57.0,-251.0,172.0,51.0,-111.0,-4.0,55.0,-255.0,284.0,82.0,-127.0,-8.0,46.0,-257.0,309.0,108.0,-159.0,-9.0,35.0,-256.0,118.0,57.0,-101.0,-6.0,37.0,-258.0,67.0,5.0,-98.0,-10.0,32.0,-256.0,55.0,-10.0,-87.0,-16.0,33.0,-257.0,25.0,23.0,-53.0,-16.0,32.0,-262.0,-34.0,29.0,-31.0,-15.0,31.0,-263.0,-93.0,-3.0,61.0,-9.0,41.0,-257.0,-149.0,-23.0,27.0,-13.0,38.0,-260.0,-181.0,-95.0,64.0,TILT_L,
60,-16.0,40.0,-257.0,-174.0,-98.0,96.0,-18.0,46.0,-258.0,-232.0,-101.0,82.0,-23.0,48.0,-257.0,-169.0,-138.0,105.0,-25.0,49.0,-255.0,-205.0,-103.0,97.0,-24.0,57.0,-256.0,-166.0,-60.0,86.0,-25.0,53.0,-254.0,-218.0,-68.0,90.0,-27.0,64.0,-254.0,-186.0,-55.0,108.0,-27.0,67.0,-255.0,-187.0,-56.0,89.0,-31.0,72.0,-254.0,-138.0,-35.0,73.0,-31.0,66.0,-252.0,-81.0,16.0,62.0,-32.0,66.0,-248.0,4.0,83.0,76.0,-23.0,70.0,-252.0,151.0,119.0,100.0,-22.0,67.0,-258.0,153.0,142.0,57.0,-19.0,65.0,-256.0,48.0,141.0,38.0,-17.0,66.0,-257.0,45.0,110.0,4.0,-16.0,64.0,-257.0,51.0,88.0,-19.0,-12.0,60.0,-257.0,70.0,95.0,-22.0,-14.0,60.0,-256.0,53.0,83.0,-50.0,-9.0,61.0,-254.0,107.0,132.0,-84.0,-3.0,52.0,-258.0,129.0,172.0,-126.0,1.0,50.0,-262.0,265.0,172.0,-98.0,-1.0,35.0,-260.0,124.0,87.0,-100.0,1.0,17.0,-261.0,947.0,39.0,-19.0,-5.0,13.0,-260.0,-524.0,-39.0,-82.0,-3.0,46.0,-260.0,-164.0,-61.0,1.0,-8.0,23.0,-258.0,-80.0,-55.0,3.0,-10.0,27.0,-257.0,-290.0,-23.0,-4.0,-7.0,42.0,-256.0,-88.0,-11.0,27.0,-8.0,30.0,-260.0,-348.0,1.0,8.0,-4.0,54.0,-259.0,-398.0,-9.0,22.0,TILT_L,
90,-3.0,61.0,-257.0,-631.0,-31.0,-22.0,-7.0,68.0,-256.0,-534.0,-35.0,-27.0,-7.0,91.0,-254.0,-152.0,1.0,-31.0,-8.0,70.0,-254.0,-6.0,14.0,6.0,-9.0,79.0,-255.0,117.0,12.0,27.0,-8.0,73.0,-253.0,99.0,11.0,33.0,-9.0,60.0,-254.0,-87.0,8.0,6.0,-11.0,77.0,-257.0,-202.0,-7.0,13.0,-13.0,68.0,-255.0,-63.0,-7.0,13.0,-10.0,80.0,-254.0,50.0,-2.0,17.0,-9.0,76.0,-254.0,10.0,10.0,2.0,-10.0,73.0,-253.0,180.0,9.0,30.0,-9.0,64.0,-254.0,-172.0,13.0,6.0,-10.0,73.0,-256.0,6.0,3.0,29.0,-11.0,72.0,-256.0,-19.0,0.0,11.0,-11.0,74.0,-253.0,-185.0,7.0,13.0,-8.0,80.0,-255.0,97.0,27.0,25.0,-9.0,75.0,-255.0,191.0,32.0,35.0,-8.0,58.0,-255.0,-7.0,8.0,8.0,-13.0,73.0,-254.0,29.0,18.0,26.0,-10.0,65.0,-255.0,-56.0,21.0,8.0,-10.0,67.0,-257.0,8.0,15.0,19.0,-9.0,67.0,-256.0,-8.0,11.0,13.0,-10.0,64.0,-255.0,-4.0,21.0,8.0,-8.0,67.0,-258.0,-30.0,20.0,4.0,-8.0,69.0,-257.0,65.0,-2.0,-7.0,-9.0,65.0,-256.0,199.0,25.0,17.0,-8.0,53.0,-255.0,147.0,16.0,18.0,-4.0,53.0,-254.0,8.0,-8.0,42.0,-7.0,56.0,-255.0,-16.0,-27.0,65.0,TILT_L,
120,-11.0,55.0,-255.0,-37.0,-11.0,89.0,-10.0,58.0,-256.0,38.0,64.0,111.0,-7.0,54.0,-260.0,53.0,52.0,149.0,-6.0,56.0,-256.0,-21.0,4.0,201.0,-5.0,61.0,-255.0,-84.0,-7.0,204.0,-12.0,55.0,-262.0,-41.0,76.0,98.0,-2.0,57.0,-253.0,-51.0,153.0,47.0,6.0,65.0,-266.0,40.0,121.0,4.0,5.0,61.0,-259.0,11.0,58.0,9.0,1.0,61.0,-262.0,13.0,-14.0,-16.0,6.0,62.0,-260.0,5.0,-109.0,-83.0,-1.0,45.0,-255.0,185.0,2.0,-164.0,-3.0,27.0,-247.0,-51.0,16.0,-93.0,4.0,49.0,-278.0,-121.0,-187.0,-34.0,-13.0,58.0,-266.0,14.0,-215.0,0.0,-13.0,46.0,-253.0,2.0,-43.0,43.0,-13.0,31.0,-250.0,-97.0,96.0,44.0,-12.0,56.0,-258.0,-116.0,100.0,60.0,-11.0,31.0,-247.0,-274.0,87.0,88.0,0.0,69.0,-260.0,-121.0,123.0,160.0,1.0,65.0,-257.0,-84.0,139.0,144.0,1.0,72.0,-259.0,128.0,135.0,107.0,1.0,48.0,-261.0,363.0,80.0,46.0,5.0,48.0,-270.0,137.0,22.0,23.0,3.0,42.0,-261.0,-104.0,-25.0,7.0,2.0,41.0,-257.0,63.0,18.0,6.0,5.0,45.0,-262.0,8.0,15.0,7.0,3.0,46.0,-258.0,-228.0,-33.0,-41.0,2.0,43.0,-258.0,-124.0,-41.0,-57.0,3.0,51.0,-259.0,-87.0,-51.0,-49.0,TILT_L,
150,-3.0,49.0,-256.0,-100.0,-94.0,11.0,-3.0,58.0,-267.0,-96.0,-131.0,26.0,-10.0,49.0,-257.0,-164.0,-122.0,18.0,-14.0,55.0,-256.0,-94.0,-69.0,25.0,-12.0,59.0,-254.0,-32.0,-38.0,51.0,-11.0,52.0,-251.0,-54.0,29.0,6.0,-2.0,63.0,-263.0,-45.0,70.0,-12.0,-4.0,58.0,-262.0,48.0,159.0,-71.0,1.0,56.0,-253.0,52.0,196.0,-75.0,3.0,55.0,-256.0,25.0,161.0,-43.0,0.0,48.0,-260.0,9.0,183.0,-64.0,6.0,50.0,-258.0,120.0,170.0,-83.0,10.0,44.0,-258.0,-1.0,48.0,-54.0,8.0,49.0,-256.0,-29.0,-48.0,9.0,3.0,50.0,-254.0,-124.0,-93.0,35.0,4.0,52.0,-259.0,-134.0,-85.0,78.0,-2.0,50.0,-262.0,-123.0,-83.0,85.0,0.0,57.0,-265.0,-108.0,-99.0,45.0,-1.0,54.0,-260.0,-110.0,-147.0,73.0,-6.0,59.0,-257.0,-86.0,-145.0,78.0,-7.0,67.0,-255.0,-130.0,-118.0,51.0,-11.0,61.0,-255.0,-78.0,-121.0,42.0,-13.0,62.0,-253.0,-56.0,-55.0,34.0,-14.0,64.0,-251.0,-28.0,25.0,26.0,-9.0,68.0,-255.0,-9.0,92.0,-28.0,-8.0,66.0,-254.0,-11.0,72.0,-19.0,-7.0,64.0,-256.0,-29.0,109.0,-14.0,-4.0,59.0,-258.0,-14.0,139.0,-39.0,-3.0,62.0,-261.0,47.0,92.0,-26.0,-4.0,59.0,-260.0,22.0,72.0,-37.0,TILT_L,
180,-2.0,64.0,-260.0,22.0,92.0,-56.0,0.0,57.0,-261.0,32.0,110.0,-80.0,0.0,57.0,-258.0,29.0,86.0,-65.0,3.0,56.0,-258.0,73.0,109.0,-55.0,6.0,46.0,-256.0,-18.0,52.0,-23.0,2.0,57.0,-257.0,32.0,63.0,4.0,4.0,49.0,-261.0,-28.0,64.0,-17.0,4.0,43.0,-261.0,-19.0,13.0,19.0,5.0,55.0,-259.0,32.0,10.0,59.0,7.0,48.0,-263.0,-99.0,-43.0,38.0,3.0,42.0,-258.0,-222.0,-167.0,98.0,1.0,67.0,-256.0,-242.0,-219.0,121.0,-11.0,55.0,-255.0,-233.0,-164.0,56.0,-6.0,73.0,-258.0,-222.0,-55.0,30.0,-8.0,69.0,-254.0,120.0,5.0,63.0,-3.0,72.0,-259.0,587.0,47.0,72.0,-4.0,37.0,-256.0,478.0,48.0,84.0,-1.0,41.0,-258.0,291.0,54.0,44.0,-2.0,32.0,-258.0,103.0,36.0,30.0,-2.0,35.0,-259.0,51.0,41.0,0.0,-2.0,33.0,-261.0,38.0,40.0,-14.0,0.0,18.0,-255.0,-139.0,15.0,31.0,-1.0,40.0,-263.0,-320.0,-26.0,9.0,-1.0,49.0,-261.0,-232.0,-23.0,16.0,0.0,42.0,-256.0,-464.0,-52.0,-5.0,-8.0,68.0,-260.0,-343.0,-35.0,-45.0,-7.0,49.0,-257.0,-233.0,-15.0,-23.0,-5.0,71.0,-257.0,18.0,-6.0,16.0,-6.0,61.0,-256.0,-54.0,16.0,17.0,-6.0,57.0,-255.0,-79.0,13.0,3.0,TILT_L,
210,-7.0,70.0,-256.0,-45.0,4.0,15.0,-9.0,64.0,-257.0,76.0,6.0,9.0,-8.0,61.0,-255.0,34.0,25.0,12.0,-5.0,52.0,-253.0,7.0,28.0,41.0,-5.0,67.0,-256.0,-117.0,56.0,58.0,-4.0,55.0,-254.0,-131.0,54.0,22.0,-1.0,66.0,-257.0,-59.0,18.0,44.0,-5.0,69.0,-258.0,-151.0,6.0,-2.0,-5.0,62.0,-258.0,-1.0,-24.0,-12.0,-6.0,66.0,-256.0,-25.0,-41.0,6.0,-4.0,68.0,-256.0,-42.0,-35.0,-16.0,-7.0,66.0,-253.0,-75.0,-33.0,-12.0,-7.0,66.0,-255.0,-21.0,-5.0,-5.0,-8.0,65.0,-257.0,30.0,15.0,-15.0,-8.0,64.0,-258.0,71.0,78.0,-16.0,-5.0,61.0,-260.0,135.0,144.0,-73.0,0.0,60.0,-255.0,108.0,96.0,-22.0,-2.0,59.0,-254.0,75.0,106.0,-16.0,0.0,59.0,-258.0,21.0,77.0,-26.0,0.0,57.0,-256.0,-27.0,19.0,9.0,-3.0,53.0,-255.0,-26.0,34.0,-19.0,-1.0,54.0,-257.0,0.0,63.0,-18.0,2.0,54.0,-258.0,-62.0,13.0,-7.0,0.0,52.0,-257.0,-70.0,-10.0,8.0,1.0,54.0,-258.0,-47.0,0.0,15.0,0.0,54.0,-258.0,-54.0,8.0,-11.0,1.0,53.0,-260.0,-41.0,27.0,20.0,2.0,58.0,-263.0,6.0,-5.0,30.0,4.0,58.0,-259.0,4.0,-21.0,8.0,1.0,57.0,-260.0,-66.0,-48.0,-3.0,TILT_L,
240,0.0,50.0,-256.0,-77.0,-86.0,33.0,-3.0,54.0,-256.0,-69.0,-117.0,71.0,-4.0,59.0,-256.0,-96.0,-118.0,79.0,-10.0,60.0,-254.0,-79.0,-65.0,55.0,-11.0,62.0,-256.0,-17.0,7.0,21.0,-8.0,62.0,-256.0,-16.0,-1.0,18.0,-11.0,60.0,-255.0,-34.0,10.0,14.0,-11.0,59.0,-255.0,9.0,38.0,0.0,-7.0,61.0,-259.0,45.0,55.0,0.0,-6.0,55.0,-257.0,18.0,73.0,-11.0,4.0,59.0,-257.0,86.0,61.0,-16.0,-7.0,53.0,-257.0,-18.0,76.0,-18.0,-6.0,50.0,-257.0,8.0,85.0,1.0,-5.0,56.0,-258.0,18.0,63.0,20.0,0.0,55.0,-259.0,5.0,40.0,5.0,-5.0,51.0,-255.0,8.0,41.0,-2.0,-1.0,47.0,-257.0,-31.0,42.0,-14.0,-3.0,54.0,-260.0,-22.0,43.0,-5.0,0.0,53.0,-260.0,-14.0,31.0,-7.0,1.0,51.0,-258.0,-50.0,5.0,-6.0,0.0,46.0,-258.0,-78.0,-38.0,5.0,0.0,53.0,-257.0,-127.0,-104.0,51.0,-3.0,60.0,-257.0,-178.0,-149.0,103.0,-9.0,60.0,-255.0,-225.0,-116.0,39.0,-10.0,62.0,-257.0,-126.0,-74.0,28.0,-10.0,65.0,-257.0,-95.0,-60.0,0.0,-13.0,63.0,-255.0,-92.0,-47.0,10.0,-10.0,59.0,-258.0,-74.0,-51.0,19.0,-15.0,66.0,-258.0,-6.0,-41.0,33.0,-10.0,67.0,-257.0,10.0,22.0,2.0,TILT_L,
270,-13.0,62.0,-255.0,48.0,48.0,-17.0,-12.0,62.0,-255.0,131.0,99.0,6.0,-10.0,61.0,-257.0,102.0,120.0,-21.0,-9.0,62.0,-258.0,14.0,74.0,4.0,-8.0,56.0,-256.0,-8.0,12.0,39.0,-11.0,59.0,-254.0,-11.0,-75.0,118.0,-13.0,57.0,-256.0,-117.0,-53.0,49.0,-11.0,63.0,-254.0,-138.0,-77.0,65.0,-15.0,60.0,-254.0,-190.0,-105.0,80.0,-18.0,62.0,-254.0,-155.0,-108.0,103.0,-18.0,69.0,-255.0,-80.0,-28.0,65.0,-18.0,66.0,-254.0,28.0,67.0,9.0,-16.0,65.0,-257.0,83.0,78.0,14.0,-14.0,67.0,-256.0,54.0,92.0,-27.0,-15.0,62.0,-256.0,129.0,120.0,-55.0,-10.0,54.0,-256.0,77.0,93.0,-55.0,-7.0,61.0,-256.0,69.0,70.0,-45.0,-9.0,55.0,-256.0,60.0,65.0,-34.0,-8.0,56.0,-255.0,159.0,84.0,-24.0,-2.0,51.0,-259.0,-8.0,81.0,-47.0,-5.0,47.0,-260.0,-6.0,61.0,-34.0,-7.0,54.0,-258.0,26.0,69.0,-42.0,-2.0,44.0,-259.0,-54.0,14.0,-13.0,-2.0,47.0,-260.0,-124.0,-39.0,30.0,-1.0,51.0,-258.0,-122.0,-77.0,47.0,-5.0,52.0,-257.0,-158.0,-94.0,72.0,-7.0,57.0,-257.0,-197.0,-145.0,101.0,-14.0,59.0,-256.0,-201.0,-141.0,86.0,-18.0,67.0,-258.0,-154.0,-63.0,35.0,-16.0,62.0,-256.0,-159.0,-40.0,11.0,TILT_L,
