TimeStamp,AccX_0,AccY_0,AccZ_0,GyrX_0,GyrY_0,GyrZ_0,AccX_1,AccY_1,AccZ_1,GyrX_1,GyrY_1,GyrZ_1,AccX_2,AccY_2,AccZ_2,GyrX_2,GyrY_2,GyrZ_2,AccX_3,AccY_3,AccZ_3,GyrX_3,GyrY_3,GyrZ_3,AccX_4,AccY_4,AccZ_4,GyrX_4,GyrY_4,GyrZ_4,AccX_5,AccY_5,AccZ_5,GyrX_5,GyrY_5,GyrZ_5,AccX_6,AccY_6,AccZ_6,GyrX_6,GyrY_6,GyrZ_6,AccX_7,AccY_7,AccZ_7,GyrX_7,GyrY_7,GyrZ_7,AccX_8,AccY_8,AccZ_8,GyrX_8,GyrY_8,GyrZ_8,AccX_9,AccY_9,AccZ_9,GyrX_9,GyrY_9,GyrZ_9,AccX_10,AccY_10,AccZ_10,GyrX_10,GyrY_10,GyrZ_10,AccX_11,AccY_11,AccZ_11,GyrX_11,GyrY_11,GyrZ_11,AccX_12,AccY_12,AccZ_12,GyrX_12,GyrY_12,GyrZ_12,AccX_13,AccY_13,AccZ_13,GyrX_13,GyrY_13,GyrZ_13,AccX_14,AccY_14,AccZ_14,GyrX_14,GyrY_14,GyrZ_14,AccX_15,AccY_15,AccZ_15,GyrX_15,GyrY_15,GyrZ_15,AccX_16,AccY_16,AccZ_16,GyrX_16,GyrY_16,GyrZ_16,AccX_17,AccY_17,AccZ_17,GyrX_17,GyrY_17,GyrZ_17,AccX_18,AccY_18,AccZ_18,GyrX_18,GyrY_18,GyrZ_18,AccX_19,AccY_19,AccZ_19,GyrX_19,GyrY_19,GyrZ_19,AccX_20,AccY_20,AccZ_20,GyrX_20,GyrY_20,GyrZ_20,AccX_21,AccY_21,AccZ_21,GyrX_21,GyrY_21,GyrZ_21,AccX_22,AccY_22,AccZ_22,GyrX_22,GyrY_22,GyrZ_22,AccX_23,AccY_23,AccZ_23,GyrX_23,GyrY_23,GyrZ_23,AccX_24,AccY_24,AccZ_24,GyrX_24,GyrY_24,GyrZ_24,AccX_25,AccY_25,AccZ_25,GyrX_25,GyrY_25,GyrZ_25,AccX_26,AccY_26,AccZ_26,GyrX_26,GyrY_26,GyrZ_26,AccX_27,AccY_27,AccZ_27,GyrX_27,GyrY_27,GyrZ_27,AccX_28,AccY_28,AccZ_28,GyrX_28,GyrY_28,GyrZ_28,AccX_29,AccY_29,AccZ_29,GyrX_29,GyrY_29,GyrZ_29,Label
0,-15.0,6.0,-252.0,-53.0,160.0,-74.0,-12.0,13.0,-258.0,-97.0,59.0,-23.0,-9.0,24.0,-262.0,-100.0,-13.0,25.0,-15.0,18.0,-272.0,-10.0,-2.0,56.0,-7.0,4.0,-253.0,-155.0,21.0,72.0,-9.0,24.0,-269.0,-65.0,0.0,88.0,-10.0,16.0,-251.0,-181.0,73.0,147.0,-1.0,43.0,-260.0,-50.0,131.0,78.0,5.0,40.0,-259.0,-15.0,69.0,-18.0,1.0,29.0,-255.0,-73.0,13.0,13.0,0.0,42.0,-262.0,-90.0,3.0,16.0,0.0,38.0,-263.0,-15.0,38.0,3.0,1.0,41.0,-265.0,-38.0,3.0,1.0,0.0,35.0,-260.0,-18.0,6.0,14.0,1.0,32.0,-258.0,-1.0,26.0,-4.0,1.0,40.0,-260.0,-20.0,14.0,-1.0,0.0,33.0,-260.0,-21.0,21.0,-29.0,5.0,55.0,-264.0,-111.0,-6.0,-162.0,25.0,128.0,-271.0,-21.0,-63.0,-979.0,10.0,128.0,-264.0,52.0,175.0,-2355.0,21.0,63.0,-224.0,404.0,528.0,-3208.0,61.0,-31.0,-217.0,355.0,764.0,-3300.0,66.0,-71.0,-240.0,-793.0,874.0,-2792.0,100.0,-68.0,-305.0,-19.0,329.0,-1288.0,91.0,-74.0,-284.0,-397.0,-451.0,354.0,63.0,-47.0,-244.0,141.0,-507.0,1529.0,61.0,-3.0,-253.0,397.0,-265.0,1978.0,56.0,8.0,-294.0,367.0,-226.0,2396.0,47.0,-41.0,-254.0,-252.0,-373.0,2480.0,33.0,-26.0,-220.0,68.0,-350.0,2614.0,TILT_L,
30,23.0,77.0,-267.0,-521.0,-328.0,2130.0,3.0,80.0,-244.0,-448.0,-123.0,1458.0,15.0,123.0,-259.0,170.0,-34.0,786.0,4.0,73.0,-266.0,-150.0,-12.0,356.0,-2.0,59.0,-260.0,163.0,-26.0,127.0,-2.0,41.0,-261.0,-14.0,7.0,-25.0,-5.0,36.0,-263.0,40.0,38.0,-48.0,0.0,26.0,-260.0,-37.0,39.0,-69.0,0.0,42.0,-264.0,36.0,50.0,-72.0,1.0,35.0,-261.0,-9.0,28.0,-138.0,-1.0,35.0,-261.0,-20.0,-8.0,-158.0,-1.0,36.0,-264.0,76.0,-32.0,-170.0,1.0,30.0,-259.0,-62.0,-49.0,-189.0,1.0,62.0,-265.0,-39.0,-47.0,-399.0,2.0,52.0,-261.0,50.0,-73.0,-657.0,22.0,124.0,-238.0,-229.0,27.0,-1410.0,-1.0,105.0,-257.0,1.0,429.0,-2450.0,25.0,23.0,-233.0,-359.0,607.0,-2944.0,58.0,5.0,-251.0,-396.0,955.0,-2915.0,71.0,-39.0,-264.0,-989.0,994.0,-2425.0,92.0,-13.0,-303.0,-324.0,507.0,-1253.0,88.0,-26.0,-296.0,-295.0,-283.0,16.0,59.0,1.0,-283.0,405.0,-526.0,1043.0,44.0,35.0,-277.0,499.0,-409.0,1456.0,39.0,-14.0,-253.0,354.0,-294.0,1688.0,43.0,8.0,-270.0,444.0,-411.0,2014.0,28.0,13.0,-261.0,130.0,-525.0,2073.0,34.0,52.0,-251.0,86.0,-511.0,1996.0,7.0,63.0,-256.0,-206.0,-353.0,1653.0,-3.0,70.0,-255.0,-225.0,-170.0,1168.0,TILT_L,
60,10.0,99.0,-259.0,151.0,-19.0,828.0,5.0,61.0,-252.0,-381.0,68.0,462.0,2.0,60.0,-259.0,67.0,40.0,269.0,1.0,58.0,-261.0,-47.0,-12.0,160.0,3.0,38.0,-255.0,-71.0,0.0,79.0,-3.0,49.0,-264.0,65.0,42.0,31.0,-4.0,38.0,-261.0,-101.0,22.0,15.0,0.0,41.0,-258.0,-19.0,34.0,-1.0,-1.0,45.0,-258.0,0.0,28.0,-5.0,1.0,46.0,-262.0,-35.0,-6.0,-27.0,0.0,46.0,-258.0,27.0,1.0,-61.0,0.0,39.0,-258.0,-73.0,2.0,-97.0,1.0,40.0,-262.0,88.0,-23.0,-74.0,-3.0,47.0,-264.0,49.0,-12.0,-72.0,1.0,53.0,-265.0,40.0,-49.0,-235.0,0.0,60.0,-260.0,-82.0,-86.0,-429.0,-3.0,88.0,-257.0,-39.0,7.0,-891.0,1.0,96.0,-253.0,0.0,209.0,-1599.0,12.0,79.0,-252.0,118.0,423.0,-2174.0,19.0,17.0,-235.0,-343.0,592.0,-2473.0,40.0,8.0,-248.0,-308.0,779.0,-2358.0,62.0,-15.0,-248.0,-858.0,602.0,-1892.0,65.0,7.0,-268.0,-634.0,471.0,-1230.0,61.0,18.0,-280.0,-479.0,200.0,-377.0,54.0,-19.0,-273.0,423.0,-102.0,560.0,58.0,59.0,-304.0,470.0,-278.0,1097.0,40.0,-1.0,-280.0,235.0,-344.0,1383.0,53.0,-9.0,-251.0,563.0,-520.0,1721.0,46.0,45.0,-269.0,190.0,-626.0,1904.0,12.0,34.0,-269.0,94.0,-557.0,1858.0,TILT_L,
90,14.0,33.0,-244.0,61.0,-509.0,1756.0,3.0,47.0,-243.0,-58.0,-360.0,1525.0,-4.0,87.0,-265.0,-73.0,-126.0,1143.0,-11.0,73.0,-252.0,-230.0,-33.0,724.0,-2.0,72.0,-256.0,-8.0,-7.0,488.0,-9.0,62.0,-261.0,-21.0,26.0,307.0,-4.0,53.0,-255.0,-96.0,15.0,146.0,-11.0,50.0,-257.0,-22.0,30.0,44.0,-11.0,46.0,-259.0,0.0,40.0,-10.0,-8.0,40.0,-262.0,16.0,34.0,-18.0,-7.0,48.0,-262.0,-56.0,11.0,-32.0,-8.0,49.0,-259.0,20.0,14.0,-72.0,-5.0,51.0,-261.0,-10.0,10.0,-111.0,-8.0,47.0,-259.0,-44.0,1.0,-197.0,-1.0,62.0,-255.0,-10.0,25.0,-343.0,-5.0,94.0,-254.0,89.0,94.0,-813.0,5.0,89.0,-259.0,185.0,160.0,-1266.0,1.0,83.0,-261.0,-23.0,248.0,-1863.0,22.0,59.0,-247.0,337.0,417.0,-2396.0,28.0,-16.0,-240.0,-406.0,575.0,-2631.0,42.0,-20.0,-241.0,-436.0,706.0,-2423.0,65.0,-10.0,-282.0,-362.0,645.0,-1891.0,76.0,-53.0,-281.0,-349.0,140.0,-863.0,66.0,-28.0,-290.0,16.0,-191.0,204.0,45.0,-29.0,-271.0,48.0,-277.0,995.0,52.0,3.0,-269.0,749.0,-288.0,1506.0,34.0,-24.0,-269.0,-4.0,-296.0,1912.0,46.0,16.0,-257.0,314.0,-431.0,2189.0,44.0,50.0,-260.0,404.0,-402.0,2114.0,2.0,4.0,-253.0,-215.0,-162.0,1936.0,TILT_L,
120,18.0,61.0,-250.0,-210.0,-149.0,1527.0,14.0,65.0,-255.0,-50.0,-10.0,1066.0,12.0,57.0,-244.0,-584.0,-45.0,705.0,23.0,68.0,-263.0,18.0,-153.0,305.0,-20.0,48.0,-256.0,-153.0,-156.0,86.0,-11.0,18.0,-242.0,-25.0,-16.0,121.0,-12.0,51.0,-269.0,74.0,25.0,21.0,-13.0,29.0,-257.0,-61.0,32.0,-41.0,-11.0,34.0,-262.0,86.0,33.0,-31.0,-11.0,30.0,-261.0,-21.0,23.0,-21.0,-9.0,33.0,-258.0,-33.0,21.0,-22.0,-9.0,38.0,-259.0,3.0,38.0,-35.0,-3.0,44.0,-257.0,-78.0,44.0,-145.0,-2.0,44.0,-261.0,109.0,-1.0,-213.0,-3.0,45.0,-260.0,-46.0,17.0,-340.0,-3.0,57.0,-268.0,79.0,49.0,-564.0,-3.0,49.0,-253.0,-58.0,84.0,-878.0,8.0,77.0,-252.0,99.0,130.0,-1213.0,11.0,63.0,-270.0,166.0,129.0,-1649.0,13.0,35.0,-256.0,-21.0,149.0,-2079.0,31.0,9.0,-245.0,-64.0,268.0,-2282.0,48.0,-3.0,-255.0,-110.0,351.0,-2178.0,41.0,-24.0,-280.0,-741.0,281.0,-1680.0,53.0,-29.0,-270.0,-480.0,46.0,-891.0,30.0,11.0,-281.0,-220.0,-30.0,-335.0,22.0,7.0,-262.0,24.0,-113.0,82.0,17.0,11.0,-253.0,74.0,-94.0,422.0,15.0,1.0,-261.0,201.0,11.0,736.0,25.0,-39.0,-260.0,298.0,94.0,1170.0,21.0,-59.0,-255.0,294.0,78.0,1641.0,TILT_L,
150,27.0,-1.0,-270.0,121.0,-41.0,1929.0,10.0,-4.0,-281.0,87.0,-122.0,1930.0,16.0,-15.0,-242.0,-187.0,-210.0,1887.0,23.0,63.0,-274.0,25.0,-295.0,1746.0,4.0,54.0,-263.0,-590.0,-247.0,1289.0,15.0,73.0,-249.0,-170.0,-193.0,817.0,15.0,68.0,-257.0,-102.0,-23.0,586.0,6.0,47.0,-261.0,-81.0,-1.0,347.0,4.0,47.0,-270.0,35.0,45.0,228.0,3.0,40.0,-262.0,-183.0,-5.0,127.0,0.0,41.0,-263.0,58.0,16.0,41.0,0.0,37.0,-263.0,-9.0,2.0,6.0,-2.0,29.0,-259.0,12.0,23.0,-15.0,-1.0,37.0,-260.0,33.0,23.0,-6.0,0.0,35.0,-259.0,-7.0,11.0,-40.0,-1.0,37.0,-259.0,42.0,17.0,-58.0,-1.0,39.0,-262.0,11.0,15.0,-121.0,1.0,47.0,-262.0,15.0,18.0,-259.0,2.0,59.0,-256.0,66.0,53.0,-538.0,20.0,98.0,-260.0,111.0,157.0,-1147.0,18.0,84.0,-264.0,245.0,254.0,-1882.0,22.0,44.0,-258.0,213.0,342.0,-2353.0,43.0,6.0,-249.0,11.0,319.0,-2448.0,51.0,-35.0,-257.0,-247.0,302.0,-2239.0,54.0,-20.0,-257.0,-942.0,266.0,-1870.0,61.0,11.0,-268.0,-67.0,210.0,-1297.0,58.0,15.0,-288.0,-309.0,42.0,-682.0,51.0,-42.0,-271.0,182.0,-189.0,142.0,37.0,-7.0,-265.0,374.0,-230.0,785.0,37.0,-26.0,-254.0,306.0,-164.0,1236.0,TILT_L,
180,21.0,-29.0,-257.0,338.0,38.0,1379.0,36.0,-23.0,-254.0,41.0,-76.0,1583.0,45.0,18.0,-270.0,185.0,-207.0,1819.0,27.0,-8.0,-261.0,-540.0,-293.0,1792.0,19.0,17.0,-255.0,525.0,-232.0,1763.0,29.0,79.0,-273.0,467.0,-123.0,1489.0,13.0,35.0,-258.0,-526.0,7.0,943.0,3.0,35.0,-255.0,117.0,97.0,793.0,9.0,62.0,-262.0,-184.0,133.0,528.0,17.0,9.0,-258.0,-317.0,104.0,395.0,1.0,40.0,-269.0,24.0,-6.0,265.0,11.0,42.0,-266.0,-142.0,-13.0,100.0,3.0,18.0,-260.0,-143.0,-4.0,1.0,5.0,31.0,-267.0,83.0,3.0,15.0,8.0,33.0,-267.0,-19.0,6.0,-29.0,5.0,16.0,-259.0,-66.0,-3.0,-33.0,7.0,31.0,-259.0,50.0,15.0,-71.0,9.0,30.0,-259.0,-12.0,-17.0,-95.0,9.0,38.0,-265.0,-12.0,-66.0,-246.0,2.0,36.0,-261.0,10.0,-75.0,-369.0,5.0,43.0,-262.0,-51.0,-58.0,-611.0,9.0,67.0,-264.0,144.0,-70.0,-974.0,3.0,62.0,-257.0,46.0,-44.0,-1519.0,8.0,45.0,-255.0,125.0,106.0,-1883.0,3.0,-5.0,-252.0,-128.0,182.0,-1977.0,28.0,-20.0,-253.0,290.0,205.0,-1753.0,30.0,-36.0,-256.0,-683.0,212.0,-1655.0,44.0,9.0,-290.0,-226.0,196.0,-1388.0,40.0,-14.0,-278.0,-381.0,-23.0,-964.0,33.0,-27.0,-257.0,-451.0,-127.0,-529.0,TILT_L,
210,26.0,2.0,-281.0,183.0,-161.0,11.0,9.0,-24.0,-259.0,-48.0,-177.0,295.0,14.0,-16.0,-264.0,427.0,-96.0,871.0,11.0,-36.0,-256.0,347.0,-104.0,1204.0,13.0,-46.0,-249.0,345.0,-149.0,1581.0,13.0,19.0,-282.0,365.0,-124.0,1954.0,9.0,-40.0,-229.0,-334.0,-131.0,1903.0,9.0,10.0,-232.0,-27.0,-78.0,1763.0,12.0,86.0,-275.0,-103.0,63.0,1621.0,7.0,27.0,-245.0,-269.0,128.0,1188.0,16.0,64.0,-261.0,-80.0,89.0,932.0,0.0,67.0,-284.0,-184.0,67.0,601.0,2.0,50.0,-263.0,-178.0,3.0,265.0,-1.0,54.0,-263.0,-35.0,5.0,154.0,1.0,47.0,-267.0,-3.0,14.0,33.0,-2.0,38.0,-264.0,8.0,15.0,-23.0,-3.0,36.0,-259.0,-6.0,-6.0,-32.0,1.0,38.0,-259.0,-14.0,-18.0,-37.0,-1.0,43.0,-262.0,33.0,0.0,-76.0,0.0,45.0,-264.0,-1.0,29.0,-146.0,1.0,47.0,-261.0,-31.0,-13.0,-266.0,-1.0,54.0,-261.0,47.0,-35.0,-511.0,6.0,87.0,-270.0,219.0,-21.0,-1011.0,1.0,66.0,-267.0,179.0,45.0,-1573.0,12.0,40.0,-248.0,90.0,66.0,-1919.0,12.0,19.0,-252.0,36.0,124.0,-2078.0,20.0,-25.0,-246.0,-230.0,123.0,-2103.0,25.0,-18.0,-253.0,-478.0,270.0,-1920.0,27.0,-30.0,-249.0,-1081.0,498.0,-1682.0,40.0,14.0,-291.0,-248.0,372.0,-1082.0,TILT_L,
240,47.0,-16.0,-290.0,-197.0,-101.0,-218.0,39.0,-28.0,-267.0,197.0,-347.0,648.0,23.0,6.0,-265.0,509.0,-233.0,1284.0,16.0,-17.0,-257.0,167.0,-74.0,1572.0,21.0,-5.0,-246.0,97.0,-87.0,1767.0,22.0,33.0,-276.0,296.0,-85.0,1855.0,22.0,15.0,-257.0,-401.0,-149.0,1766.0,25.0,23.0,-245.0,106.0,-215.0,1632.0,20.0,97.0,-269.0,-103.0,-175.0,1407.0,7.0,71.0,-258.0,-375.0,-109.0,974.0,3.0,62.0,-255.0,-150.0,-78.0,624.0,4.0,60.0,-262.0,-456.0,-104.0,457.0,1.0,71.0,-261.0,-3.0,-42.0,227.0,0.0,66.0,-260.0,-102.0,-12.0,56.0,-1.0,57.0,-259.0,9.0,14.0,8.0,-2.0,50.0,-258.0,6.0,45.0,-17.0,-3.0,52.0,-260.0,7.0,27.0,3.0,-1.0,52.0,-258.0,-10.0,20.0,-21.0,-1.0,53.0,-261.0,12.0,-1.0,-56.0,1.0,58.0,-260.0,12.0,7.0,-59.0,-2.0,52.0,-260.0,34.0,14.0,-105.0,7.0,80.0,-264.0,-65.0,-22.0,-271.0,4.0,106.0,-258.0,30.0,5.0,-769.0,6.0,129.0,-262.0,402.0,118.0,-1415.0,15.0,69.0,-241.0,151.0,160.0,-2009.0,10.0,27.0,-251.0,19.0,206.0,-2285.0,20.0,-10.0,-255.0,-247.0,178.0,-2316.0,21.0,10.0,-271.0,-577.0,317.0,-2082.0,28.0,-19.0,-264.0,-928.0,383.0,-1685.0,32.0,-8.0,-277.0,-328.0,244.0,-899.0,TILT_L,
270,21.0,-23.0,-266.0,-307.0,-94.0,69.0,24.0,10.0,-259.0,266.0,-256.0,793.0,16.0,-8.0,-250.0,517.0,-244.0,1263.0,17.0,0.0,-268.0,358.0,-158.0,1629.0,16.0,11.0,-287.0,285.0,-216.0,1795.0,9.0,9.0,-254.0,217.0,-312.0,1784.0,4.0,59.0,-269.0,256.0,-313.0,1765.0,-4.0,64.0,-257.0,-173.0,-264.0,1367.0,-4.0,70.0,-242.0,421.0,-238.0,1039.0,-34.0,18.0,-253.0,-688.0,-208.0,835.0,-13.0,47.0,-240.0,-60.0,-189.0,653.0,-25.0,71.0,-262.0,-318.0,-18.0,534.0,-15.0,66.0,-259.0,-177.0,28.0,343.0,-18.0,74.0,-261.0,41.0,113.0,145.0,-13.0,64.0,-260.0,15.0,92.0,22.0,-15.0,58.0,-260.0,70.0,62.0,-5.0,-14.0,51.0,-258.0,-31.0,55.0,-31.0,-13.0,51.0,-258.0,47.0,32.0,-32.0,-14.0,56.0,-257.0,35.0,30.0,-54.0,-12.0,53.0,-260.0,37.0,38.0,-93.0,-11.0,55.0,-260.0,96.0,45.0,-139.0,-4.0,66.0,-262.0,21.0,5.0,-277.0,-10.0,65.0,-260.0,80.0,-34.0,-512.0,-4.0,84.0,-252.0,14.0,37.0,-970.0,-7.0,93.0,-264.0,111.0,124.0,-1562.0,-7.0,52.0,-250.0,189.0,220.0,-2006.0,10.0,20.0,-252.0,447.0,237.0,-2167.0,18.0,-25.0,-240.0,69.0,253.0,-2229.0,21.0,-34.0,-252.0,-755.0,327.0,-2018.0,26.0,-25.0,-262.0,-893.0,376.0,-1543.0,TILT_L,
