TimeStamp,AccX_0,AccY_0,AccZ_0,GyrX_0,GyrY_0,GyrZ_0,AccX_1,AccY_1,AccZ_1,GyrX_1,GyrY_1,GyrZ_1,AccX_2,AccY_2,AccZ_2,GyrX_2,GyrY_2,GyrZ_2,AccX_3,AccY_3,AccZ_3,GyrX_3,GyrY_3,GyrZ_3,AccX_4,AccY_4,AccZ_4,GyrX_4,GyrY_4,GyrZ_4,AccX_5,AccY_5,AccZ_5,GyrX_5,GyrY_5,GyrZ_5,AccX_6,AccY_6,AccZ_6,GyrX_6,GyrY_6,GyrZ_6,AccX_7,AccY_7,AccZ_7,GyrX_7,GyrY_7,GyrZ_7,AccX_8,AccY_8,AccZ_8,GyrX_8,GyrY_8,GyrZ_8,AccX_9,AccY_9,AccZ_9,GyrX_9,GyrY_9,GyrZ_9,AccX_10,AccY_10,AccZ_10,GyrX_10,GyrY_10,GyrZ_10,AccX_11,AccY_11,AccZ_11,GyrX_11,GyrY_11,GyrZ_11,AccX_12,AccY_12,AccZ_12,GyrX_12,GyrY_12,GyrZ_12,AccX_13,AccY_13,AccZ_13,GyrX_13,GyrY_13,GyrZ_13,AccX_14,AccY_14,AccZ_14,GyrX_14,GyrY_14,GyrZ_14,AccX_15,AccY_15,AccZ_15,GyrX_15,GyrY_15,GyrZ_15,AccX_16,AccY_16,AccZ_16,GyrX_16,GyrY_16,GyrZ_16,AccX_17,AccY_17,AccZ_17,GyrX_17,GyrY_17,GyrZ_17,AccX_18,AccY_18,AccZ_18,GyrX_18,GyrY_18,GyrZ_18,AccX_19,AccY_19,AccZ_19,GyrX_19,GyrY_19,GyrZ_19,AccX_20,AccY_20,AccZ_20,GyrX_20,GyrY_20,GyrZ_20,AccX_21,AccY_21,AccZ_21,GyrX_21,GyrY_21,GyrZ_21,AccX_22,AccY_22,AccZ_22,GyrX_22,GyrY_22,GyrZ_22,AccX_23,AccY_23,AccZ_23,GyrX_23,GyrY_23,GyrZ_23,AccX_24,AccY_24,AccZ_24,GyrX_24,GyrY_24,GyrZ_24,AccX_25,AccY_25,AccZ_25,GyrX_25,GyrY_25,GyrZ_25,AccX_26,AccY_26,AccZ_26,GyrX_26,GyrY_26,GyrZ_26,AccX_27,AccY_27,AccZ_27,GyrX_27,GyrY_27,GyrZ_27,AccX_28,AccY_28,AccZ_28,GyrX_28,GyrY_28,GyrZ_28,AccX_29,AccY_29,AccZ_29,GyrX_29,GyrY_29,GyrZ_29,Label
0,1.0,48.0,-257.0,-47.0,19.0,5.0,0.0,48.0,-260.0,-18.0,23.0,7.0,0.0,48.0,-261.0,-32.0,11.0,20.0,1.0,49.0,-260.0,-29.0,11.0,11.0,0.0,48.0,-260.0,-41.0,26.0,17.0,3.0,45.0,-258.0,-51.0,-17.0,4.0,-4.0,50.0,-258.0,-37.0,-6.0,10.0,0.0,51.0,-258.0,-57.0,6.0,-8.0,2.0,51.0,-260.0,-40.0,8.0,-11.0,1.0,51.0,-261.0,-12.0,7.0,12.0,-1.0,51.0,-259.0,-49.0,19.0,19.0,0.0,49.0,-259.0,-47.0,21.0,17.0,0.0,49.0,-258.0,-19.0,32.0,23.0,0.0,50.0,-259.0,-46.0,27.0,13.0,0.0,50.0,-259.0,-22.0,12.0,-4.0,1.0,51.0,-259.0,-40.0,5.0,1.0,0.0,46.0,-263.0,-15.0,6.0,1.0,14.0,19.0,-277.0,78.0,-29.0,152.0,37.0,-27.0,-305.0,276.0,-289.0,684.0,41.0,-50.0,-294.0,345.0,-587.0,1453.0,23.0,-28.0,-251.0,76.0,-550.0,2218.0,31.0,23.0,-218.0,-122.0,-231.0,2575.0,28.0,86.0,-219.0,-322.0,201.0,2592.0,49.0,141.0,-233.0,-97.0,468.0,2197.0,58.0,183.0,-253.0,-170.0,340.0,1490.0,52.0,193.0,-252.0,-314.0,-10.0,464.0,13.0,195.0,-251.0,-146.0,-3.0,-518.0,32.0,186.0,-247.0,170.0,-9.0,-1392.0,27.0,137.0,-259.0,311.0,-70.0,-2052.0,59.0,117.0,-240.0,275.0,-83.0,-2505.0,TILT_L,
30,29.0,45.0,-237.0,107.0,-73.0,-2618.0,31.0,-1.0,-253.0,45.0,-17.0,-2362.0,11.0,-23.0,-266.0,-162.0,35.0,-1844.0,2.0,-21.0,-272.0,-185.0,100.0,-1239.0,-1.0,-2.0,-270.0,-189.0,70.0,-721.0,-15.0,10.0,-257.0,-123.0,94.0,-452.0,-18.0,21.0,-266.0,-36.0,99.0,-225.0,-22.0,21.0,-256.0,-40.0,41.0,-57.0,-18.0,31.0,-254.0,-3.0,14.0,30.0,-25.0,37.0,-259.0,-17.0,20.0,20.0,-22.0,36.0,-257.0,-49.0,28.0,-16.0,-23.0,32.0,-257.0,-26.0,1.0,16.0,-21.0,32.0,-256.0,-53.0,26.0,-2.0,-24.0,33.0,-256.0,-36.0,32.0,7.0,-21.0,38.0,-256.0,-27.0,35.0,-1.0,-22.0,31.0,-260.0,-41.0,16.0,9.0,-20.0,35.0,-255.0,-31.0,-2.0,4.0,-24.0,35.0,-255.0,-5.0,21.0,17.0,-21.0,25.0,-257.0,-26.0,26.0,53.0,-12.0,13.0,-260.0,20.0,13.0,257.0,-1.0,-9.0,-263.0,57.0,-71.0,638.0,2.0,-2.0,-265.0,197.0,-48.0,1158.0,12.0,-27.0,-255.0,117.0,-45.0,1647.0,16.0,-1.0,-251.0,201.0,-22.0,2073.0,22.0,18.0,-243.0,-89.0,58.0,2258.0,23.0,30.0,-245.0,-332.0,229.0,2379.0,39.0,65.0,-242.0,-53.0,282.0,2175.0,29.0,81.0,-255.0,-580.0,347.0,1992.0,63.0,105.0,-251.0,-507.0,228.0,1633.0,55.0,139.0,-266.0,-297.0,140.0,1214.0,TILT_L,
60,56.0,138.0,-267.0,-471.0,78.0,585.0,53.0,165.0,-263.0,-143.0,-17.0,-52.0,49.0,140.0,-261.0,0.0,-30.0,-703.0,52.0,152.0,-258.0,397.0,-103.0,-1170.0,57.0,106.0,-235.0,44.0,-194.0,-1572.0,43.0,108.0,-251.0,279.0,-2.0,-1891.0,43.0,64.0,-258.0,482.0,74.0,-2059.0,29.0,34.0,-230.0,-705.0,66.0,-2087.0,32.0,5.0,-211.0,128.0,62.0,-1916.0,42.0,-21.0,-267.0,535.0,-618.0,-1249.0,-47.0,11.0,-243.0,-452.0,-343.0,-1186.0,-39.0,28.0,-213.0,-240.0,219.0,-1202.0,-36.0,29.0,-252.0,-611.0,349.0,-1045.0,-18.0,42.0,-268.0,-139.0,274.0,-759.0,-25.0,17.0,-272.0,-109.0,169.0,-438.0,-19.0,31.0,-257.0,-64.0,81.0,-94.0,-18.0,49.0,-260.0,53.0,105.0,75.0,-19.0,53.0,-256.0,-19.0,87.0,90.0,-23.0,58.0,-260.0,21.0,77.0,98.0,-20.0,56.0,-258.0,56.0,42.0,84.0,-14.0,30.0,-261.0,59.0,51.0,257.0,1.0,5.0,-262.0,208.0,-13.0,634.0,0.0,-1.0,-268.0,128.0,-63.0,1127.0,11.0,-2.0,-255.0,326.0,-78.0,1632.0,23.0,21.0,-263.0,464.0,-89.0,2011.0,24.0,20.0,-248.0,-185.0,-77.0,2228.0,38.0,45.0,-240.0,-297.0,32.0,2326.0,49.0,112.0,-269.0,-118.0,83.0,2259.0,54.0,80.0,-257.0,-706.0,181.0,2035.0,49.0,71.0,-230.0,-231.0,148.0,1819.0,TILT_L,
90,61.0,164.0,-257.0,-84.0,260.0,1449.0,66.0,119.0,-252.0,-532.0,268.0,865.0,69.0,175.0,-254.0,-82.0,99.0,350.0,65.0,154.0,-260.0,28.0,63.0,-278.0,65.0,154.0,-266.0,322.0,-47.0,-830.0,68.0,152.0,-242.0,3.0,-169.0,-1367.0,67.0,125.0,-243.0,455.0,-136.0,-1819.0,58.0,96.0,-271.0,481.0,-122.0,-2029.0,50.0,61.0,-267.0,281.0,-294.0,-2002.0,29.0,38.0,-236.0,-283.0,-342.0,-1830.0,0.0,55.0,-254.0,40.0,-37.0,-1770.0,4.0,53.0,-244.0,31.0,236.0,-1771.0,3.0,31.0,-227.0,-125.0,391.0,-1704.0,10.0,25.0,-256.0,-138.0,415.0,-1397.0,9.0,17.0,-268.0,-189.0,264.0,-987.0,8.0,9.0,-271.0,-209.0,122.0,-585.0,4.0,20.0,-279.0,-38.0,-17.0,-240.0,-1.0,43.0,-267.0,-76.0,-88.0,-1.0,-3.0,42.0,-254.0,-30.0,-26.0,29.0,-5.0,54.0,-260.0,26.0,22.0,9.0,-10.0,51.0,-263.0,15.0,3.0,70.0,-8.0,31.0,-260.0,-11.0,-31.0,198.0,0.0,21.0,-265.0,99.0,-91.0,429.0,6.0,20.0,-270.0,169.0,-133.0,759.0,1.0,-3.0,-261.0,154.0,-136.0,1138.0,9.0,1.0,-262.0,310.0,-183.0,1487.0,9.0,15.0,-258.0,97.0,-150.0,1865.0,14.0,1.0,-226.0,-23.0,8.0,2067.0,29.0,72.0,-256.0,-68.0,168.0,2107.0,29.0,65.0,-241.0,-557.0,256.0,2019.0,TILT_L,
120,64.0,125.0,-256.0,-508.0,268.0,2010.0,52.0,105.0,-243.0,-585.0,124.0,1758.0,63.0,142.0,-259.0,-94.0,123.0,1522.0,68.0,128.0,-253.0,-435.0,129.0,986.0,76.0,156.0,-252.0,-327.0,-19.0,496.0,58.0,162.0,-254.0,14.0,40.0,-92.0,65.0,139.0,-250.0,279.0,29.0,-583.0,62.0,131.0,-251.0,199.0,-53.0,-1035.0,61.0,138.0,-261.0,344.0,54.0,-1491.0,64.0,108.0,-248.0,459.0,-26.0,-1741.0,77.0,106.0,-256.0,-155.0,-155.0,-2015.0,37.0,83.0,-247.0,532.0,-206.0,-2177.0,18.0,62.0,-242.0,428.0,58.0,-2223.0,16.0,14.0,-250.0,11.0,163.0,-2133.0,15.0,15.0,-259.0,40.0,158.0,-1819.0,16.0,19.0,-237.0,-285.0,284.0,-1540.0,11.0,1.0,-253.0,-384.0,225.0,-1082.0,13.0,19.0,-267.0,-208.0,69.0,-605.0,8.0,24.0,-275.0,-180.0,-1.0,-256.0,2.0,41.0,-267.0,-7.0,-60.0,-77.0,-3.0,55.0,-261.0,2.0,-2.0,-48.0,-7.0,45.0,-256.0,-40.0,1.0,-11.0,-5.0,40.0,-259.0,28.0,-5.0,160.0,4.0,19.0,-265.0,65.0,-57.0,404.0,10.0,7.0,-269.0,117.0,-149.0,819.0,14.0,5.0,-278.0,253.0,-268.0,1335.0,8.0,-2.0,-245.0,235.0,-340.0,1791.0,20.0,5.0,-242.0,97.0,-178.0,2035.0,16.0,63.0,-261.0,50.0,-49.0,2145.0,18.0,50.0,-243.0,224.0,49.0,2115.0,TILT_L,
150,22.0,68.0,-247.0,-146.0,121.0,2029.0,31.0,86.0,-259.0,17.0,131.0,1883.0,37.0,74.0,-240.0,-386.0,261.0,1617.0,57.0,89.0,-246.0,-586.0,327.0,1335.0,63.0,130.0,-266.0,-83.0,285.0,1053.0,58.0,115.0,-261.0,-203.0,118.0,604.0,58.0,131.0,-258.0,-92.0,92.0,116.0,63.0,133.0,-257.0,221.0,132.0,-412.0,76.0,126.0,-249.0,142.0,-84.0,-831.0,68.0,125.0,-244.0,99.0,-1.0,-1497.0,79.0,134.0,-252.0,267.0,121.0,-2003.0,80.0,84.0,-274.0,549.0,-116.0,-2110.0,51.0,64.0,-259.0,433.0,-165.0,-2253.0,39.0,44.0,-261.0,182.0,15.0,-2339.0,30.0,23.0,-226.0,-99.0,-51.0,-2159.0,30.0,0.0,-244.0,-236.0,5.0,-1846.0,21.0,15.0,-267.0,-230.0,71.0,-1432.0,11.0,2.0,-271.0,-160.0,100.0,-1030.0,13.0,6.0,-256.0,-237.0,-17.0,-516.0,6.0,22.0,-265.0,118.0,-75.0,-186.0,0.0,36.0,-260.0,-235.0,-14.0,-21.0,2.0,32.0,-258.0,57.0,19.0,155.0,1.0,16.0,-272.0,-67.0,-13.0,395.0,14.0,-4.0,-269.0,36.0,-129.0,863.0,10.0,1.0,-260.0,323.0,-225.0,1378.0,17.0,-8.0,-275.0,175.0,-192.0,1828.0,33.0,22.0,-255.0,238.0,-176.0,2182.0,39.0,43.0,-256.0,-25.0,-75.0,2402.0,40.0,62.0,-253.0,-75.0,24.0,2411.0,45.0,48.0,-252.0,-4.0,142.0,2281.0,TILT_L,
180,51.0,87.0,-254.0,-347.0,123.0,1873.0,51.0,94.0,-243.0,-169.0,115.0,1441.0,47.0,154.0,-255.0,-142.0,40.0,931.0,42.0,110.0,-250.0,-587.0,-40.0,342.0,28.0,135.0,-248.0,43.0,-55.0,-79.0,33.0,137.0,-253.0,14.0,64.0,-557.0,49.0,123.0,-246.0,149.0,27.0,-1115.0,47.0,123.0,-254.0,458.0,108.0,-1707.0,64.0,103.0,-263.0,276.0,136.0,-2186.0,63.0,83.0,-255.0,221.0,80.0,-2460.0,51.0,21.0,-255.0,-266.0,85.0,-2619.0,52.0,-13.0,-267.0,258.0,82.0,-2299.0,27.0,21.0,-256.0,-244.0,158.0,-2019.0,21.0,-29.0,-252.0,-415.0,75.0,-1370.0,24.0,-21.0,-284.0,-73.0,5.0,-767.0,9.0,23.0,-263.0,-134.0,-64.0,-349.0,8.0,38.0,-260.0,-59.0,6.0,-187.0,0.0,44.0,-262.0,-76.0,25.0,-95.0,-1.0,37.0,-251.0,-78.0,45.0,-12.0,0.0,53.0,-258.0,9.0,35.0,52.0,0.0,54.0,-269.0,-36.0,-25.0,63.0,0.0,23.0,-266.0,-125.0,-78.0,220.0,17.0,-6.0,-284.0,-59.0,-189.0,693.0,26.0,-6.0,-269.0,206.0,-355.0,1380.0,24.0,0.0,-265.0,541.0,-327.0,2074.0,31.0,-4.0,-250.0,814.0,-173.0,2550.0,45.0,72.0,-270.0,283.0,45.0,2632.0,36.0,-14.0,-226.0,-526.0,202.0,2501.0,46.0,92.0,-253.0,300.0,161.0,2395.0,58.0,145.0,-259.0,655.0,294.0,1934.0,TILT_L,
210,54.0,36.0,-246.0,-912.0,482.0,1524.0,57.0,103.0,-256.0,-100.0,318.0,1057.0,66.0,140.0,-273.0,-245.0,188.0,477.0,62.0,123.0,-271.0,-54.0,79.0,-347.0,72.0,130.0,-261.0,248.0,-108.0,-970.0,70.0,107.0,-266.0,295.0,-5.0,-1846.0,71.0,104.0,-273.0,512.0,-51.0,-2342.0,58.0,72.0,-263.0,1.0,-87.0,-2626.0,81.0,29.0,-215.0,-90.0,-345.0,-2662.0,41.0,-10.0,-241.0,54.0,-413.0,-2302.0,22.0,-21.0,-254.0,-189.0,-255.0,-2065.0,9.0,-1.0,-270.0,-446.0,30.0,-1717.0,11.0,2.0,-259.0,-298.0,143.0,-1265.0,5.0,9.0,-255.0,-368.0,107.0,-747.0,1.0,9.0,-265.0,-162.0,51.0,-317.0,0.0,44.0,-268.0,-47.0,93.0,-109.0,-2.0,38.0,-262.0,-60.0,78.0,-48.0,-11.0,52.0,-258.0,-16.0,20.0,20.0,-17.0,42.0,-255.0,-73.0,34.0,31.0,-10.0,54.0,-256.0,20.0,33.0,6.0,-14.0,52.0,-255.0,-95.0,35.0,-1.0,-9.0,45.0,-259.0,8.0,-51.0,48.0,-10.0,58.0,-258.0,-16.0,-54.0,75.0,-3.0,27.0,-262.0,-32.0,-34.0,224.0,7.0,4.0,-280.0,41.0,-117.0,634.0,14.0,4.0,-277.0,197.0,-288.0,1175.0,8.0,-29.0,-257.0,194.0,-282.0,1723.0,22.0,-2.0,-255.0,442.0,-266.0,2158.0,17.0,26.0,-258.0,110.0,-163.0,2473.0,35.0,12.0,-220.0,45.0,19.0,2525.0,TILT_L,
240,40.0,169.0,-263.0,862.0,70.0,2587.0,59.0,72.0,-229.0,-1020.0,335.0,2342.0,63.0,126.0,-256.0,47.0,420.0,1780.0,58.0,116.0,-257.0,-291.0,318.0,1278.0,52.0,137.0,-275.0,-292.0,225.0,691.0,61.0,140.0,-268.0,-125.0,25.0,144.0,69.0,133.0,-257.0,114.0,17.0,-701.0,63.0,165.0,-258.0,134.0,-110.0,-1333.0,64.0,107.0,-256.0,419.0,-87.0,-1965.0,72.0,76.0,-266.0,0.0,-224.0,-2241.0,50.0,88.0,-292.0,351.0,-309.0,-2401.0,53.0,99.0,-238.0,553.0,-254.0,-2481.0,3.0,-9.0,-245.0,-585.0,-261.0,-2277.0,0.0,17.0,-249.0,-85.0,59.0,-2202.0,2.0,31.0,-256.0,-354.0,353.0,-1938.0,4.0,-4.0,-249.0,-425.0,328.0,-1443.0,2.0,-5.0,-258.0,-321.0,234.0,-790.0,10.0,17.0,-278.0,-82.0,107.0,-306.0,-4.0,50.0,-270.0,-102.0,33.0,-59.0,-13.0,48.0,-255.0,-44.0,98.0,-85.0,-18.0,47.0,-256.0,-55.0,78.0,-25.0,-18.0,49.0,-257.0,-52.0,26.0,23.0,-17.0,51.0,-257.0,-92.0,0.0,3.0,-12.0,34.0,-254.0,-31.0,11.0,55.0,1.0,30.0,-269.0,26.0,-50.0,383.0,11.0,-15.0,-272.0,30.0,-158.0,941.0,22.0,7.0,-276.0,387.0,-275.0,1494.0,10.0,13.0,-267.0,504.0,-214.0,2030.0,62.0,65.0,-268.0,126.0,-404.0,2010.0,-25.0,5.0,-226.0,606.0,-270.0,2207.0,TILT_L,
270,10.0,6.0,-207.0,14.0,91.0,2381.0,10.0,58.0,-256.0,82.0,241.0,2359.0,42.0,64.0,-247.0,-452.0,267.0,2197.0,48.0,107.0,-239.0,-345.0,193.0,1839.0,54.0,140.0,-246.0,-237.0,196.0,1252.0,50.0,143.0,-253.0,-553.0,38.0,707.0,35.0,151.0,-249.0,-52.0,68.0,1.0,45.0,117.0,-252.0,46.0,-19.0,-445.0,45.0,157.0,-259.0,251.0,30.0,-1068.0,56.0,140.0,-247.0,41.0,70.0,-1624.0,52.0,125.0,-277.0,219.0,190.0,-2145.0,42.0,103.0,-223.0,71.0,-59.0,-2296.0,31.0,36.0,-226.0,-197.0,-35.0,-2368.0,8.0,54.0,-265.0,122.0,135.0,-2460.0,31.0,48.0,-262.0,-177.0,225.0,-2252.0,30.0,33.0,-267.0,-96.0,304.0,-2017.0,16.0,8.0,-262.0,-284.0,223.0,-1537.0,6.0,5.0,-254.0,-302.0,27.0,-813.0,2.0,9.0,-265.0,-133.0,76.0,-322.0,1.0,47.0,-272.0,24.0,20.0,-19.0,-14.0,40.0,-258.0,-123.0,-5.0,88.0,-13.0,49.0,-258.0,163.0,54.0,119.0,-19.0,61.0,-262.0,-10.0,54.0,42.0,-14.0,48.0,-255.0,-53.0,40.0,10.0,-11.0,43.0,-259.0,-11.0,-30.0,54.0,0.0,11.0,-267.0,-24.0,-83.0,363.0,25.0,-10.0,-274.0,163.0,-145.0,973.0,40.0,-30.0,-276.0,409.0,-168.0,1696.0,26.0,-29.0,-264.0,137.0,-85.0,2396.0,46.0,-8.0,-235.0,335.0,-130.0,2836.0,TILT_L,
