TimeStamp,AccX_0,AccY_0,AccZ_0,GyrX_0,GyrY_0,GyrZ_0,AccX_1,AccY_1,AccZ_1,GyrX_1,GyrY_1,GyrZ_1,AccX_2,AccY_2,AccZ_2,GyrX_2,GyrY_2,GyrZ_2,AccX_3,AccY_3,AccZ_3,GyrX_3,GyrY_3,GyrZ_3,AccX_4,AccY_4,AccZ_4,GyrX_4,GyrY_4,GyrZ_4,AccX_5,AccY_5,AccZ_5,GyrX_5,GyrY_5,GyrZ_5,AccX_6,AccY_6,AccZ_6,GyrX_6,GyrY_6,GyrZ_6,AccX_7,AccY_7,AccZ_7,GyrX_7,GyrY_7,GyrZ_7,AccX_8,AccY_8,AccZ_8,GyrX_8,GyrY_8,GyrZ_8,AccX_9,AccY_9,AccZ_9,GyrX_9,GyrY_9,GyrZ_9,AccX_10,AccY_10,AccZ_10,GyrX_10,GyrY_10,GyrZ_10,AccX_11,AccY_11,AccZ_11,GyrX_11,GyrY_11,GyrZ_11,AccX_12,AccY_12,AccZ_12,GyrX_12,GyrY_12,GyrZ_12,AccX_13,AccY_13,AccZ_13,GyrX_13,GyrY_13,GyrZ_13,AccX_14,AccY_14,AccZ_14,GyrX_14,GyrY_14,GyrZ_14,AccX_15,AccY_15,AccZ_15,GyrX_15,GyrY_15,GyrZ_15,AccX_16,AccY_16,AccZ_16,GyrX_16,GyrY_16,GyrZ_16,AccX_17,AccY_17,AccZ_17,GyrX_17,GyrY_17,GyrZ_17,AccX_18,AccY_18,AccZ_18,GyrX_18,GyrY_18,GyrZ_18,AccX_19,AccY_19,AccZ_19,GyrX_19,GyrY_19,GyrZ_19,AccX_20,AccY_20,AccZ_20,GyrX_20,GyrY_20,GyrZ_20,AccX_21,AccY_21,AccZ_21,GyrX_21,GyrY_21,GyrZ_21,AccX_22,AccY_22,AccZ_22,GyrX_22,GyrY_22,GyrZ_22,AccX_23,AccY_23,AccZ_23,GyrX_23,GyrY_23,GyrZ_23,AccX_24,AccY_24,AccZ_24,GyrX_24,GyrY_24,GyrZ_24,AccX_25,AccY_25,AccZ_25,GyrX_25,GyrY_25,GyrZ_25,AccX_26,AccY_26,AccZ_26,GyrX_26,GyrY_26,GyrZ_26,AccX_27,AccY_27,AccZ_27,GyrX_27,GyrY_27,GyrZ_27,AccX_28,AccY_28,AccZ_28,GyrX_28,GyrY_28,GyrZ_28,AccX_29,AccY_29,AccZ_29,GyrX_29,GyrY_29,GyrZ_29,Label
0,-11.0,44.0,-258.0,70.0,81.0,-23.0,-6.0,41.0,-255.0,28.0,60.0,11.0,-5.0,45.0,-255.0,36.0,64.0,7.0,-7.0,45.0,-255.0,-24.0,57.0,4.0,-10.0,43.0,-256.0,-45.0,59.0,9.0,-8.0,45.0,-261.0,-34.0,44.0,12.0,-5.0,45.0,-261.0,-31.0,7.0,11.0,-7.0,43.0,-262.0,-23.0,6.0,9.0,-7.0,43.0,-261.0,0.0,3.0,16.0,-4.0,45.0,-259.0,-4.0,-6.0,5.0,-4.0,41.0,-255.0,-48.0,-8.0,8.0,-7.0,39.0,-257.0,-36.0,9.0,-6.0,-7.0,40.0,-257.0,-32.0,8.0,15.0,-7.0,40.0,-259.0,-12.0,23.0,21.0,-6.0,42.0,-257.0,-56.0,11.0,24.0,-3.0,42.0,-260.0,-46.0,-6.0,10.0,-7.0,39.0,-257.0,-46.0,3.0,15.0,-7.0,38.0,-257.0,-51.0,14.0,17.0,-5.0,43.0,-259.0,-22.0,12.0,25.0,-8.0,46.0,-259.0,-18.0,7.0,29.0,-8.0,41.0,-259.0,-46.0,2.0,14.0,-9.0,45.0,-257.0,-48.0,15.0,14.0,-7.0,42.0,-259.0,-34.0,11.0,4.0,-7.0,47.0,-258.0,-53.0,6.0,9.0,-6.0,44.0,-256.0,-43.0,-1.0,-4.0,-6.0,42.0,-257.0,-25.0,8.0,2.0,-7.0,44.0,-259.0,-22.0,18.0,5.0,-8.0,44.0,-258.0,-37.0,17.0,18.0,-4.0,44.0,-257.0,-35.0,9.0,11.0,-9.0,44.0,-258.0,-16.0,31.0,7.0,TILT_L,
30,-6.0,45.0,-260.0,-12.0,22.0,7.0,-5.0,41.0,-257.0,-33.0,14.0,11.0,-7.0,44.0,-258.0,-37.0,28.0,3.0,-8.0,42.0,-258.0,-30.0,15.0,16.0,-5.0,46.0,-259.0,-22.0,21.0,7.0,-5.0,45.0,-260.0,-39.0,10.0,4.0,-6.0,43.0,-260.0,-24.0,11.0,8.0,-5.0,42.0,-258.0,-27.0,3.0,17.0,-6.0,46.0,-257.0,-36.0,5.0,21.0,-9.0,43.0,-261.0,-19.0,22.0,0.0,-15.0,31.0,-265.0,1888.0,115.0,39.0,-1.0,59.0,-289.0,3773.0,211.0,-234.0,7.0,-189.0,-221.0,3376.0,278.0,-926.0,39.0,-166.0,-217.0,2673.0,337.0,-1403.0,48.0,-169.0,-164.0,1839.0,299.0,-1280.0,59.0,-187.0,-126.0,1318.0,336.0,-1076.0,82.0,-205.0,-122.0,819.0,260.0,-644.0,96.0,-225.0,-102.0,326.0,141.0,-285.0,107.0,-215.0,-112.0,-55.0,19.0,86.0,109.0,-213.0,-115.0,-225.0,-61.0,255.0,98.0,-224.0,-114.0,-579.0,-85.0,288.0,105.0,-212.0,-123.0,-1047.0,-239.0,645.0,78.0,-217.0,-118.0,-2710.0,-428.0,988.0,94.0,-228.0,-156.0,-8088.0,-997.0,1099.0,19.0,77.0,-111.0,-8680.0,-1057.0,-27.0,-37.0,323.0,-230.0,-1601.0,-574.0,85.0,-32.0,202.0,-237.0,2443.0,31.0,270.0,-13.0,92.0,-269.0,1281.0,361.0,165.0,9.0,91.0,-256.0,620.0,214.0,232.0,16.0,68.0,-247.0,722.0,45.0,305.0,TILT_L,
60,18.0,88.0,-243.0,-306.0,-59.0,229.0,6.0,78.0,-246.0,-74.0,-93.0,238.0,-2.0,98.0,-253.0,-216.0,-41.0,176.0,2.0,85.0,-251.0,-223.0,-38.0,128.0,0.0,100.0,-253.0,-74.0,-8.0,75.0,-1.0,98.0,-251.0,-66.0,-1.0,36.0,3.0,91.0,-251.0,-42.0,-4.0,29.0,10.0,100.0,-251.0,-72.0,-25.0,19.0,6.0,94.0,-248.0,-165.0,-39.0,10.0,7.0,97.0,-247.0,-479.0,-14.0,4.0,7.0,111.0,-250.0,-404.0,11.0,23.0,5.0,126.0,-251.0,-591.0,-1.0,33.0,7.0,182.0,-242.0,-520.0,42.0,-14.0,14.0,372.0,-236.0,7000.0,81.0,309.0,-9.0,-240.0,-41.0,8820.0,483.0,501.0,16.0,-9.0,-272.0,1785.0,330.0,-768.0,41.0,-168.0,-168.0,925.0,269.0,-1006.0,55.0,-203.0,-170.0,586.0,293.0,-776.0,81.0,-203.0,-161.0,295.0,115.0,-406.0,69.0,-190.0,-161.0,101.0,18.0,-13.0,82.0,-188.0,-157.0,-113.0,-62.0,155.0,72.0,-204.0,-154.0,-344.0,-52.0,232.0,73.0,-218.0,-150.0,-948.0,-27.0,363.0,58.0,-162.0,-193.0,-3961.0,-154.0,647.0,86.0,-124.0,-175.0,-8259.0,-708.0,228.0,25.0,244.0,-137.0,-6388.0,-941.0,-590.0,-10.0,252.0,-249.0,568.0,-570.0,-176.0,-14.0,117.0,-226.0,443.0,-60.0,42.0,-1.0,153.0,-230.0,50.0,129.0,129.0,7.0,146.0,-228.0,411.0,134.0,145.0,TILT_L,
90,15.0,147.0,-231.0,361.0,69.0,116.0,11.0,132.0,-231.0,-6.0,1.0,96.0,13.0,144.0,-231.0,171.0,-1.0,107.0,17.0,130.0,-235.0,-82.0,-8.0,46.0,15.0,140.0,-236.0,14.0,-24.0,33.0,11.0,135.0,-238.0,24.0,-17.0,21.0,9.0,131.0,-238.0,-31.0,4.0,19.0,10.0,133.0,-238.0,-45.0,-5.0,21.0,11.0,137.0,-232.0,-112.0,-7.0,6.0,9.0,132.0,-237.0,-55.0,-1.0,15.0,9.0,128.0,-236.0,-161.0,-45.0,43.0,3.0,134.0,-241.0,-574.0,-33.0,46.0,1.0,121.0,-238.0,-746.0,-58.0,201.0,5.0,253.0,-239.0,1876.0,-89.0,235.0,-22.0,126.0,-129.0,10441.0,136.0,1020.0,22.0,-445.0,-136.0,3330.0,527.0,74.0,66.0,-137.0,-221.0,1649.0,237.0,-473.0,42.0,-145.0,-196.0,1124.0,105.0,-695.0,67.0,-148.0,-160.0,723.0,109.0,-520.0,63.0,-219.0,-147.0,204.0,27.0,-275.0,65.0,-213.0,-138.0,-110.0,19.0,-83.0,75.0,-189.0,-155.0,-93.0,24.0,-33.0,63.0,-194.0,-155.0,-243.0,14.0,65.0,82.0,-209.0,-159.0,-1089.0,-154.0,302.0,58.0,-284.0,-158.0,-6717.0,-413.0,230.0,64.0,53.0,-160.0,-7834.0,-615.0,-339.0,17.0,205.0,-170.0,-4901.0,-473.0,-767.0,9.0,202.0,-256.0,1753.0,-634.0,-271.0,-29.0,112.0,-243.0,-666.0,-175.0,-96.0,5.0,164.0,-214.0,-22.0,91.0,114.0,TILT_L,
120,2.0,151.0,-216.0,-44.0,132.0,38.0,5.0,151.0,-224.0,-159.0,118.0,22.0,7.0,149.0,-225.0,-40.0,25.0,32.0,7.0,164.0,-223.0,-48.0,46.0,6.0,9.0,148.0,-221.0,-17.0,59.0,21.0,12.0,164.0,-225.0,51.0,59.0,-6.0,7.0,146.0,-228.0,-132.0,-5.0,-1.0,9.0,159.0,-222.0,80.0,-27.0,33.0,8.0,157.0,-220.0,-66.0,-4.0,29.0,7.0,153.0,-224.0,-64.0,9.0,1.0,3.0,159.0,-227.0,-19.0,21.0,28.0,4.0,162.0,-230.0,397.0,39.0,33.0,0.0,336.0,-236.0,8941.0,312.0,263.0,0.0,-320.0,27.0,8527.0,652.0,558.0,28.0,43.0,-273.0,1401.0,232.0,-441.0,41.0,-194.0,-154.0,174.0,-5.0,-394.0,45.0,-201.0,-173.0,228.0,47.0,-223.0,37.0,-188.0,-165.0,172.0,42.0,-239.0,51.0,-208.0,-162.0,-26.0,79.0,-160.0,63.0,-198.0,-168.0,-17.0,8.0,-94.0,57.0,-208.0,-162.0,-253.0,-46.0,73.0,64.0,-190.0,-178.0,-359.0,-90.0,198.0,55.0,-182.0,-187.0,-1335.0,-288.0,397.0,33.0,-204.0,-177.0,-3448.0,-345.0,492.0,41.0,-73.0,-207.0,-5829.0,-679.0,379.0,9.0,38.0,-201.0,-6305.0,-818.0,-84.0,-23.0,275.0,-190.0,-3521.0,-513.0,-274.0,-36.0,219.0,-194.0,-1186.0,-106.0,-163.0,-24.0,208.0,-183.0,-22.0,63.0,71.0,-18.0,247.0,-182.0,-186.0,39.0,82.0,TILT_L,
150,-19.0,195.0,-175.0,146.0,60.0,84.0,-15.0,224.0,-170.0,383.0,43.0,89.0,-17.0,204.0,-179.0,233.0,72.0,65.0,-14.0,200.0,-181.0,151.0,90.0,66.0,-13.0,206.0,-185.0,126.0,84.0,26.0,-12.0,190.0,-190.0,107.0,40.0,16.0,-9.0,182.0,-189.0,-161.0,40.0,27.0,-6.0,209.0,-191.0,161.0,11.0,15.0,-11.0,207.0,-193.0,-229.0,29.0,-18.0,-13.0,194.0,-195.0,110.0,51.0,13.0,-18.0,247.0,-209.0,1433.0,103.0,48.0,-22.0,303.0,-172.0,10165.0,674.0,575.0,1.0,-222.0,-107.0,7451.0,734.0,66.0,69.0,-145.0,-233.0,1542.0,321.0,-895.0,20.0,-218.0,-161.0,608.0,168.0,-934.0,61.0,-189.0,-155.0,253.0,47.0,-456.0,63.0,-193.0,-157.0,-9.0,-150.0,-31.0,56.0,-189.0,-152.0,-12.0,-128.0,-3.0,55.0,-181.0,-171.0,-124.0,-41.0,-54.0,68.0,-203.0,-168.0,-227.0,-76.0,-48.0,62.0,-210.0,-177.0,-407.0,-127.0,56.0,61.0,-201.0,-178.0,-886.0,-235.0,271.0,51.0,-146.0,-190.0,-2608.0,-413.0,469.0,32.0,-111.0,-199.0,-4233.0,-775.0,430.0,5.0,37.0,-246.0,-4874.0,-780.0,263.0,-11.0,162.0,-225.0,-3866.0,-673.0,-189.0,-35.0,147.0,-231.0,-2085.0,-362.0,-189.0,-30.0,190.0,-217.0,-199.0,-49.0,-44.0,-22.0,141.0,-217.0,-424.0,72.0,26.0,-12.0,198.0,-206.0,-130.0,25.0,38.0,TILT_L,
180,-20.0,181.0,-208.0,503.0,1.0,69.0,-17.0,105.0,-209.0,-754.0,25.0,24.0,-22.0,217.0,-205.0,240.0,-22.0,57.0,-26.0,127.0,-205.0,-97.0,-10.0,-8.0,-23.0,181.0,-212.0,153.0,7.0,15.0,-25.0,167.0,-211.0,51.0,-9.0,0.0,-23.0,165.0,-211.0,126.0,14.0,37.0,-22.0,168.0,-213.0,-151.0,28.0,3.0,-20.0,176.0,-211.0,91.0,16.0,6.0,-24.0,159.0,-215.0,5.0,61.0,-5.0,-24.0,200.0,-228.0,1171.0,151.0,53.0,-44.0,296.0,-265.0,5808.0,472.0,2.0,-23.0,-24.0,-36.0,10717.0,923.0,172.0,5.0,-91.0,-306.0,973.0,572.0,-1659.0,66.0,-233.0,-134.0,987.0,349.0,-1033.0,57.0,-199.0,-163.0,779.0,287.0,-514.0,79.0,-192.0,-136.0,229.0,87.0,-130.0,64.0,-189.0,-143.0,-50.0,36.0,16.0,78.0,-192.0,-135.0,-117.0,24.0,42.0,74.0,-200.0,-151.0,-132.0,7.0,68.0,72.0,-209.0,-150.0,-357.0,-77.0,156.0,76.0,-209.0,-158.0,-866.0,-212.0,360.0,68.0,-196.0,-164.0,-1875.0,-523.0,611.0,28.0,-152.0,-195.0,-4100.0,-544.0,528.0,41.0,-59.0,-210.0,-4890.0,-790.0,449.0,6.0,109.0,-211.0,-4452.0,-762.0,-58.0,-30.0,133.0,-256.0,-1086.0,-272.0,-48.0,-26.0,159.0,-246.0,-1071.0,-136.0,-93.0,-17.0,168.0,-230.0,-1850.0,-205.0,-162.0,-22.0,190.0,-210.0,-273.0,-131.0,-75.0,TILT_L,
210,-28.0,201.0,-205.0,-1087.0,-108.0,-105.0,-23.0,207.0,-194.0,622.0,-62.0,80.0,-30.0,175.0,-201.0,-227.0,0.0,21.0,-23.0,184.0,-197.0,114.0,4.0,62.0,-29.0,191.0,-201.0,-22.0,40.0,39.0,-26.0,185.0,-200.0,53.0,27.0,30.0,-28.0,186.0,-201.0,11.0,14.0,25.0,-25.0,179.0,-199.0,-48.0,26.0,17.0,-24.0,181.0,-199.0,-66.0,29.0,15.0,-27.0,177.0,-203.0,40.0,58.0,28.0,-21.0,184.0,-202.0,-37.0,66.0,53.0,-33.0,330.0,-217.0,3957.0,183.0,-198.0,-7.0,94.0,-29.0,12682.0,644.0,788.0,-23.0,-318.0,-240.0,729.0,527.0,-1130.0,54.0,-214.0,-176.0,1066.0,231.0,-960.0,20.0,-221.0,-185.0,612.0,242.0,-583.0,48.0,-189.0,-172.0,171.0,171.0,-234.0,53.0,-174.0,-176.0,-38.0,43.0,19.0,46.0,-190.0,-172.0,-240.0,-37.0,44.0,47.0,-181.0,-178.0,-242.0,-30.0,87.0,40.0,-205.0,-178.0,-915.0,-76.0,221.0,41.0,-166.0,-199.0,-2424.0,-237.0,557.0,43.0,-93.0,-221.0,-4153.0,-633.0,522.0,1.0,8.0,-271.0,-2014.0,-896.0,628.0,-31.0,76.0,-243.0,-4729.0,-686.0,77.0,-26.0,136.0,-204.0,-3401.0,-256.0,-190.0,-32.0,194.0,-220.0,89.0,87.0,8.0,-23.0,165.0,-230.0,-48.0,138.0,-1.0,-21.0,143.0,-221.0,202.0,53.0,61.0,-16.0,163.0,-214.0,-130.0,7.0,74.0,TILT_L,
240,-20.0,151.0,-216.0,34.0,44.0,106.0,-19.0,179.0,-221.0,-101.0,22.0,28.0,-25.0,151.0,-225.0,159.0,-9.0,67.0,-22.0,147.0,-222.0,29.0,24.0,84.0,-20.0,160.0,-217.0,-17.0,-11.0,42.0,-21.0,153.0,-215.0,-268.0,18.0,3.0,-21.0,164.0,-217.0,235.0,67.0,6.0,-17.0,164.0,-225.0,-191.0,63.0,-10.0,-20.0,151.0,-223.0,91.0,38.0,-1.0,-19.0,150.0,-222.0,21.0,78.0,12.0,-17.0,146.0,-225.0,51.0,123.0,11.0,-15.0,180.0,-232.0,1074.0,202.0,-2.0,-16.0,177.0,-188.0,8109.0,546.0,494.0,20.0,-218.0,-109.0,6847.0,592.0,137.0,13.0,-88.0,-260.0,1769.0,337.0,-921.0,33.0,-196.0,-173.0,752.0,169.0,-739.0,60.0,-168.0,-164.0,443.0,94.0,-350.0,54.0,-198.0,-160.0,35.0,-54.0,32.0,50.0,-199.0,-145.0,75.0,27.0,-14.0,56.0,-188.0,-159.0,-90.0,59.0,6.0,67.0,-197.0,-173.0,-220.0,-46.0,119.0,57.0,-241.0,-164.0,-584.0,-191.0,368.0,41.0,-197.0,-160.0,-1074.0,-137.0,469.0,47.0,-94.0,-204.0,-1180.0,-295.0,672.0,-3.0,-148.0,-214.0,-4813.0,-485.0,294.0,16.0,-52.0,-201.0,-6098.0,-596.0,30.0,-11.0,102.0,-233.0,-3201.0,-568.0,-88.0,-30.0,156.0,-245.0,-917.0,-317.0,-71.0,-26.0,136.0,-240.0,-623.0,-146.0,-110.0,-23.0,143.0,-231.0,-285.0,-109.0,-24.0,TILT_L,
270,-30.0,158.0,-228.0,-373.0,-55.0,-14.0,-34.0,162.0,-223.0,26.0,26.0,34.0,-27.0,155.0,-215.0,-129.0,63.0,32.0,-29.0,163.0,-221.0,178.0,49.0,34.0,-30.0,139.0,-224.0,96.0,57.0,47.0,-29.0,164.0,-225.0,-95.0,23.0,-14.0,-30.0,135.0,-225.0,-36.0,18.0,-2.0,-27.0,155.0,-224.0,-95.0,37.0,1.0,-26.0,145.0,-221.0,-15.0,64.0,10.0,-26.0,158.0,-227.0,68.0,97.0,25.0,-26.0,155.0,-232.0,672.0,159.0,78.0,-23.0,142.0,-216.0,5523.0,573.0,295.0,-2.0,75.0,-183.0,7931.0,735.0,261.0,30.0,-299.0,-184.0,2369.0,686.0,-1100.0,57.0,-230.0,-153.0,1515.0,466.0,-1039.0,62.0,-199.0,-177.0,818.0,236.0,-656.0,64.0,-219.0,-160.0,285.0,26.0,-193.0,67.0,-190.0,-138.0,226.0,-42.0,28.0,67.0,-144.0,-145.0,141.0,84.0,-23.0,82.0,-173.0,-157.0,-203.0,-35.0,10.0,75.0,-191.0,-163.0,-366.0,-157.0,143.0,66.0,-218.0,-158.0,-1042.0,-256.0,428.0,62.0,-212.0,-170.0,-1505.0,-412.0,725.0,27.0,-81.0,-226.0,-2803.0,-449.0,519.0,28.0,-112.0,-207.0,-4438.0,-629.0,383.0,-2.0,13.0,-237.0,-3615.0,-704.0,142.0,-26.0,95.0,-254.0,-2700.0,-649.0,-53.0,-34.0,147.0,-240.0,-1775.0,-553.0,-103.0,-42.0,160.0,-229.0,-1041.0,-422.0,-88.0,-49.0,178.0,-223.0,-496.0,-179.0,-55.0,TILT_L,
