TimeStamp,AccX_0,AccY_0,AccZ_0,GyrX_0,GyrY_0,GyrZ_0,AccX_1,AccY_1,AccZ_1,GyrX_1,GyrY_1,GyrZ_1,AccX_2,AccY_2,AccZ_2,GyrX_2,GyrY_2,GyrZ_2,AccX_3,AccY_3,AccZ_3,GyrX_3,GyrY_3,GyrZ_3,AccX_4,AccY_4,AccZ_4,GyrX_4,GyrY_4,GyrZ_4,AccX_5,AccY_5,AccZ_5,GyrX_5,GyrY_5,GyrZ_5,AccX_6,AccY_6,AccZ_6,GyrX_6,GyrY_6,GyrZ_6,AccX_7,AccY_7,AccZ_7,GyrX_7,GyrY_7,GyrZ_7,AccX_8,AccY_8,AccZ_8,GyrX_8,GyrY_8,GyrZ_8,AccX_9,AccY_9,AccZ_9,GyrX_9,GyrY_9,GyrZ_9,AccX_10,AccY_10,AccZ_10,GyrX_10,GyrY_10,GyrZ_10,AccX_11,AccY_11,AccZ_11,GyrX_11,GyrY_11,GyrZ_11,AccX_12,AccY_12,AccZ_12,GyrX_12,GyrY_12,GyrZ_12,AccX_13,AccY_13,AccZ_13,GyrX_13,GyrY_13,GyrZ_13,AccX_14,AccY_14,AccZ_14,GyrX_14,GyrY_14,GyrZ_14,AccX_15,AccY_15,AccZ_15,GyrX_15,GyrY_15,GyrZ_15,AccX_16,AccY_16,AccZ_16,GyrX_16,GyrY_16,GyrZ_16,AccX_17,AccY_17,AccZ_17,GyrX_17,GyrY_17,GyrZ_17,AccX_18,AccY_18,AccZ_18,GyrX_18,GyrY_18,GyrZ_18,AccX_19,AccY_19,AccZ_19,GyrX_19,GyrY_19,GyrZ_19,AccX_20,AccY_20,AccZ_20,GyrX_20,GyrY_20,GyrZ_20,AccX_21,AccY_21,AccZ_21,GyrX_21,GyrY_21,GyrZ_21,AccX_22,AccY_22,AccZ_22,GyrX_22,GyrY_22,GyrZ_22,AccX_23,AccY_23,AccZ_23,GyrX_23,GyrY_23,GyrZ_23,AccX_24,AccY_24,AccZ_24,GyrX_24,GyrY_24,GyrZ_24,AccX_25,AccY_25,AccZ_25,GyrX_25,GyrY_25,GyrZ_25,AccX_26,AccY_26,AccZ_26,GyrX_26,GyrY_26,GyrZ_26,AccX_27,AccY_27,AccZ_27,GyrX_27,GyrY_27,GyrZ_27,AccX_28,AccY_28,AccZ_28,GyrX_28,GyrY_28,GyrZ_28,AccX_29,AccY_29,AccZ_29,GyrX_29,GyrY_29,GyrZ_29,Label
0,0.0,50.0,-257.0,-50.0,18.0,8.0,1.0,50.0,-257.0,-40.0,17.0,17.0,0.0,50.0,-259.0,-29.0,29.0,10.0,0.0,50.0,-260.0,-37.0,23.0,22.0,0.0,55.0,-257.0,-28.0,31.0,14.0,0.0,55.0,-262.0,-45.0,7.0,-7.0,0.0,57.0,-258.0,-51.0,18.0,-22.0,1.0,50.0,-259.0,11.0,48.0,-27.0,1.0,45.0,-258.0,-39.0,57.0,8.0,2.0,52.0,-257.0,17.0,58.0,17.0,3.0,52.0,-258.0,20.0,43.0,10.0,3.0,50.0,-259.0,-21.0,43.0,26.0,4.0,47.0,-258.0,-12.0,32.0,12.0,1.0,46.0,-259.0,-8.0,36.0,3.0,4.0,45.0,-257.0,-7.0,23.0,6.0,6.0,48.0,-258.0,-27.0,24.0,-7.0,7.0,46.0,-260.0,-17.0,17.0,4.0,5.0,41.0,-253.0,-126.0,6.0,16.0,4.0,55.0,-264.0,-34.0,10.0,15.0,4.0,55.0,-260.0,-23.0,8.0,13.0,3.0,49.0,-261.0,27.0,22.0,-4.0,5.0,48.0,-258.0,-8.0,24.0,14.0,5.0,45.0,-259.0,-26.0,21.0,8.0,6.0,49.0,-258.0,-35.0,16.0,12.0,7.0,49.0,-260.0,-24.0,19.0,11.0,7.0,46.0,-260.0,-11.0,14.0,11.0,7.0,46.0,-259.0,-1.0,10.0,8.0,7.0,46.0,-260.0,5.0,22.0,6.0,7.0,47.0,-259.0,-19.0,17.0,11.0,9.0,48.0,-260.0,7.0,12.0,10.0,TILT_L,
30,7.0,43.0,-259.0,-20.0,11.0,7.0,6.0,46.0,-260.0,-40.0,19.0,17.0,6.0,44.0,-260.0,9.0,17.0,-4.0,8.0,43.0,-259.0,-23.0,12.0,6.0,8.0,43.0,-258.0,-72.0,3.0,5.0,10.0,27.0,-253.0,-744.0,-21.0,17.0,4.0,37.0,-219.0,-6094.0,-146.0,-166.0,-8.0,207.0,-103.0,-8555.0,-236.0,-384.0,-15.0,335.0,-12.0,-5525.0,118.0,-365.0,-15.0,292.0,55.0,-1457.0,-52.0,-244.0,-14.0,253.0,71.0,-383.0,-69.0,0.0,-21.0,267.0,71.0,80.0,-105.0,65.0,-13.0,427.0,46.0,3111.0,-320.0,-3.0,-1.0,308.0,15.0,7499.0,-331.0,120.0,-23.0,212.0,42.0,14070.0,180.0,811.0,-20.0,-396.0,-206.0,-2787.0,103.0,-535.0,10.0,107.0,-264.0,858.0,33.0,74.0,-10.0,-36.0,-266.0,-673.0,108.0,-15.0,11.0,33.0,-278.0,275.0,29.0,53.0,3.0,21.0,-272.0,-133.0,14.0,-7.0,3.0,10.0,-257.0,3.0,22.0,-18.0,4.0,16.0,-260.0,85.0,55.0,-25.0,2.0,16.0,-260.0,-4.0,20.0,-8.0,6.0,19.0,-259.0,-49.0,4.0,9.0,4.0,18.0,-260.0,-4.0,8.0,17.0,3.0,11.0,-262.0,-14.0,15.0,9.0,4.0,11.0,-262.0,-43.0,11.0,24.0,2.0,11.0,-260.0,-29.0,14.0,12.0,2.0,14.0,-264.0,-3.0,16.0,6.0,4.0,14.0,-261.0,-33.0,14.0,13.0,TILT_L,
60,3.0,15.0,-260.0,-42.0,21.0,21.0,5.0,15.0,-258.0,-70.0,13.0,13.0,5.0,14.0,-261.0,-36.0,27.0,4.0,5.0,17.0,-263.0,40.0,12.0,-5.0,6.0,10.0,-260.0,-11.0,13.0,7.0,4.0,14.0,-261.0,-13.0,19.0,11.0,4.0,13.0,-264.0,-26.0,18.0,3.0,3.0,17.0,-262.0,-31.0,6.0,14.0,3.0,10.0,-263.0,-87.0,5.0,0.0,7.0,2.0,-259.0,-495.0,-10.0,20.0,4.0,-9.0,-253.0,-2682.0,-53.0,-78.0,-17.0,-53.0,-94.0,-11841.0,137.0,-394.0,-15.0,379.0,52.0,-8883.0,569.0,-28.0,19.0,285.0,143.0,-842.0,118.0,-293.0,-4.0,252.0,43.0,-398.0,42.0,-117.0,-5.0,255.0,79.0,-4.0,-14.0,28.0,-6.0,258.0,80.0,-20.0,-5.0,59.0,-11.0,295.0,72.0,981.0,-178.0,-12.0,-10.0,324.0,37.0,4635.0,-318.0,-40.0,-12.0,340.0,-12.0,8433.0,-143.0,236.0,-14.0,117.0,-73.0,11114.0,-36.0,399.0,-26.0,-149.0,-238.0,-805.0,-94.0,-410.0,-17.0,-84.0,-221.0,682.0,42.0,-115.0,-11.0,-22.0,-264.0,195.0,175.0,81.0,6.0,-24.0,-263.0,-165.0,108.0,31.0,-2.0,-25.0,-264.0,-24.0,46.0,31.0,-2.0,-8.0,-261.0,-3.0,45.0,27.0,-1.0,-10.0,-258.0,135.0,61.0,57.0,2.0,-9.0,-257.0,-53.0,65.0,41.0,2.0,-5.0,-261.0,32.0,11.0,64.0,TILT_L,
90,-1.0,-24.0,-260.0,-105.0,28.0,-4.0,-1.0,-23.0,-261.0,-7.0,23.0,-26.0,-1.0,-19.0,-259.0,-60.0,18.0,-20.0,1.0,-21.0,-260.0,-47.0,4.0,0.0,0.0,-18.0,-260.0,-102.0,-1.0,-6.0,1.0,-21.0,-258.0,-43.0,6.0,-9.0,1.0,-19.0,-257.0,-58.0,19.0,0.0,1.0,-18.0,-258.0,-15.0,25.0,24.0,1.0,-19.0,-261.0,-52.0,24.0,9.0,-1.0,-19.0,-258.0,-34.0,30.0,4.0,1.0,-22.0,-261.0,-38.0,22.0,-3.0,1.0,-16.0,-260.0,-27.0,-5.0,1.0,-3.0,-63.0,-248.0,-2012.0,-19.0,-38.0,0.0,-32.0,-135.0,-10078.0,125.0,-423.0,12.0,371.0,1.0,-9668.0,186.0,-410.0,8.0,347.0,66.0,-3015.0,255.0,-235.0,-12.0,303.0,67.0,-1320.0,124.0,-108.0,-13.0,254.0,78.0,-414.0,-11.0,-93.0,-17.0,265.0,68.0,-1.0,-55.0,-24.0,-23.0,266.0,81.0,105.0,-20.0,-48.0,-17.0,292.0,76.0,800.0,-88.0,-1.0,-14.0,364.0,60.0,4894.0,-375.0,-118.0,-26.0,334.0,26.0,10405.0,-49.0,321.0,-24.0,49.0,-135.0,6960.0,189.0,162.0,-10.0,-97.0,-212.0,2818.0,18.0,-15.0,-9.0,22.0,-261.0,1611.0,106.0,25.0,-10.0,-73.0,-246.0,-187.0,172.0,-97.0,-2.0,-70.0,-262.0,-172.0,128.0,28.0,2.0,-38.0,-263.0,-77.0,36.0,38.0,-4.0,-49.0,-257.0,-168.0,22.0,8.0,TILT_L,
120,-4.0,-58.0,-256.0,-175.0,31.0,-20.0,-1.0,-44.0,-255.0,-116.0,-1.0,13.0,1.0,-36.0,-256.0,16.0,-8.0,34.0,-3.0,-36.0,-257.0,-99.0,16.0,-17.0,-3.0,-42.0,-257.0,-119.0,29.0,1.0,0.0,-33.0,-258.0,32.0,14.0,6.0,-3.0,-42.0,-259.0,-49.0,1.0,-8.0,-2.0,-44.0,-255.0,-299.0,-8.0,-16.0,-4.0,-30.0,-254.0,-170.0,-13.0,19.0,-5.0,-51.0,-250.0,-992.0,17.0,21.0,5.0,-73.0,-239.0,-3791.0,35.0,-102.0,-4.0,103.0,-215.0,-6143.0,2.0,-232.0,-3.0,180.0,17.0,-11558.0,60.0,-425.0,7.0,436.0,26.0,-3267.0,22.0,-181.0,-24.0,265.0,67.0,-1091.0,-39.0,-90.0,-17.0,245.0,83.0,-426.0,-108.0,-31.0,-19.0,263.0,86.0,-25.0,-70.0,-1.0,-21.0,273.0,83.0,34.0,1.0,-38.0,-24.0,281.0,75.0,336.0,-4.0,-47.0,-15.0,372.0,62.0,2673.0,-249.0,-142.0,-16.0,320.0,44.0,7362.0,-149.0,81.0,-32.0,269.0,-91.0,8542.0,250.0,169.0,-18.0,29.0,-132.0,7933.0,137.0,376.0,-11.0,-29.0,-255.0,207.0,127.0,-126.0,-2.0,-21.0,-252.0,634.0,100.0,8.0,-8.0,-44.0,-264.0,177.0,72.0,6.0,-1.0,-58.0,-258.0,18.0,49.0,-20.0,-4.0,-52.0,-258.0,-72.0,16.0,-21.0,-6.0,-52.0,-258.0,-116.0,-1.0,11.0,-1.0,-19.0,-256.0,-12.0,6.0,15.0,TILT_L,
150,-6.0,-28.0,-255.0,-71.0,7.0,9.0,-4.0,-25.0,-257.0,-101.0,16.0,7.0,-8.0,-47.0,-254.0,-139.0,10.0,-16.0,-9.0,-42.0,-249.0,-36.0,60.0,31.0,3.0,-33.0,-260.0,37.0,59.0,42.0,-3.0,-25.0,-262.0,9.0,21.0,16.0,-4.0,-35.0,-259.0,-61.0,3.0,-16.0,-5.0,-60.0,-244.0,-1253.0,-21.0,8.0,-17.0,-70.0,-201.0,-8306.0,96.0,-278.0,-2.0,302.0,-14.0,-10547.0,121.0,-499.0,-12.0,337.0,-22.0,-3951.0,183.0,-193.0,-13.0,311.0,59.0,-2025.0,26.0,-142.0,-14.0,256.0,78.0,-663.0,-30.0,-72.0,-25.0,271.0,88.0,-192.0,7.0,-106.0,-23.0,269.0,75.0,64.0,50.0,-51.0,-20.0,254.0,79.0,-16.0,4.0,-32.0,-24.0,268.0,76.0,158.0,26.0,-42.0,-20.0,326.0,68.0,1798.0,-174.0,-75.0,-34.0,255.0,21.0,4253.0,-108.0,-44.0,-24.0,392.0,-21.0,10469.0,132.0,250.0,-30.0,-12.0,-42.0,10216.0,309.0,362.0,-2.0,-25.0,-250.0,-190.0,278.0,-210.0,5.0,-55.0,-243.0,821.0,175.0,-114.0,-5.0,-65.0,-256.0,93.0,117.0,-54.0,1.0,-67.0,-260.0,-146.0,102.0,-48.0,1.0,-57.0,-257.0,-102.0,35.0,-23.0,1.0,-25.0,-258.0,55.0,14.0,68.0,1.0,-29.0,-257.0,-3.0,27.0,38.0,1.0,-55.0,-253.0,-167.0,16.0,37.0,2.0,-43.0,-262.0,-80.0,8.0,33.0,TILT_L,
180,0.0,-35.0,-255.0,-100.0,-2.0,19.0,0.0,-29.0,-257.0,-11.0,0.0,27.0,1.0,-40.0,-257.0,-32.0,-6.0,11.0,0.0,-38.0,-255.0,18.0,-10.0,2.0,-2.0,-47.0,-256.0,-111.0,-3.0,-1.0,-2.0,-49.0,-253.0,-37.0,-3.0,9.0,-1.0,-53.0,-249.0,-297.0,4.0,8.0,-14.0,-111.0,-221.0,-6240.0,-10.0,-170.0,5.0,111.0,-94.0,-10234.0,10.0,-419.0,-10.0,363.0,6.0,-7859.0,263.0,-205.0,-4.0,326.0,54.0,-1963.0,51.0,-143.0,-16.0,293.0,66.0,-507.0,-16.0,-76.0,-15.0,264.0,76.0,-182.0,-54.0,-72.0,-17.0,261.0,84.0,-168.0,11.0,-59.0,-22.0,255.0,81.0,-72.0,7.0,-65.0,-15.0,245.0,84.0,-4.0,23.0,-31.0,-21.0,308.0,70.0,1453.0,-122.0,-59.0,-19.0,321.0,36.0,5424.0,-182.0,-145.0,-30.0,364.0,-27.0,10511.0,183.0,160.0,-27.0,-4.0,-94.0,7970.0,278.0,250.0,1.0,18.0,-261.0,635.0,142.0,-183.0,-12.0,-93.0,-235.0,537.0,108.0,-131.0,-5.0,-60.0,-250.0,431.0,125.0,33.0,-4.0,-43.0,-263.0,-299.0,96.0,28.0,-2.0,-70.0,-257.0,-248.0,29.0,28.0,-3.0,-55.0,-260.0,-268.0,25.0,1.0,-1.0,-52.0,-255.0,-95.0,30.0,1.0,-7.0,-52.0,-252.0,-286.0,12.0,7.0,-5.0,-30.0,-258.0,17.0,27.0,20.0,0.0,-29.0,-258.0,-11.0,-3.0,22.0,TILT_L,
210,-3.0,-39.0,-257.0,-50.0,-15.0,-12.0,-5.0,-45.0,-255.0,-33.0,-2.0,-1.0,-2.0,-32.0,-256.0,30.0,-5.0,33.0,-4.0,-29.0,-257.0,-20.0,6.0,6.0,0.0,-49.0,-252.0,-347.0,6.0,15.0,-10.0,-62.0,-236.0,-1100.0,13.0,17.0,-15.0,-51.0,-232.0,-5322.0,7.0,-63.0,-16.0,131.0,-52.0,-11682.0,30.0,-522.0,-5.0,450.0,33.0,-6935.0,238.0,-315.0,-24.0,288.0,44.0,-1591.0,-53.0,-214.0,-24.0,276.0,67.0,-339.0,-85.0,-12.0,-20.0,266.0,98.0,-286.0,-89.0,-62.0,-21.0,260.0,91.0,37.0,-10.0,-17.0,-25.0,254.0,92.0,-36.0,5.0,-24.0,-28.0,273.0,83.0,195.0,17.0,-49.0,-32.0,270.0,77.0,22.0,9.0,-72.0,-30.0,366.0,52.0,3666.0,-220.0,-69.0,-18.0,401.0,-16.0,7271.0,-77.0,16.0,-37.0,256.0,-40.0,11122.0,357.0,244.0,-31.0,-213.0,-106.0,4156.0,357.0,283.0,5.0,27.0,-268.0,1301.0,276.0,-75.0,-2.0,-65.0,-254.0,94.0,134.0,-97.0,-3.0,-52.0,-266.0,-60.0,28.0,17.0,1.0,-32.0,-266.0,-68.0,-21.0,-1.0,-2.0,-53.0,-258.0,-179.0,-38.0,-41.0,0.0,-28.0,-256.0,10.0,-21.0,28.0,1.0,-18.0,-256.0,112.0,-4.0,41.0,-1.0,-45.0,-256.0,-271.0,9.0,-17.0,-1.0,-51.0,-252.0,-49.0,4.0,0.0,-2.0,-34.0,-255.0,-5.0,25.0,31.0,TILT_L,
240,0.0,-29.0,-257.0,-4.0,20.0,34.0,-1.0,-43.0,-258.0,-103.0,2.0,-2.0,-4.0,-46.0,-255.0,-448.0,14.0,-11.0,-2.0,-26.0,-260.0,-172.0,19.0,-13.0,-5.0,-37.0,-256.0,-268.0,5.0,12.0,-5.0,-33.0,-260.0,-47.0,-23.0,23.0,-6.0,-24.0,-254.0,-173.0,-4.0,56.0,-22.0,-36.0,-205.0,-6243.0,-15.0,-257.0,-12.0,142.0,-18.0,-11793.0,14.0,-354.0,-9.0,502.0,-2.0,-5543.0,69.0,-322.0,-19.0,275.0,70.0,-2019.0,-8.0,-225.0,-26.0,279.0,70.0,-358.0,-42.0,-45.0,-22.0,283.0,69.0,-117.0,-27.0,-43.0,-23.0,269.0,82.0,-80.0,-22.0,-30.0,-23.0,252.0,87.0,-9.0,5.0,-6.0,-27.0,253.0,76.0,117.0,8.0,2.0,-23.0,318.0,68.0,1603.0,-119.0,-42.0,-26.0,281.0,40.0,3152.0,-32.0,-69.0,-23.0,460.0,-30.0,10200.0,116.0,199.0,-39.0,118.0,-105.0,8888.0,374.0,218.0,-8.0,-147.0,-213.0,1856.0,251.0,-51.0,-1.0,-35.0,-260.0,788.0,131.0,28.0,-1.0,-43.0,-256.0,333.0,75.0,54.0,-6.0,-44.0,-263.0,-127.0,40.0,-8.0,-3.0,-54.0,-261.0,-246.0,-1.0,-17.0,-6.0,-36.0,-258.0,-6.0,-33.0,9.0,-7.0,-41.0,-255.0,-177.0,-29.0,13.0,-4.0,-34.0,-255.0,-9.0,-6.0,10.0,-4.0,-29.0,-257.0,-51.0,1.0,31.0,-9.0,-31.0,-256.0,-103.0,6.0,10.0,TILT_L,
270,-9.0,-36.0,-255.0,-108.0,14.0,-5.0,-6.0,-29.0,-259.0,-68.0,20.0,-14.0,-6.0,-38.0,-255.0,3.0,10.0,-7.0,-4.0,-35.0,-257.0,23.0,6.0,-2.0,-10.0,-48.0,-256.0,-93.0,21.0,-5.0,-7.0,-46.0,-254.0,204.0,27.0,42.0,-5.0,-50.0,-256.0,125.0,13.0,2.0,7.0,-71.0,-230.0,-1440.0,-66.0,26.0,-25.0,-58.0,-250.0,-2332.0,7.0,6.0,-13.0,61.0,-129.0,-10294.0,-113.0,-383.0,-37.0,334.0,72.0,-11373.0,366.0,-498.0,-17.0,413.0,32.0,-1140.0,-169.0,-440.0,-34.0,302.0,59.0,-583.0,-115.0,-187.0,-31.0,253.0,103.0,-375.0,-66.0,-160.0,-48.0,257.0,93.0,-73.0,42.0,-42.0,-41.0,263.0,94.0,2.0,89.0,32.0,-39.0,322.0,74.0,1852.0,-73.0,51.0,-42.0,282.0,42.0,2974.0,-46.0,83.0,-30.0,432.0,-25.0,9395.0,71.0,406.0,-22.0,52.0,-97.0,7349.0,481.0,240.0,-23.0,31.0,-188.0,5680.0,262.0,310.0,-5.0,-43.0,-268.0,330.0,249.0,-154.0,2.0,-73.0,-255.0,114.0,91.0,-143.0,-2.0,-41.0,-260.0,-59.0,-10.0,21.0,-3.0,-58.0,-263.0,-207.0,-1.0,31.0,-5.0,-63.0,-260.0,-600.0,-30.0,-32.0,-6.0,-47.0,-249.0,-67.0,-68.0,29.0,-6.0,9.0,-266.0,145.0,-25.0,75.0,-7.0,-39.0,-251.0,-339.0,-19.0,11.0,-5.0,-38.0,-249.0,24.0,16.0,25.0,TILT_L,
