TimeStamp,AccX_0,AccY_0,AccZ_0,GyrX_0,GyrY_0,GyrZ_0,AccX_1,AccY_1,AccZ_1,GyrX_1,GyrY_1,GyrZ_1,AccX_2,AccY_2,AccZ_2,GyrX_2,GyrY_2,GyrZ_2,AccX_3,AccY_3,AccZ_3,GyrX_3,GyrY_3,GyrZ_3,AccX_4,AccY_4,AccZ_4,GyrX_4,GyrY_4,GyrZ_4,AccX_5,AccY_5,AccZ_5,GyrX_5,GyrY_5,GyrZ_5,AccX_6,AccY_6,AccZ_6,GyrX_6,GyrY_6,GyrZ_6,AccX_7,AccY_7,AccZ_7,GyrX_7,GyrY_7,GyrZ_7,AccX_8,AccY_8,AccZ_8,GyrX_8,GyrY_8,GyrZ_8,AccX_9,AccY_9,AccZ_9,GyrX_9,GyrY_9,GyrZ_9,AccX_10,AccY_10,AccZ_10,GyrX_10,GyrY_10,GyrZ_10,AccX_11,AccY_11,AccZ_11,GyrX_11,GyrY_11,GyrZ_11,AccX_12,AccY_12,AccZ_12,GyrX_12,GyrY_12,GyrZ_12,AccX_13,AccY_13,AccZ_13,GyrX_13,GyrY_13,GyrZ_13,AccX_14,AccY_14,AccZ_14,GyrX_14,GyrY_14,GyrZ_14,AccX_15,AccY_15,AccZ_15,GyrX_15,GyrY_15,GyrZ_15,AccX_16,AccY_16,AccZ_16,GyrX_16,GyrY_16,GyrZ_16,AccX_17,AccY_17,AccZ_17,GyrX_17,GyrY_17,GyrZ_17,AccX_18,AccY_18,AccZ_18,GyrX_18,GyrY_18,GyrZ_18,AccX_19,AccY_19,AccZ_19,GyrX_19,GyrY_19,GyrZ_19,AccX_20,AccY_20,AccZ_20,GyrX_20,GyrY_20,GyrZ_20,AccX_21,AccY_21,AccZ_21,GyrX_21,GyrY_21,GyrZ_21,AccX_22,AccY_22,AccZ_22,GyrX_22,GyrY_22,GyrZ_22,AccX_23,AccY_23,AccZ_23,GyrX_23,GyrY_23,GyrZ_23,AccX_24,AccY_24,AccZ_24,GyrX_24,GyrY_24,GyrZ_24,AccX_25,AccY_25,AccZ_25,GyrX_25,GyrY_25,GyrZ_25,AccX_26,AccY_26,AccZ_26,GyrX_26,GyrY_26,GyrZ_26,AccX_27,AccY_27,AccZ_27,GyrX_27,GyrY_27,GyrZ_27,AccX_28,AccY_28,AccZ_28,GyrX_28,GyrY_28,GyrZ_28,AccX_29,AccY_29,AccZ_29,GyrX_29,GyrY_29,GyrZ_29,Label
0,19.0,42.0,-258.0,-28.0,31.0,27.0,14.0,35.0,-259.0,-34.0,34.0,17.0,16.0,42.0,-260.0,-21.0,17.0,7.0,17.0,37.0,-260.0,-20.0,8.0,9.0,18.0,37.0,-261.0,-38.0,14.0,15.0,15.0,41.0,-261.0,-10.0,13.0,2.0,18.0,38.0,-261.0,-45.0,17.0,10.0,17.0,37.0,-260.0,-24.0,16.0,-3.0,17.0,39.0,-258.0,-49.0,-5.0,0.0,18.0,41.0,-262.0,-50.0,-2.0,-2.0,14.0,39.0,-261.0,-28.0,16.0,-4.0,16.0,41.0,-262.0,-11.0,19.0,2.0,16.0,39.0,-258.0,-17.0,19.0,7.0,16.0,38.0,-260.0,-33.0,12.0,9.0,19.0,40.0,-259.0,-62.0,26.0,21.0,15.0,40.0,-262.0,10.0,34.0,12.0,19.0,37.0,-259.0,-3.0,20.0,7.0,18.0,38.0,-258.0,-33.0,15.0,12.0,16.0,40.0,-261.0,-36.0,8.0,8.0,17.0,35.0,-263.0,-25.0,14.0,0.0,20.0,37.0,-259.0,-19.0,16.0,4.0,18.0,39.0,-259.0,-33.0,17.0,10.0,17.0,39.0,-262.0,-50.0,8.0,12.0,17.0,39.0,-262.0,-24.0,8.0,17.0,16.0,34.0,-261.0,-40.0,16.0,12.0,17.0,39.0,-263.0,-14.0,22.0,11.0,16.0,38.0,-262.0,1.0,17.0,9.0,15.0,34.0,-267.0,-114.0,-3.0,-7.0,13.0,28.0,-327.0,-421.0,-256.0,-87.0,68.0,90.0,-382.0,-37.0,-1328.0,-356.0,TILT_L,
30,13.0,57.0,-357.0,362.0,-2527.0,-619.0,-12.0,73.0,-267.0,1107.0,-3296.0,-730.0,-94.0,-17.0,-151.0,892.0,-3312.0,-752.0,-144.0,-28.0,-62.0,1029.0,-2793.0,-695.0,-179.0,-58.0,-57.0,754.0,-2214.0,-524.0,-197.0,-84.0,9.0,345.0,-1515.0,-392.0,-218.0,-77.0,36.0,175.0,-585.0,-125.0,-226.0,-89.0,58.0,-669.0,770.0,192.0,-204.0,-83.0,48.0,-934.0,1976.0,415.0,-171.0,-68.0,-39.0,-1234.0,2904.0,643.0,-124.0,-49.0,-134.0,-1219.0,3336.0,905.0,-42.0,39.0,-235.0,-469.0,3022.0,944.0,-23.0,50.0,-294.0,323.0,2098.0,544.0,-34.0,43.0,-301.0,-34.0,1482.0,192.0,-7.0,12.0,-306.0,72.0,1017.0,219.0,-1.0,31.0,-310.0,-123.0,512.0,72.0,-4.0,12.0,-328.0,93.0,-48.0,52.0,-12.0,23.0,-272.0,-105.0,-19.0,26.0,-3.0,6.0,-259.0,32.0,48.0,-27.0,0.0,16.0,-267.0,-35.0,11.0,-8.0,2.0,19.0,-261.0,-18.0,3.0,4.0,1.0,12.0,-260.0,0.0,16.0,-6.0,0.0,11.0,-260.0,-63.0,16.0,16.0,0.0,16.0,-263.0,-12.0,27.0,6.0,0.0,13.0,-264.0,-2.0,17.0,17.0,1.0,14.0,-259.0,-41.0,11.0,12.0,2.0,14.0,-262.0,-4.0,25.0,16.0,0.0,12.0,-263.0,-1.0,25.0,9.0,-1.0,9.0,-269.0,-56.0,27.0,10.0,-6.0,7.0,-320.0,323.0,-82.0,49.0,TILT_L,
60,62.0,25.0,-422.0,-370.0,-1218.0,-202.0,12.0,23.0,-364.0,371.0,-2779.0,-251.0,-34.0,33.0,-251.0,465.0,-3595.0,-327.0,-84.0,10.0,-144.0,1018.0,-3595.0,-381.0,-119.0,-1.0,-73.0,1230.0,-3267.0,-310.0,-154.0,-28.0,1.0,712.0,-2660.0,-200.0,-211.0,-56.0,38.0,374.0,-1642.0,-322.0,-219.0,-85.0,86.0,-32.0,-501.0,-210.0,-235.0,-83.0,75.0,-494.0,661.0,101.0,-223.0,-94.0,58.0,-788.0,1467.0,441.0,-217.0,-66.0,-4.0,-775.0,2142.0,473.0,-194.0,-69.0,-59.0,-1145.0,2678.0,539.0,-154.0,-55.0,-107.0,-1488.0,3054.0,457.0,-104.0,20.0,-203.0,-405.0,2873.0,563.0,-66.0,42.0,-258.0,153.0,2382.0,379.0,-42.0,51.0,-294.0,214.0,1681.0,132.0,-19.0,31.0,-295.0,-158.0,1140.0,-6.0,-3.0,24.0,-310.0,77.0,690.0,-3.0,-1.0,18.0,-293.0,-136.0,333.0,-49.0,-10.0,-34.0,-297.0,-51.0,-68.0,42.0,-14.0,20.0,-266.0,-91.0,-4.0,76.0,-9.0,15.0,-263.0,-24.0,59.0,-18.0,-8.0,13.0,-267.0,-2.0,27.0,5.0,-8.0,12.0,-260.0,-41.0,14.0,13.0,-4.0,13.0,-259.0,-11.0,15.0,0.0,-6.0,9.0,-258.0,-53.0,9.0,0.0,-6.0,13.0,-263.0,18.0,26.0,-8.0,-8.0,12.0,-262.0,-17.0,28.0,17.0,-14.0,4.0,-296.0,-121.0,6.0,-14.0,78.0,56.0,-401.0,-106.0,-921.0,-398.0,TILT_L,
90,20.0,24.0,-409.0,498.0,-2800.0,-271.0,-33.0,39.0,-284.0,858.0,-3872.0,-356.0,-97.0,-4.0,-109.0,1253.0,-3987.0,-292.0,-133.0,-21.0,-40.0,1001.0,-3149.0,-456.0,-176.0,-65.0,40.0,795.0,-2053.0,-496.0,-200.0,-49.0,9.0,633.0,-1140.0,-458.0,-207.0,-101.0,70.0,-91.0,-369.0,-264.0,-226.0,-98.0,51.0,-337.0,368.0,114.0,-217.0,-84.0,44.0,-614.0,1130.0,275.0,-219.0,-80.0,-5.0,-954.0,1895.0,371.0,-200.0,-84.0,-60.0,-1407.0,2523.0,428.0,-147.0,-47.0,-93.0,-1335.0,2913.0,491.0,-113.0,0.0,-177.0,-929.0,2854.0,616.0,-57.0,64.0,-267.0,-500.0,2562.0,508.0,-27.0,40.0,-267.0,-600.0,2008.0,347.0,-7.0,34.0,-306.0,94.0,1388.0,361.0,16.0,47.0,-318.0,-208.0,701.0,244.0,58.0,42.0,-321.0,502.0,101.0,69.0,-10.0,26.0,-272.0,-223.0,-138.0,80.0,-6.0,24.0,-259.0,146.0,-2.0,48.0,-1.0,5.0,-270.0,186.0,46.0,1.0,1.0,7.0,-270.0,-46.0,25.0,1.0,1.0,15.0,-261.0,17.0,22.0,0.0,-3.0,9.0,-258.0,-73.0,33.0,10.0,-2.0,16.0,-263.0,-1.0,23.0,11.0,-1.0,16.0,-263.0,26.0,14.0,30.0,2.0,12.0,-253.0,-49.0,-3.0,11.0,-3.0,13.0,-278.0,0.0,40.0,9.0,-4.0,5.0,-346.0,-546.0,-164.0,-134.0,104.0,107.0,-409.0,620.0,-1587.0,-397.0,TILT_L,
120,57.0,14.0,-403.0,950.0,-3570.0,-198.0,-48.0,4.0,-199.0,967.0,-4638.0,94.0,-122.0,6.0,-33.0,1223.0,-4171.0,74.0,-166.0,1.0,40.0,1027.0,-3064.0,-162.0,-203.0,-36.0,59.0,679.0,-1650.0,-665.0,-225.0,-110.0,80.0,-146.0,-598.0,-421.0,-224.0,-63.0,74.0,-361.0,384.0,37.0,-204.0,-68.0,73.0,-794.0,1324.0,296.0,-193.0,-56.0,0.0,-851.0,2231.0,341.0,-187.0,-57.0,-38.0,-1517.0,2859.0,396.0,-141.0,-16.0,-159.0,-853.0,3300.0,471.0,-94.0,-18.0,-199.0,-965.0,3265.0,442.0,-33.0,23.0,-289.0,-72.0,2688.0,373.0,-19.0,55.0,-322.0,56.0,1832.0,231.0,10.0,13.0,-317.0,-235.0,895.0,136.0,5.0,20.0,-303.0,36.0,304.0,36.0,-10.0,-27.0,-300.0,207.0,-72.0,74.0,-12.0,0.0,-265.0,93.0,9.0,10.0,-5.0,-7.0,-263.0,231.0,42.0,-46.0,-7.0,-10.0,-260.0,-76.0,29.0,-11.0,-8.0,-3.0,-261.0,38.0,25.0,-7.0,-8.0,-8.0,-260.0,20.0,14.0,8.0,-4.0,-2.0,-262.0,59.0,20.0,-3.0,-4.0,-11.0,-260.0,77.0,36.0,-1.0,-1.0,-13.0,-263.0,-9.0,32.0,1.0,-3.0,-8.0,-261.0,-138.0,23.0,32.0,-3.0,-5.0,-270.0,-91.0,20.0,17.0,-3.0,-10.0,-264.0,-220.0,21.0,14.0,-3.0,0.0,-268.0,-185.0,27.0,36.0,-1.0,-33.0,-321.0,-788.0,-158.0,-33.0,TILT_L,
150,67.0,33.0,-427.0,274.0,-1776.0,24.0,1.0,48.0,-380.0,342.0,-3310.0,-212.0,-45.0,38.0,-198.0,1107.0,-4136.0,-280.0,-100.0,-5.0,-76.0,1219.0,-4042.0,-500.0,-148.0,-11.0,14.0,1526.0,-3384.0,-521.0,-205.0,-42.0,84.0,770.0,-1962.0,-549.0,-206.0,-90.0,139.0,-353.0,-271.0,-581.0,-193.0,-80.0,61.0,-631.0,1114.0,-43.0,-191.0,-86.0,44.0,-1561.0,2043.0,446.0,-208.0,-72.0,-7.0,-1542.0,2668.0,606.0,-168.0,-37.0,-112.0,-1454.0,3071.0,605.0,-95.0,3.0,-211.0,-811.0,2998.0,566.0,-66.0,38.0,-285.0,-491.0,2594.0,562.0,-19.0,38.0,-310.0,-52.0,1907.0,424.0,-1.0,33.0,-329.0,-239.0,1186.0,288.0,-3.0,46.0,-304.0,-78.0,717.0,150.0,3.0,7.0,-282.0,-162.0,347.0,60.0,18.0,32.0,-284.0,-15.0,22.0,52.0,-8.0,29.0,-264.0,-180.0,-46.0,43.0,-3.0,32.0,-263.0,199.0,32.0,-1.0,1.0,16.0,-262.0,78.0,20.0,3.0,-3.0,15.0,-261.0,157.0,35.0,4.0,-6.0,4.0,-267.0,-5.0,16.0,23.0,-3.0,9.0,-262.0,-65.0,13.0,33.0,-1.0,11.0,-258.0,-5.0,22.0,32.0,0.0,13.0,-260.0,-13.0,35.0,26.0,1.0,10.0,-263.0,4.0,22.0,21.0,1.0,11.0,-259.0,18.0,24.0,12.0,1.0,4.0,-261.0,-32.0,29.0,4.0,0.0,10.0,-261.0,-69.0,26.0,28.0,TILT_L,
180,-9.0,7.0,-283.0,-185.0,57.0,-27.0,30.0,17.0,-385.0,-406.0,-265.0,-149.0,60.0,38.0,-407.0,1076.0,-1898.0,-279.0,9.0,-16.0,-347.0,861.0,-3336.0,0.0,-73.0,-16.0,-177.0,157.0,-4093.0,-78.0,-102.0,43.0,-90.0,1370.0,-3841.0,-217.0,-146.0,-26.0,3.0,856.0,-2929.0,-215.0,-176.0,-2.0,19.0,732.0,-1909.0,-518.0,-203.0,-104.0,51.0,-134.0,-958.0,-556.0,-232.0,-120.0,106.0,-69.0,0.0,-110.0,-229.0,-84.0,73.0,-582.0,968.0,349.0,-220.0,-87.0,83.0,-1486.0,1950.0,409.0,-182.0,-45.0,-21.0,-1023.0,2654.0,592.0,-157.0,-50.0,-122.0,-1322.0,3229.0,617.0,-98.0,-21.0,-202.0,-849.0,3146.0,799.0,-64.0,15.0,-280.0,-1381.0,2633.0,801.0,-37.0,115.0,-279.0,454.0,1866.0,661.0,-2.0,74.0,-303.0,-50.0,1598.0,180.0,13.0,51.0,-312.0,326.0,968.0,74.0,25.0,33.0,-300.0,-24.0,468.0,35.0,6.0,4.0,-307.0,80.0,-76.0,1.0,0.0,25.0,-259.0,-20.0,32.0,17.0,9.0,24.0,-263.0,130.0,64.0,-21.0,3.0,16.0,-269.0,4.0,3.0,10.0,7.0,22.0,-258.0,-22.0,13.0,12.0,14.0,21.0,-262.0,-20.0,78.0,-20.0,13.0,17.0,-262.0,25.0,28.0,-8.0,11.0,13.0,-261.0,-37.0,26.0,17.0,13.0,20.0,-261.0,-36.0,19.0,9.0,11.0,20.0,-261.0,-26.0,16.0,9.0,TILT_L,
210,11.0,21.0,-266.0,9.0,27.0,9.0,7.0,13.0,-268.0,-117.0,34.0,-12.0,13.0,28.0,-319.0,-305.0,-104.0,-17.0,80.0,42.0,-387.0,427.0,-1109.0,-64.0,35.0,26.0,-386.0,214.0,-2537.0,-73.0,2.0,59.0,-292.0,950.0,-3582.0,-185.0,-51.0,42.0,-169.0,1175.0,-4090.0,-218.0,-123.0,-1.0,-46.0,1192.0,-3836.0,-164.0,-172.0,-46.0,48.0,1517.0,-3008.0,-124.0,-219.0,-30.0,60.0,805.0,-1795.0,-364.0,-235.0,-91.0,125.0,16.0,-448.0,-393.0,-232.0,-67.0,98.0,-454.0,658.0,-123.0,-216.0,-87.0,73.0,-980.0,1260.0,232.0,-213.0,-56.0,-17.0,-1025.0,1922.0,187.0,-207.0,-78.0,-34.0,-1761.0,2544.0,161.0,-186.0,-45.0,-81.0,-1381.0,2791.0,333.0,-128.0,2.0,-176.0,-1096.0,2753.0,395.0,-86.0,68.0,-244.0,-302.0,2563.0,352.0,-48.0,39.0,-277.0,214.0,2248.0,108.0,-9.0,35.0,-288.0,-144.0,1865.0,-5.0,31.0,13.0,-315.0,176.0,1109.0,24.0,15.0,-2.0,-297.0,-469.0,548.0,166.0,30.0,26.0,-286.0,-22.0,376.0,47.0,51.0,16.0,-275.0,34.0,234.0,-70.0,21.0,-12.0,-278.0,-25.0,-30.0,0.0,21.0,1.0,-266.0,60.0,15.0,36.0,25.0,4.0,-265.0,-26.0,21.0,5.0,27.0,8.0,-264.0,18.0,5.0,-3.0,24.0,2.0,-257.0,-8.0,26.0,14.0,28.0,5.0,-260.0,4.0,6.0,27.0,TILT_L,
240,25.0,2.0,-260.0,-24.0,16.0,13.0,27.0,1.0,-262.0,-42.0,10.0,30.0,25.0,3.0,-260.0,-26.0,20.0,23.0,23.0,1.0,-269.0,-11.0,18.0,-4.0,29.0,2.0,-287.0,-206.0,-41.0,-20.0,61.0,-20.0,-315.0,-494.0,-558.0,-116.0,42.0,3.0,-365.0,118.0,-1584.0,26.0,34.0,33.0,-365.0,911.0,-2489.0,129.0,4.0,8.0,-290.0,1301.0,-3477.0,390.0,-70.0,12.0,-161.0,748.0,-3857.0,369.0,-121.0,26.0,-70.0,1329.0,-3537.0,242.0,-172.0,-16.0,1.0,2185.0,-3031.0,446.0,-217.0,2.0,96.0,1046.0,-1921.0,7.0,-257.0,-19.0,109.0,503.0,-636.0,-505.0,-222.0,-4.0,109.0,-136.0,326.0,-485.0,-204.0,-65.0,91.0,-795.0,883.0,-235.0,-212.0,-58.0,101.0,-1377.0,1379.0,-136.0,-213.0,-49.0,21.0,-1467.0,1979.0,-79.0,-188.0,-42.0,-53.0,-1631.0,2593.0,-87.0,-136.0,-48.0,-128.0,-1472.0,3013.0,7.0,-96.0,-12.0,-186.0,-783.0,3049.0,5.0,-33.0,-5.0,-270.0,-844.0,2715.0,-75.0,4.0,18.0,-310.0,-408.0,2068.0,-64.0,18.0,-9.0,-301.0,-240.0,1374.0,5.0,33.0,-2.0,-305.0,-190.0,727.0,117.0,25.0,9.0,-297.0,-210.0,381.0,115.0,32.0,16.0,-274.0,-209.0,325.0,43.0,34.0,25.0,-276.0,-43.0,305.0,0.0,24.0,-13.0,-285.0,-189.0,-67.0,23.0,28.0,16.0,-262.0,-46.0,0.0,45.0,TILT_L,
270,26.0,7.0,-266.0,-19.0,13.0,13.0,28.0,10.0,-263.0,30.0,1.0,24.0,27.0,0.0,-261.0,-20.0,39.0,68.0,33.0,15.0,-264.0,-59.0,5.0,29.0,29.0,7.0,-264.0,-46.0,27.0,13.0,30.0,6.0,-269.0,-199.0,26.0,12.0,42.0,1.0,-313.0,-611.0,-60.0,-80.0,73.0,29.0,-405.0,320.0,-1171.0,78.0,55.0,31.0,-362.0,226.0,-2406.0,55.0,8.0,37.0,-301.0,842.0,-3046.0,2.0,-40.0,10.0,-195.0,1034.0,-3268.0,153.0,-87.0,16.0,-143.0,1048.0,-3096.0,115.0,-142.0,10.0,-103.0,1584.0,-2907.0,221.0,-190.0,-36.0,0.0,937.0,-2625.0,280.0,-226.0,-22.0,65.0,1022.0,-1907.0,14.0,-237.0,-34.0,70.0,433.0,-966.0,-392.0,-258.0,-76.0,135.0,509.0,-12.0,-370.0,-233.0,-68.0,86.0,-267.0,393.0,-130.0,-247.0,-67.0,63.0,-899.0,745.0,7.0,-253.0,-60.0,106.0,-1611.0,1416.0,-126.0,-203.0,-39.0,32.0,-1275.0,2039.0,-108.0,-166.0,-38.0,-33.0,-1520.0,2696.0,-12.0,-147.0,-59.0,-129.0,-1585.0,3396.0,57.0,-77.0,-28.0,-155.0,-1140.0,3451.0,106.0,1.0,55.0,-252.0,-603.0,2928.0,234.0,38.0,36.0,-335.0,-315.0,2229.0,13.0,52.0,-1.0,-325.0,-100.0,1066.0,45.0,44.0,23.0,-322.0,-141.0,523.0,72.0,31.0,15.0,-295.0,-221.0,307.0,3.0,50.0,38.0,-311.0,574.0,-3.0,18.0,TILT_L,
