TimeStamp,AccXAxis,AccYAxis,AccZAxis,GyroXAxis,GyroYAxis,GyroZAxis,,AccXAxisAvg5,AccYAxisAvg5,AccZAxisAvg5,GyroXAxisAvg5,GyroYAxisAvg5,GyroZAxisAvg5,,AccXAxisAvg10,AccYAxisAvg10,AccZAxisAvg10,GyroXAxisAvg10,GyroYAxisAvg10,GyroZAxisAvg10,,AccXAxisAvg15,AccYAxisAvg15,AccZAxisAvg15,GyroXAxisAvg15,GyroYAxisAvg15,GyroZAxisAvg15
0,68,91,-242,-145,3,-30,,65.6,90.6,-239.4,-40.6,13.6,-6.2,,65.375,90.625,-239.125,-39.25,14.875,-0.5,,62.8,87.6666666667,-230.7333333333,43.8666666667,-93.5333333333,14.2
1,65,90,-239,-24,8,-11,,65,90.6,-239,-16.2,16,1.2,,64.75,91,-238.875,-30.25,16.25,4,,59,85.2,-229.2,99.0666666667,-170.0666666667,13.8
2,66,92,-241,34,29,6,,64.8,90.6,-238.6,-18,19.2,4.4,,64.75,91.25,-238.875,-32.125,18.5,6.25,,54.8,82.6666666667,-230.6666666667,106.4,-252.8,13.4666666667
3,64,89,-239,-13,14,1,,64.8,90.4,-238.2,-35.8,15.8,6.2,,64.5,91.125,-237.875,-33.875,17,5.875,,48.2,80.4,-233.1333333333,93.4,-317.8,14.8
4,65,91,-236,-55,14,3,,64.6,91.4,-238.4,-47.8,15.8,7.2,,64.5,91.5,-235.875,-22.75,8.125,10.75,,40.4666666667,78.6666666667,-236.0666666667,81.2666666667,-372.4,16.6666666667
5,65,91,-240,-23,15,7,,64.6,91.6,-239,-44.6,18.2,8,,63.875,90.75,-233.5,6.625,-24.375,17.375,,32.4,76.6666666667,-237.4666666667,97.2666666667,-414.5333333333,18.1333333333
6,64,90,-237,-33,24,5,,64.4,91.6,-237.6,-36,18.6,7.2,,63.25,88.625,-228.875,54.5,-80.25,23.75,,23.6,73.0666666667,-237.5333333333,99.0666666667,-460.3333333333,19.2
7,66,91,-239,-55,12,15,,64.4,92,-234.8,-14.2,2.4,14.2,,60.625,85.125,-223.375,114.625,-188.75,29,,13.7333333333,70.3333333333,-237.4,106.7333333333,-506.2,16.4
8,63,94,-240,-73,14,6,,63.2,90.8,-230.4,32.8,-49.2,22.4,,53.75,80.5,-220.875,206.875,-333.375,22.625,,2.8666666667,67.2666666667,-236.4666666667,116.6,-559.8,15.5333333333
9,65,92,-239,-39,26,7,,62.6,86.8,-223,119.4,-138.4,32.8,,46.125,75.25,-223.5,226.75,-489.25,19.875,,-9.1333333333,63.7333333333,-236.3333333333,131.9333333333,-606.4666666667,12.0666666667
10,64,91,-233,20,17,3,,58.2,80.8,-213.8,216.8,-312.4,40.8,,33.875,71,-228.375,211.5,-610.75,22.25,,-21.5333333333,60,-236.2666666667,133,-645.4666666667,7.4666666667
11,64,92,-223,76,-57,40,,47.6,73.4,-211,349.4,-544.8,33,,19.375,67.5,-234.625,184.625,-713.5,25.5,,-34.7333333333,56.7333333333,-236.4666666667,137.7333333333,-670.6,3.8666666667
12,60,85,-217,180,-246,56,,35.2,65.4,-218.6,351.4,-780,21.8,,4.375,63.625,-238.875,198.25,-783.625,23.625,,-47.9333333333,53.8,-237.4,135.9333333333,-683.3333333333,0.1333333333
