TimeStamp,AccX_0,AccY_0,AccZ_0,GyrX_0,GyrY_0,GyrZ_0,AccX_1,AccY_1,AccZ_1,GyrX_1,GyrY_1,GyrZ_1,AccX_2,AccY_2,AccZ_2,GyrX_2,GyrY_2,GyrZ_2,AccX_3,AccY_3,AccZ_3,GyrX_3,GyrY_3,GyrZ_3,AccX_4,AccY_4,AccZ_4,GyrX_4,GyrY_4,GyrZ_4,AccX_5,AccY_5,AccZ_5,GyrX_5,GyrY_5,GyrZ_5,AccX_6,AccY_6,AccZ_6,GyrX_6,GyrY_6,GyrZ_6,AccX_7,AccY_7,AccZ_7,GyrX_7,GyrY_7,GyrZ_7,AccX_8,AccY_8,AccZ_8,GyrX_8,GyrY_8,GyrZ_8,AccX_9,AccY_9,AccZ_9,GyrX_9,GyrY_9,GyrZ_9,AccX_10,AccY_10,AccZ_10,GyrX_10,GyrY_10,GyrZ_10,AccX_11,AccY_11,AccZ_11,GyrX_11,GyrY_11,GyrZ_11,AccX_12,AccY_12,AccZ_12,GyrX_12,GyrY_12,GyrZ_12,AccX_13,AccY_13,AccZ_13,GyrX_13,GyrY_13,GyrZ_13,AccX_14,AccY_14,AccZ_14,GyrX_14,GyrY_14,GyrZ_14,AccX_15,AccY_15,AccZ_15,GyrX_15,GyrY_15,GyrZ_15,AccX_16,AccY_16,AccZ_16,GyrX_16,GyrY_16,GyrZ_16,AccX_17,AccY_17,AccZ_17,GyrX_17,GyrY_17,GyrZ_17,AccX_18,AccY_18,AccZ_18,GyrX_18,GyrY_18,GyrZ_18,AccX_19,AccY_19,AccZ_19,GyrX_19,GyrY_19,GyrZ_19,AccX_20,AccY_20,AccZ_20,GyrX_20,GyrY_20,GyrZ_20,AccX_21,AccY_21,AccZ_21,GyrX_21,GyrY_21,GyrZ_21,AccX_22,AccY_22,AccZ_22,GyrX_22,GyrY_22,GyrZ_22,AccX_23,AccY_23,AccZ_23,GyrX_23,GyrY_23,GyrZ_23,AccX_24,AccY_24,AccZ_24,GyrX_24,GyrY_24,GyrZ_24,AccX_25,AccY_25,AccZ_25,GyrX_25,GyrY_25,GyrZ_25,AccX_26,AccY_26,AccZ_26,GyrX_26,GyrY_26,GyrZ_26,AccX_27,AccY_27,AccZ_27,GyrX_27,GyrY_27,GyrZ_27,AccX_28,AccY_28,AccZ_28,GyrX_28,GyrY_28,GyrZ_28,AccX_29,AccY_29,AccZ_29,GyrX_29,GyrY_29,GyrZ_29,Label
0,7.0,32.0,-261.0,-36.0,13.0,7.0,6.0,33.0,-262.0,-36.0,14.0,10.0,8.0,33.0,-261.0,-31.0,11.0,11.0,7.0,32.0,-260.0,-31.0,11.0,9.0,8.0,31.0,-262.0,-35.0,9.0,12.0,6.0,33.0,-261.0,-32.0,13.0,8.0,6.0,31.0,-261.0,-34.0,12.0,6.0,7.0,33.0,-263.0,-33.0,12.0,9.0,8.0,32.0,-262.0,-34.0,13.0,6.0,8.0,32.0,-261.0,-33.0,14.0,9.0,8.0,33.0,-260.0,-38.0,18.0,8.0,6.0,32.0,-262.0,-35.0,16.0,8.0,7.0,33.0,-262.0,-34.0,12.0,12.0,6.0,32.0,-263.0,-34.0,15.0,8.0,8.0,32.0,-262.0,-27.0,13.0,10.0,8.0,32.0,-261.0,-28.0,10.0,10.0,7.0,31.0,-261.0,-34.0,15.0,7.0,8.0,33.0,-261.0,-30.0,14.0,8.0,6.0,32.0,-260.0,-31.0,14.0,11.0,8.0,32.0,-261.0,-33.0,15.0,10.0,-71.0,22.0,-261.0,-26.0,-6.0,213.0,48.0,15.0,-264.0,-37.0,27.0,-93.0,1.0,47.0,-261.0,-23.0,1.0,3.0,19.0,24.0,-288.0,-1009.0,-158.0,50.0,49.0,20.0,-288.0,593.0,126.0,-83.0,57.0,-23.0,-311.0,685.0,-99.0,247.0,93.0,-63.0,-315.0,954.0,376.0,399.0,52.0,-44.0,-234.0,343.0,188.0,982.0,46.0,-25.0,-202.0,82.0,-96.0,1014.0,2.0,20.0,-193.0,60.0,31.0,1218.0,DOWN,
30,22.0,53.0,-276.0,-185.0,134.0,922.0,-32.0,63.0,-150.0,45.0,-290.0,470.0,-18.0,48.0,-239.0,-349.0,-444.0,134.0,-31.0,70.0,-286.0,-673.0,-27.0,181.0,-15.0,108.0,-303.0,-954.0,-369.0,-16.0,-21.0,66.0,-278.0,-334.0,517.0,20.0,-1.0,50.0,-229.0,-659.0,-483.0,-22.0,-15.0,64.0,-264.0,116.0,31.0,42.0,-14.0,68.0,-263.0,138.0,53.0,-70.0,-8.0,50.0,-267.0,416.0,52.0,-77.0,-21.0,45.0,-266.0,7.0,93.0,72.0,-1.0,30.0,-271.0,-447.0,133.0,-245.0,-6.0,46.0,-252.0,-76.0,45.0,-7.0,-7.0,54.0,-265.0,215.0,44.0,10.0,1.0,62.0,-259.0,-102.0,130.0,42.0,6.0,70.0,-260.0,-215.0,97.0,100.0,8.0,60.0,-260.0,203.0,-60.0,30.0,7.0,57.0,-259.0,-164.0,50.0,49.0,5.0,60.0,-264.0,140.0,-70.0,34.0,-3.0,69.0,-259.0,32.0,-10.0,12.0,1.0,56.0,-257.0,-47.0,29.0,-13.0,0.0,59.0,-251.0,161.0,-17.0,-29.0,-2.0,60.0,-255.0,-71.0,110.0,11.0,-1.0,50.0,-261.0,125.0,70.0,7.0,0.0,57.0,-260.0,-67.0,56.0,42.0,4.0,48.0,-256.0,-88.0,38.0,77.0,2.0,46.0,-256.0,71.0,46.0,45.0,13.0,55.0,-258.0,122.0,-45.0,-15.0,2.0,46.0,-268.0,182.0,-73.0,-14.0,6.0,52.0,-265.0,-106.0,-83.0,-16.0,DOWN,
60,-5.0,37.0,-258.0,-4.0,-20.0,1.0,2.0,54.0,-262.0,-79.0,-24.0,2.0,0.0,43.0,-255.0,-263.0,47.0,10.0,1.0,51.0,-256.0,52.0,11.0,1.0,-2.0,40.0,-258.0,-195.0,102.0,37.0,5.0,57.0,-260.0,94.0,22.0,10.0,0.0,46.0,-258.0,-179.0,63.0,20.0,2.0,47.0,-260.0,61.0,11.0,19.0,5.0,52.0,-259.0,41.0,12.0,16.0,4.0,45.0,-260.0,-110.0,16.0,-4.0,0.0,48.0,-265.0,173.0,-39.0,-11.0,1.0,41.0,-262.0,-88.0,-52.0,53.0,1.0,47.0,-258.0,27.0,-36.0,76.0,1.0,43.0,-263.0,19.0,-65.0,77.0,0.0,54.0,-260.0,-91.0,-71.0,37.0,-3.0,36.0,-262.0,125.0,-109.0,44.0,-5.0,43.0,-257.0,-148.0,-47.0,18.0,-13.0,38.0,-252.0,-21.0,6.0,80.0,2.0,48.0,-258.0,-162.0,45.0,3.0,-2.0,43.0,-259.0,95.0,71.0,-138.0,12.0,39.0,-256.0,122.0,27.0,-211.0,-10.0,31.0,-262.0,26.0,36.0,-8.0,-4.0,28.0,-256.0,169.0,30.0,30.0,-9.0,25.0,-262.0,-34.0,65.0,25.0,-4.0,27.0,-260.0,-104.0,57.0,-3.0,-6.0,24.0,-261.0,-84.0,64.0,-32.0,0.0,26.0,-257.0,11.0,59.0,15.0,-11.0,12.0,-235.0,-40.0,206.0,41.0,0.0,8.0,-199.0,-102.0,515.0,125.0,16.0,16.0,-210.0,-67.0,879.0,233.0,DOWN,
90,35.0,24.0,-227.0,-203.0,1285.0,267.0,84.0,34.0,-250.0,-502.0,1466.0,488.0,127.0,49.0,-277.0,-222.0,1336.0,433.0,153.0,61.0,-266.0,-261.0,1189.0,178.0,163.0,58.0,-266.0,-355.0,1056.0,-17.0,176.0,62.0,-220.0,-494.0,627.0,94.0,186.0,72.0,-240.0,66.0,233.0,28.0,181.0,65.0,-245.0,129.0,-194.0,-20.0,172.0,58.0,-239.0,156.0,-379.0,38.0,165.0,52.0,-258.0,-19.0,-588.0,-94.0,180.0,58.0,-258.0,188.0,-1016.0,-103.0,139.0,59.0,-264.0,236.0,-1284.0,-303.0,116.0,45.0,-280.0,-38.0,-1518.0,-79.0,73.0,55.0,-270.0,347.0,-1743.0,-330.0,24.0,34.0,-241.0,2.0,-1674.0,-338.0,25.0,33.0,-228.0,237.0,-1701.0,-305.0,-48.0,27.0,-229.0,133.0,-1429.0,-266.0,-52.0,19.0,-197.0,165.0,-1228.0,-16.0,-105.0,21.0,-223.0,274.0,-712.0,-202.0,-115.0,3.0,-204.0,-14.0,-406.0,64.0,-110.0,7.0,-202.0,-81.0,-116.0,24.0,-125.0,1.0,-215.0,-65.0,93.0,137.0,-115.0,4.0,-196.0,-126.0,287.0,83.0,-103.0,7.0,-210.0,-130.0,544.0,112.0,-104.0,10.0,-235.0,-147.0,847.0,166.0,-60.0,24.0,-228.0,-265.0,936.0,320.0,-53.0,27.0,-266.0,-242.0,1118.0,181.0,-28.0,30.0,-223.0,-268.0,1165.0,352.0,-9.0,31.0,-238.0,-253.0,1416.0,236.0,43.0,51.0,-215.0,-391.0,1739.0,446.0,DOWN,
120,98.0,56.0,-220.0,-550.0,2176.0,377.0,147.0,76.0,-229.0,-342.0,2139.0,358.0,183.0,86.0,-256.0,-421.0,2091.0,303.0,237.0,83.0,-226.0,-285.0,1544.0,219.0,222.0,94.0,-229.0,-80.0,825.0,216.0,255.0,57.0,-241.0,304.0,156.0,96.0,190.0,67.0,-202.0,-79.0,-67.0,-135.0,210.0,80.0,-178.0,6.0,-25.0,53.0,210.0,76.0,-193.0,252.0,-125.0,27.0,239.0,58.0,-223.0,159.0,-633.0,66.0,231.0,68.0,-250.0,-133.0,-1154.0,-62.0,226.0,86.0,-270.0,412.0,-1871.0,-48.0,176.0,75.0,-259.0,506.0,-2518.0,-115.0,117.0,36.0,-252.0,525.0,-2626.0,-349.0,77.0,54.0,-214.0,210.0,-2545.0,-276.0,4.0,27.0,-184.0,592.0,-2268.0,-230.0,-65.0,9.0,-189.0,205.0,-1563.0,-231.0,-93.0,1.0,-181.0,-259.0,-662.0,-113.0,-86.0,19.0,-205.0,-331.0,-73.0,-111.0,-109.0,15.0,-228.0,-255.0,82.0,-24.0,-109.0,21.0,-217.0,12.0,11.0,76.0,-111.0,15.0,-220.0,-63.0,260.0,38.0,-89.0,21.0,-221.0,-125.0,496.0,50.0,-78.0,27.0,-223.0,-75.0,701.0,271.0,-53.0,25.0,-222.0,-128.0,910.0,244.0,-53.0,29.0,-220.0,-408.0,1361.0,191.0,-12.0,26.0,-205.0,-534.0,1787.0,626.0,54.0,47.0,-216.0,-508.0,2422.0,454.0,110.0,69.0,-217.0,-852.0,2653.0,584.0,205.0,105.0,-234.0,-286.0,2472.0,611.0,DOWN,
150,239.0,109.0,-219.0,-483.0,2053.0,168.0,250.0,123.0,-200.0,-290.0,1484.0,187.0,244.0,115.0,-204.0,194.0,867.0,-46.0,217.0,53.0,-199.0,-512.0,133.0,-98.0,224.0,90.0,-182.0,-78.0,-95.0,20.0,233.0,91.0,-150.0,214.0,-160.0,31.0,232.0,79.0,-160.0,82.0,-227.0,-25.0,245.0,86.0,-211.0,142.0,-543.0,-27.0,255.0,92.0,-242.0,110.0,-1394.0,-140.0,246.0,120.0,-262.0,861.0,-2060.0,-237.0,186.0,83.0,-256.0,862.0,-2605.0,-313.0,112.0,66.0,-235.0,954.0,-2573.0,-499.0,101.0,56.0,-208.0,305.0,-2371.0,-476.0,12.0,39.0,-209.0,263.0,-2092.0,-552.0,-30.0,22.0,-196.0,165.0,-1476.0,-177.0,-62.0,14.0,-209.0,188.0,-958.0,-127.0,-99.0,7.0,-214.0,11.0,-475.0,-119.0,-107.0,13.0,-216.0,-162.0,-129.0,-49.0,-105.0,11.0,-229.0,13.0,-10.0,75.0,-113.0,20.0,-227.0,-124.0,91.0,84.0,-109.0,10.0,-202.0,-60.0,189.0,82.0,-93.0,20.0,-212.0,-154.0,462.0,109.0,-73.0,17.0,-190.0,-318.0,970.0,448.0,-15.0,25.0,-192.0,-448.0,1551.0,493.0,-29.0,38.0,-200.0,-688.0,2144.0,214.0,70.0,73.0,-239.0,-856.0,2569.0,585.0,115.0,86.0,-191.0,-700.0,2420.0,503.0,167.0,117.0,-222.0,-792.0,2579.0,278.0,206.0,105.0,-215.0,-230.0,2216.0,517.0,236.0,107.0,-189.0,105.0,1611.0,414.0,DOWN,
180,276.0,110.0,-177.0,12.0,996.0,389.0,266.0,89.0,-171.0,-65.0,475.0,189.0,244.0,73.0,-150.0,78.0,132.0,67.0,253.0,65.0,-158.0,3.0,26.0,-26.0,252.0,74.0,-141.0,71.0,-217.0,-9.0,255.0,65.0,-161.0,72.0,-427.0,-14.0,259.0,65.0,-187.0,102.0,-823.0,-130.0,276.0,97.0,-220.0,110.0,-1579.0,-123.0,247.0,107.0,-240.0,460.0,-2189.0,-164.0,215.0,84.0,-249.0,910.0,-2692.0,-238.0,147.0,83.0,-224.0,633.0,-2846.0,-322.0,83.0,54.0,-226.0,839.0,-2654.0,-574.0,15.0,48.0,-194.0,-75.0,-2363.0,-537.0,-26.0,2.0,-169.0,164.0,-1867.0,-459.0,-108.0,12.0,-183.0,-17.0,-859.0,-224.0,-101.0,5.0,-204.0,-180.0,-168.0,-183.0,-106.0,18.0,-230.0,-174.0,56.0,55.0,-111.0,6.0,-219.0,-65.0,1.0,42.0,-111.0,11.0,-213.0,-74.0,138.0,118.0,-101.0,3.0,-211.0,-96.0,560.0,134.0,-71.0,6.0,-181.0,-240.0,960.0,321.0,-56.0,17.0,-199.0,-230.0,1559.0,441.0,-11.0,44.0,-197.0,-454.0,1853.0,751.0,31.0,61.0,-232.0,-565.0,2368.0,667.0,101.0,58.0,-256.0,-530.0,2599.0,595.0,192.0,115.0,-210.0,-273.0,2479.0,591.0,210.0,75.0,-238.0,-621.0,2254.0,107.0,255.0,108.0,-207.0,-293.0,1669.0,218.0,239.0,92.0,-214.0,-290.0,1117.0,98.0,279.0,107.0,-201.0,112.0,384.0,8.0,DOWN,
210,207.0,66.0,-203.0,-171.0,-78.0,-36.0,245.0,88.0,-167.0,89.0,-167.0,16.0,225.0,78.0,-159.0,210.0,-402.0,78.0,245.0,72.0,-184.0,225.0,-608.0,36.0,247.0,75.0,-230.0,-39.0,-1091.0,-353.0,259.0,105.0,-240.0,-200.0,-1864.0,-242.0,212.0,114.0,-245.0,513.0,-2426.0,-383.0,159.0,94.0,-254.0,799.0,-2747.0,-273.0,96.0,61.0,-225.0,681.0,-2597.0,-863.0,42.0,59.0,-206.0,567.0,-2399.0,-368.0,-16.0,24.0,-195.0,377.0,-2075.0,-529.0,-82.0,5.0,-176.0,42.0,-1301.0,-311.0,-91.0,12.0,-197.0,-45.0,-528.0,-348.0,-118.0,11.0,-202.0,-137.0,-113.0,-41.0,-110.0,13.0,-216.0,-169.0,47.0,8.0,-125.0,11.0,-209.0,-103.0,65.0,47.0,-124.0,10.0,-211.0,-93.0,297.0,85.0,-99.0,24.0,-215.0,-151.0,487.0,118.0,-91.0,24.0,-220.0,-198.0,694.0,166.0,-68.0,25.0,-200.0,-151.0,961.0,347.0,-79.0,24.0,-216.0,-394.0,1645.0,288.0,3.0,42.0,-220.0,-538.0,1994.0,858.0,57.0,58.0,-195.0,-489.0,2362.0,551.0,138.0,97.0,-232.0,-513.0,2374.0,491.0,142.0,83.0,-218.0,-596.0,2307.0,476.0,243.0,128.0,-228.0,-161.0,2290.0,330.0,248.0,119.0,-230.0,-206.0,1589.0,632.0,258.0,91.0,-210.0,56.0,699.0,261.0,240.0,65.0,-207.0,-54.0,163.0,276.0,227.0,73.0,-175.0,-2.0,76.0,-40.0,DOWN,
240,233.0,68.0,-172.0,80.0,-115.0,3.0,241.0,74.0,-169.0,53.0,-449.0,35.0,252.0,66.0,-215.0,-71.0,-845.0,-348.0,254.0,92.0,-243.0,-104.0,-1522.0,-462.0,227.0,116.0,-257.0,198.0,-2023.0,-493.0,182.0,103.0,-257.0,468.0,-2498.0,-690.0,160.0,115.0,-243.0,894.0,-2594.0,-755.0,25.0,49.0,-211.0,761.0,-2540.0,-666.0,8.0,36.0,-165.0,272.0,-2194.0,-517.0,-65.0,13.0,-160.0,146.0,-1258.0,-375.0,-69.0,15.0,-192.0,-84.0,-522.0,-394.0,-85.0,25.0,-208.0,-465.0,-72.0,-155.0,-92.0,26.0,-235.0,-217.0,41.0,-76.0,-100.0,35.0,-224.0,-100.0,-12.0,166.0,-102.0,25.0,-225.0,-22.0,177.0,69.0,-88.0,36.0,-226.0,-110.0,331.0,131.0,-69.0,32.0,-210.0,-50.0,512.0,221.0,-65.0,45.0,-216.0,-171.0,718.0,418.0,-32.0,33.0,-185.0,-100.0,1181.0,652.0,-19.0,47.0,-193.0,-385.0,1764.0,694.0,63.0,78.0,-192.0,-688.0,2175.0,845.0,109.0,91.0,-217.0,-577.0,2334.0,873.0,172.0,98.0,-214.0,-360.0,2389.0,740.0,230.0,92.0,-228.0,25.0,1944.0,681.0,252.0,130.0,-219.0,-757.0,1805.0,102.0,274.0,109.0,-209.0,-481.0,991.0,312.0,319.0,100.0,-247.0,7.0,378.0,382.0,230.0,63.0,-191.0,-44.0,44.0,-191.0,244.0,92.0,-157.0,234.0,-145.0,-41.0,245.0,75.0,-181.0,376.0,-422.0,75.0,DOWN,
270,239.0,74.0,-213.0,147.0,-824.0,-432.0,265.0,100.0,-233.0,-91.0,-1334.0,-309.0,217.0,107.0,-238.0,183.0,-1874.0,-429.0,190.0,107.0,-251.0,488.0,-2282.0,-614.0,115.0,80.0,-237.0,537.0,-2397.0,-1028.0,118.0,88.0,-206.0,220.0,-2413.0,-617.0,31.0,47.0,-188.0,482.0,-2069.0,-770.0,-49.0,32.0,-188.0,221.0,-1487.0,-387.0,-56.0,28.0,-198.0,56.0,-708.0,-322.0,-75.0,20.0,-195.0,-139.0,-297.0,-120.0,-87.0,54.0,-241.0,-75.0,-125.0,-16.0,-95.0,28.0,-224.0,81.0,-140.0,-6.0,-107.0,47.0,-234.0,36.0,11.0,2.0,-100.0,26.0,-221.0,-30.0,132.0,25.0,-77.0,36.0,-216.0,-72.0,322.0,62.0,-82.0,29.0,-208.0,-40.0,556.0,216.0,-56.0,34.0,-215.0,-122.0,922.0,256.0,-83.0,35.0,-212.0,-553.0,1519.0,299.0,33.0,40.0,-170.0,-646.0,2046.0,763.0,43.0,81.0,-211.0,-620.0,2518.0,463.0,191.0,108.0,-201.0,-613.0,2396.0,746.0,147.0,113.0,-188.0,-612.0,2254.0,535.0,253.0,124.0,-262.0,-210.0,1749.0,785.0,234.0,119.0,-223.0,-104.0,1168.0,412.0,271.0,106.0,-208.0,-152.0,717.0,147.0,246.0,82.0,-203.0,104.0,200.0,382.0,234.0,65.0,-183.0,198.0,-5.0,64.0,231.0,69.0,-151.0,63.0,-73.0,-30.0,233.0,73.0,-161.0,95.0,-101.0,-4.0,253.0,80.0,-201.0,137.0,-432.0,-38.0,DOWN,
