TimeStamp,AccX_0,AccY_0,AccZ_0,GyrX_0,GyrY_0,GyrZ_0,AccX_1,AccY_1,AccZ_1,GyrX_1,GyrY_1,GyrZ_1,AccX_2,AccY_2,AccZ_2,GyrX_2,GyrY_2,GyrZ_2,AccX_3,AccY_3,AccZ_3,GyrX_3,GyrY_3,GyrZ_3,AccX_4,AccY_4,AccZ_4,GyrX_4,GyrY_4,GyrZ_4,AccX_5,AccY_5,AccZ_5,GyrX_5,GyrY_5,GyrZ_5,AccX_6,AccY_6,AccZ_6,GyrX_6,GyrY_6,GyrZ_6,AccX_7,AccY_7,AccZ_7,GyrX_7,GyrY_7,GyrZ_7,AccX_8,AccY_8,AccZ_8,GyrX_8,GyrY_8,GyrZ_8,AccX_9,AccY_9,AccZ_9,GyrX_9,GyrY_9,GyrZ_9,AccX_10,AccY_10,AccZ_10,GyrX_10,GyrY_10,GyrZ_10,AccX_11,AccY_11,AccZ_11,GyrX_11,GyrY_11,GyrZ_11,AccX_12,AccY_12,AccZ_12,GyrX_12,GyrY_12,GyrZ_12,AccX_13,AccY_13,AccZ_13,GyrX_13,GyrY_13,GyrZ_13,AccX_14,AccY_14,AccZ_14,GyrX_14,GyrY_14,GyrZ_14,AccX_15,AccY_15,AccZ_15,GyrX_15,GyrY_15,GyrZ_15,AccX_16,AccY_16,AccZ_16,GyrX_16,GyrY_16,GyrZ_16,AccX_17,AccY_17,AccZ_17,GyrX_17,GyrY_17,GyrZ_17,AccX_18,AccY_18,AccZ_18,GyrX_18,GyrY_18,GyrZ_18,AccX_19,AccY_19,AccZ_19,GyrX_19,GyrY_19,GyrZ_19,AccX_20,AccY_20,AccZ_20,GyrX_20,GyrY_20,GyrZ_20,AccX_21,AccY_21,AccZ_21,GyrX_21,GyrY_21,GyrZ_21,AccX_22,AccY_22,AccZ_22,GyrX_22,GyrY_22,GyrZ_22,AccX_23,AccY_23,AccZ_23,GyrX_23,GyrY_23,GyrZ_23,AccX_24,AccY_24,AccZ_24,GyrX_24,GyrY_24,GyrZ_24,AccX_25,AccY_25,AccZ_25,GyrX_25,GyrY_25,GyrZ_25,AccX_26,AccY_26,AccZ_26,GyrX_26,GyrY_26,GyrZ_26,AccX_27,AccY_27,AccZ_27,GyrX_27,GyrY_27,GyrZ_27,AccX_28,AccY_28,AccZ_28,GyrX_28,GyrY_28,GyrZ_28,AccX_29,AccY_29,AccZ_29,GyrX_29,GyrY_29,GyrZ_29,Label
0,25.0,52.0,-259.0,-48.0,18.0,-1.0,22.0,52.0,-260.0,13.0,22.0,-2.0,24.0,49.0,-258.0,-83.0,6.0,4.0,24.0,50.0,-260.0,-23.0,22.0,1.0,24.0,49.0,-258.0,-45.0,18.0,-1.0,24.0,51.0,-261.0,-14.0,15.0,13.0,24.0,49.0,-260.0,-27.0,4.0,19.0,23.0,50.0,-261.0,-37.0,24.0,2.0,24.0,50.0,-259.0,-10.0,17.0,15.0,24.0,53.0,-258.0,-105.0,-6.0,-3.0,22.0,53.0,-260.0,27.0,15.0,-2.0,25.0,48.0,-258.0,-67.0,8.0,-9.0,24.0,49.0,-262.0,-1.0,7.0,14.0,27.0,50.0,-258.0,-58.0,-2.0,15.0,24.0,50.0,-261.0,21.0,0.0,13.0,22.0,46.0,-259.0,-9.0,22.0,26.0,19.0,51.0,-258.0,-111.0,27.0,23.0,22.0,64.0,-260.0,-132.0,8.0,-24.0,23.0,74.0,-265.0,-38.0,-20.0,-208.0,19.0,37.0,-258.0,478.0,-30.0,-158.0,26.0,37.0,-255.0,-473.0,-122.0,-172.0,40.0,149.0,-272.0,-1418.0,-173.0,-783.0,9.0,134.0,-254.0,1502.0,133.0,-1296.0,5.0,28.0,-230.0,1463.0,354.0,-1697.0,30.0,5.0,-256.0,82.0,258.0,-1790.0,23.0,5.0,-233.0,-577.0,280.0,-1713.0,34.0,6.0,-248.0,-791.0,330.0,-1440.0,60.0,68.0,-313.0,-1668.0,56.0,-1286.0,38.0,19.0,-271.0,329.0,201.0,-872.0,45.0,4.0,-256.0,-991.0,-137.0,-281.0,LEFT,
30,34.0,61.0,-267.0,-544.0,-149.0,220.0,30.0,64.0,-250.0,194.0,-78.0,540.0,34.0,55.0,-258.0,-97.0,-86.0,767.0,39.0,50.0,-270.0,36.0,-206.0,1116.0,34.0,47.0,-264.0,187.0,-293.0,1425.0,47.0,59.0,-270.0,809.0,-253.0,1673.0,45.0,45.0,-255.0,35.0,-297.0,1647.0,21.0,33.0,-253.0,35.0,-189.0,1668.0,41.0,83.0,-257.0,-57.0,-242.0,1526.0,30.0,63.0,-254.0,758.0,-60.0,1296.0,31.0,34.0,-252.0,-89.0,13.0,1041.0,36.0,77.0,-264.0,-711.0,-34.0,795.0,36.0,82.0,-261.0,-126.0,45.0,405.0,39.0,63.0,-256.0,324.0,116.0,202.0,35.0,46.0,-261.0,-43.0,67.0,83.0,39.0,45.0,-263.0,-68.0,33.0,-10.0,31.0,43.0,-264.0,44.0,10.0,-53.0,41.0,58.0,-258.0,-308.0,-47.0,-207.0,35.0,79.0,-258.0,-140.0,-62.0,-431.0,41.0,88.0,-256.0,-89.0,1.0,-845.0,36.0,93.0,-254.0,60.0,134.0,-1254.0,32.0,67.0,-249.0,380.0,263.0,-1540.0,34.0,38.0,-254.0,114.0,358.0,-1669.0,48.0,43.0,-260.0,-575.0,470.0,-1772.0,49.0,44.0,-269.0,-372.0,571.0,-1694.0,59.0,33.0,-266.0,164.0,521.0,-1427.0,66.0,32.0,-265.0,-233.0,250.0,-1080.0,59.0,50.0,-264.0,-222.0,56.0,-657.0,59.0,52.0,-266.0,-104.0,-52.0,-321.0,49.0,61.0,-264.0,207.0,-131.0,40.0,LEFT,
60,50.0,41.0,-255.0,-181.0,-229.0,298.0,33.0,65.0,-266.0,-11.0,-236.0,532.0,35.0,46.0,-251.0,121.0,-152.0,717.0,40.0,49.0,-259.0,-163.0,-180.0,911.0,41.0,41.0,-273.0,461.0,-183.0,1219.0,45.0,23.0,-270.0,413.0,-197.0,1527.0,41.0,35.0,-255.0,88.0,-309.0,1631.0,41.0,48.0,-268.0,360.0,-216.0,1727.0,21.0,49.0,-255.0,-514.0,-314.0,1453.0,37.0,61.0,-256.0,334.0,-108.0,1334.0,43.0,97.0,-260.0,-508.0,-179.0,965.0,24.0,64.0,-249.0,173.0,-29.0,587.0,38.0,62.0,-256.0,-62.0,21.0,467.0,39.0,71.0,-259.0,-301.0,22.0,235.0,29.0,55.0,-256.0,180.0,86.0,109.0,33.0,47.0,-259.0,-112.0,42.0,45.0,33.0,55.0,-267.0,94.0,9.0,11.0,38.0,37.0,-260.0,-112.0,-74.0,-75.0,25.0,54.0,-262.0,233.0,-14.0,-80.0,29.0,18.0,-257.0,154.0,13.0,-63.0,25.0,33.0,-266.0,-3.0,-18.0,-8.0,31.0,35.0,-256.0,-140.0,-26.0,16.0,33.0,81.0,-254.0,-814.0,-72.0,-252.0,50.0,149.0,-243.0,-985.0,129.0,-947.0,34.0,139.0,-244.0,1185.0,401.0,-1601.0,36.0,45.0,-222.0,402.0,376.0,-1955.0,37.0,55.0,-256.0,-529.0,436.0,-2149.0,53.0,43.0,-279.0,164.0,613.0,-2207.0,73.0,6.0,-271.0,178.0,461.0,-1899.0,68.0,-19.0,-265.0,-638.0,133.0,-1330.0,LEFT,
90,73.0,11.0,-283.0,-316.0,-130.0,-390.0,57.0,16.0,-269.0,179.0,-296.0,470.0,53.0,1.0,-256.0,216.0,-276.0,1230.0,53.0,0.0,-273.0,42.0,-402.0,1758.0,46.0,28.0,-275.0,593.0,-372.0,2229.0,30.0,25.0,-247.0,-207.0,-391.0,2142.0,35.0,75.0,-260.0,491.0,-194.0,2112.0,34.0,63.0,-236.0,-395.0,-145.0,1573.0,46.0,91.0,-261.0,410.0,6.0,1266.0,38.0,89.0,-236.0,-1236.0,-64.0,728.0,31.0,91.0,-251.0,285.0,137.0,358.0,44.0,69.0,-254.0,535.0,209.0,192.0,49.0,84.0,-263.0,-852.0,-8.0,-253.0,61.0,150.0,-244.0,-1205.0,106.0,-1006.0,33.0,145.0,-248.0,1167.0,312.0,-1631.0,48.0,54.0,-251.0,1136.0,366.0,-2083.0,49.0,23.0,-259.0,-427.0,284.0,-2174.0,43.0,26.0,-255.0,-633.0,410.0,-2124.0,61.0,27.0,-266.0,-251.0,477.0,-1938.0,66.0,23.0,-265.0,-439.0,327.0,-1566.0,66.0,46.0,-273.0,-455.0,74.0,-1005.0,59.0,42.0,-273.0,566.0,-33.0,-370.0,44.0,18.0,-254.0,-132.0,-129.0,79.0,39.0,68.0,-260.0,-620.0,-179.0,280.0,31.0,57.0,-261.0,848.0,-63.0,593.0,40.0,19.0,-258.0,344.0,-170.0,923.0,37.0,16.0,-267.0,-54.0,-229.0,1258.0,38.0,33.0,-272.0,349.0,-308.0,1492.0,32.0,26.0,-262.0,416.0,-182.0,1705.0,19.0,8.0,-248.0,-423.0,-186.0,1594.0,LEFT,
120,40.0,54.0,-273.0,454.0,-70.0,1697.0,28.0,50.0,-244.0,-309.0,-176.0,1292.0,37.0,45.0,-269.0,1460.0,100.0,1150.0,27.0,32.0,-239.0,-1571.0,-168.0,734.0,32.0,70.0,-265.0,24.0,75.0,342.0,27.0,42.0,-254.0,353.0,131.0,260.0,40.0,44.0,-261.0,-517.0,9.0,-42.0,31.0,65.0,-268.0,181.0,11.0,-246.0,50.0,71.0,-259.0,-282.0,-79.0,-666.0,35.0,95.0,-253.0,-166.0,23.0,-1151.0,29.0,69.0,-252.0,151.0,172.0,-1587.0,28.0,64.0,-252.0,0.0,317.0,-1816.0,31.0,9.0,-243.0,-159.0,383.0,-1904.0,44.0,19.0,-261.0,-359.0,419.0,-1758.0,56.0,23.0,-262.0,-576.0,345.0,-1516.0,67.0,41.0,-273.0,-560.0,206.0,-1232.0,48.0,34.0,-272.0,-262.0,51.0,-877.0,46.0,39.0,-258.0,161.0,-40.0,-350.0,33.0,58.0,-259.0,96.0,-73.0,-98.0,29.0,29.0,-253.0,-31.0,-25.0,117.0,34.0,53.0,-265.0,222.0,-98.0,494.0,52.0,16.0,-259.0,205.0,-191.0,927.0,42.0,-7.0,-268.0,437.0,-260.0,1514.0,55.0,37.0,-279.0,-234.0,-473.0,1733.0,10.0,4.0,-256.0,1034.0,-197.0,1921.0,40.0,30.0,-261.0,586.0,-35.0,1952.0,13.0,43.0,-249.0,-622.0,-44.0,1392.0,17.0,26.0,-257.0,1636.0,214.0,1402.0,52.0,41.0,-246.0,-1203.0,48.0,989.0,18.0,60.0,-252.0,-1133.0,40.0,535.0,LEFT,
150,37.0,65.0,-257.0,441.0,175.0,492.0,36.0,38.0,-254.0,-556.0,74.0,252.0,40.0,64.0,-270.0,38.0,48.0,-10.0,34.0,62.0,-258.0,-32.0,-8.0,-282.0,41.0,70.0,-258.0,-141.0,-27.0,-651.0,42.0,90.0,-264.0,-234.0,-5.0,-1142.0,34.0,81.0,-254.0,223.0,117.0,-1573.0,38.0,70.0,-255.0,125.0,272.0,-1897.0,29.0,11.0,-235.0,421.0,409.0,-1982.0,54.0,1.0,-260.0,-226.0,527.0,-1945.0,66.0,6.0,-273.0,188.0,531.0,-1570.0,73.0,-12.0,-269.0,-998.0,185.0,-1294.0,64.0,48.0,-293.0,-152.0,-44.0,-708.0,53.0,29.0,-254.0,236.0,-130.0,-412.0,43.0,51.0,-254.0,-445.0,-197.0,-305.0,39.0,24.0,-273.0,605.0,8.0,3.0,41.0,0.0,-270.0,-121.0,-138.0,417.0,53.0,11.0,-269.0,65.0,-239.0,904.0,44.0,-5.0,-257.0,116.0,-263.0,1398.0,49.0,28.0,-270.0,52.0,-345.0,1619.0,26.0,2.0,-269.0,457.0,-205.0,1807.0,26.0,23.0,-265.0,124.0,-181.0,1785.0,27.0,36.0,-263.0,387.0,35.0,1595.0,33.0,32.0,-254.0,174.0,101.0,1314.0,42.0,38.0,-259.0,-16.0,73.0,1119.0,39.0,44.0,-252.0,-537.0,-5.0,786.0,27.0,53.0,-256.0,-176.0,5.0,576.0,30.0,37.0,-255.0,39.0,114.0,392.0,39.0,57.0,-260.0,-419.0,22.0,95.0,38.0,61.0,-264.0,142.0,14.0,-204.0,LEFT,
180,36.0,58.0,-265.0,-25.0,-64.0,-485.0,28.0,63.0,-267.0,76.0,-33.0,-829.0,38.0,72.0,-258.0,-113.0,1.0,-1272.0,24.0,59.0,-256.0,385.0,139.0,-1641.0,31.0,22.0,-252.0,224.0,264.0,-1835.0,40.0,16.0,-262.0,-106.0,349.0,-1907.0,54.0,-10.0,-263.0,-180.0,360.0,-1748.0,62.0,9.0,-275.0,-473.0,262.0,-1490.0,59.0,17.0,-274.0,-347.0,69.0,-1149.0,61.0,10.0,-269.0,-64.0,-40.0,-663.0,43.0,29.0,-263.0,-508.0,-155.0,-327.0,32.0,43.0,-267.0,113.0,-22.0,-8.0,26.0,29.0,-252.0,-31.0,95.0,200.0,47.0,32.0,-271.0,396.0,75.0,534.0,46.0,9.0,-253.0,1.0,-134.0,892.0,40.0,25.0,-271.0,77.0,-200.0,1142.0,44.0,15.0,-270.0,533.0,-185.0,1394.0,43.0,21.0,-266.0,-356.0,-368.0,1471.0,32.0,10.0,-257.0,261.0,-261.0,1548.0,35.0,65.0,-268.0,-262.0,-378.0,1491.0,13.0,27.0,-243.0,236.0,-196.0,1353.0,26.0,45.0,-256.0,135.0,-167.0,1306.0,14.0,55.0,-250.0,-440.0,-126.0,1049.0,18.0,51.0,-252.0,-69.0,91.0,727.0,22.0,80.0,-262.0,-310.0,94.0,522.0,23.0,65.0,-256.0,14.0,113.0,219.0,29.0,67.0,-263.0,-148.0,33.0,-101.0,22.0,71.0,-269.0,162.0,18.0,-360.0,14.0,56.0,-263.0,97.0,0.0,-555.0,21.0,75.0,-263.0,-109.0,24.0,-895.0,LEFT,
210,20.0,67.0,-260.0,325.0,109.0,-1219.0,24.0,48.0,-255.0,140.0,82.0,-1487.0,22.0,39.0,-253.0,-43.0,158.0,-1689.0,26.0,19.0,-256.0,-94.0,251.0,-1781.0,31.0,3.0,-254.0,-195.0,287.0,-1646.0,45.0,25.0,-265.0,-362.0,293.0,-1449.0,37.0,9.0,-262.0,-645.0,210.0,-1281.0,37.0,6.0,-276.0,-179.0,161.0,-801.0,42.0,14.0,-265.0,-654.0,-84.0,-315.0,36.0,58.0,-264.0,-151.0,-105.0,14.0,27.0,38.0,-260.0,346.0,-74.0,345.0,28.0,39.0,-256.0,-255.0,-127.0,542.0,30.0,32.0,-270.0,640.0,-87.0,910.0,28.0,18.0,-256.0,-371.0,-246.0,1123.0,33.0,50.0,-261.0,-62.0,-317.0,1313.0,19.0,40.0,-264.0,537.0,-216.0,1445.0,21.0,33.0,-254.0,80.0,-195.0,1444.0,28.0,58.0,-266.0,342.0,-120.0,1421.0,13.0,28.0,-248.0,-339.0,-76.0,1230.0,20.0,61.0,-256.0,-70.0,-38.0,1107.0,24.0,66.0,-268.0,206.0,47.0,907.0,27.0,65.0,-257.0,-501.0,3.0,524.0,29.0,67.0,-256.0,59.0,91.0,375.0,33.0,64.0,-263.0,-89.0,31.0,230.0,36.0,63.0,-261.0,-99.0,12.0,-10.0,31.0,67.0,-262.0,98.0,3.0,-183.0,35.0,70.0,-257.0,-94.0,-24.0,-418.0,25.0,76.0,-259.0,259.0,38.0,-719.0,33.0,74.0,-266.0,131.0,19.0,-1061.0,25.0,62.0,-268.0,154.0,14.0,-1312.0,LEFT,
240,21.0,45.0,-253.0,154.0,16.0,-1421.0,21.0,19.0,-250.0,111.0,97.0,-1457.0,29.0,24.0,-265.0,-136.0,139.0,-1486.0,23.0,14.0,-248.0,-497.0,198.0,-1421.0,33.0,43.0,-266.0,-253.0,300.0,-1260.0,34.0,5.0,-259.0,-139.0,194.0,-982.0,35.0,23.0,-267.0,-500.0,15.0,-622.0,33.0,29.0,-266.0,-154.0,-66.0,-208.0,23.0,44.0,-268.0,-161.0,-124.0,91.0,16.0,31.0,-260.0,188.0,-110.0,362.0,16.0,38.0,-266.0,39.0,-126.0,561.0,12.0,22.0,-266.0,524.0,-91.0,835.0,27.0,33.0,-267.0,138.0,-162.0,983.0,4.0,16.0,-255.0,-223.0,-213.0,1094.0,16.0,31.0,-262.0,763.0,-150.0,1323.0,17.0,36.0,-255.0,-740.0,-264.0,1177.0,1.0,34.0,-258.0,860.0,-55.0,1345.0,25.0,31.0,-265.0,122.0,23.0,1365.0,17.0,50.0,-260.0,-249.0,72.0,1144.0,16.0,5.0,-244.0,172.0,226.0,1110.0,31.0,62.0,-266.0,-317.0,108.0,1084.0,47.0,53.0,-259.0,-312.0,108.0,662.0,34.0,70.0,-264.0,-88.0,49.0,527.0,44.0,88.0,-267.0,-345.0,-40.0,89.0,22.0,76.0,-261.0,280.0,20.0,-255.0,35.0,75.0,-260.0,-201.0,-41.0,-617.0,18.0,84.0,-266.0,231.0,-28.0,-945.0,25.0,63.0,-256.0,2.0,-45.0,-1273.0,22.0,66.0,-261.0,328.0,55.0,-1545.0,17.0,29.0,-255.0,3.0,108.0,-1640.0,LEFT,
270,23.0,32.0,-253.0,-1038.0,186.0,-1775.0,31.0,30.0,-255.0,-419.0,319.0,-1599.0,31.0,37.0,-270.0,-649.0,261.0,-1300.0,32.0,61.0,-268.0,-186.0,218.0,-1071.0,30.0,59.0,-258.0,-121.0,170.0,-919.0,25.0,35.0,-262.0,-49.0,94.0,-596.0,20.0,39.0,-258.0,56.0,36.0,-203.0,18.0,57.0,-260.0,73.0,-42.0,64.0,13.0,37.0,-254.0,23.0,-66.0,321.0,19.0,41.0,-266.0,400.0,-102.0,667.0,10.0,6.0,-257.0,137.0,-163.0,1094.0,22.0,13.0,-259.0,35.0,-111.0,1394.0,21.0,20.0,-265.0,391.0,-76.0,1631.0,22.0,33.0,-266.0,775.0,-96.0,1732.0,18.0,27.0,-267.0,-128.0,-167.0,1515.0,9.0,28.0,-257.0,1157.0,48.0,1575.0,28.0,22.0,-245.0,-755.0,-59.0,1354.0,43.0,85.0,-258.0,-447.0,-40.0,1007.0,34.0,61.0,-259.0,967.0,231.0,763.0,48.0,22.0,-243.0,-677.0,113.0,419.0,49.0,47.0,-265.0,7.0,206.0,292.0,47.0,30.0,-264.0,-171.0,141.0,271.0,41.0,31.0,-255.0,-730.0,106.0,102.0,36.0,52.0,-275.0,-388.0,54.0,131.0,48.0,63.0,-272.0,-610.0,-92.0,44.0,24.0,65.0,-257.0,29.0,59.0,-23.0,38.0,58.0,-249.0,-109.0,47.0,-44.0,35.0,54.0,-257.0,133.0,17.0,50.0,42.0,61.0,-261.0,-188.0,16.0,26.0,31.0,64.0,-264.0,109.0,35.0,19.0,LEFT,
