TimeStamp,AccX_0,AccY_0,AccZ_0,GyrX_0,GyrY_0,GyrZ_0,AccX_1,AccY_1,AccZ_1,GyrX_1,GyrY_1,GyrZ_1,AccX_2,AccY_2,AccZ_2,GyrX_2,GyrY_2,GyrZ_2,AccX_3,AccY_3,AccZ_3,GyrX_3,GyrY_3,GyrZ_3,AccX_4,AccY_4,AccZ_4,GyrX_4,GyrY_4,GyrZ_4,AccX_5,AccY_5,AccZ_5,GyrX_5,GyrY_5,GyrZ_5,AccX_6,AccY_6,AccZ_6,GyrX_6,GyrY_6,GyrZ_6,AccX_7,AccY_7,AccZ_7,GyrX_7,GyrY_7,GyrZ_7,AccX_8,AccY_8,AccZ_8,GyrX_8,GyrY_8,GyrZ_8,AccX_9,AccY_9,AccZ_9,GyrX_9,GyrY_9,GyrZ_9,AccX_10,AccY_10,AccZ_10,GyrX_10,GyrY_10,GyrZ_10,AccX_11,AccY_11,AccZ_11,GyrX_11,GyrY_11,GyrZ_11,AccX_12,AccY_12,AccZ_12,GyrX_12,GyrY_12,GyrZ_12,AccX_13,AccY_13,AccZ_13,GyrX_13,GyrY_13,GyrZ_13,AccX_14,AccY_14,AccZ_14,GyrX_14,GyrY_14,GyrZ_14,AccX_15,AccY_15,AccZ_15,GyrX_15,GyrY_15,GyrZ_15,AccX_16,AccY_16,AccZ_16,GyrX_16,GyrY_16,GyrZ_16,AccX_17,AccY_17,AccZ_17,GyrX_17,GyrY_17,GyrZ_17,AccX_18,AccY_18,AccZ_18,GyrX_18,GyrY_18,GyrZ_18,AccX_19,AccY_19,AccZ_19,GyrX_19,GyrY_19,GyrZ_19,AccX_20,AccY_20,AccZ_20,GyrX_20,GyrY_20,GyrZ_20,AccX_21,AccY_21,AccZ_21,GyrX_21,GyrY_21,GyrZ_21,AccX_22,AccY_22,AccZ_22,GyrX_22,GyrY_22,GyrZ_22,AccX_23,AccY_23,AccZ_23,GyrX_23,GyrY_23,GyrZ_23,AccX_24,AccY_24,AccZ_24,GyrX_24,GyrY_24,GyrZ_24,AccX_25,AccY_25,AccZ_25,GyrX_25,GyrY_25,GyrZ_25,AccX_26,AccY_26,AccZ_26,GyrX_26,GyrY_26,GyrZ_26,AccX_27,AccY_27,AccZ_27,GyrX_27,GyrY_27,GyrZ_27,AccX_28,AccY_28,AccZ_28,GyrX_28,GyrY_28,GyrZ_28,AccX_29,AccY_29,AccZ_29,GyrX_29,GyrY_29,GyrZ_29,Label
0,11.0,42.0,-262.0,-32.0,32.0,13.0,14.0,44.0,-264.0,-28.0,32.0,21.0,14.0,46.0,-264.0,-23.0,11.0,11.0,12.0,45.0,-260.0,-26.0,-8.0,13.0,13.0,43.0,-258.0,-42.0,1.0,6.0,12.0,39.0,-259.0,-21.0,15.0,-11.0,9.0,42.0,-259.0,-14.0,12.0,7.0,14.0,46.0,-259.0,-50.0,17.0,-17.0,13.0,40.0,-261.0,-19.0,1.0,-20.0,14.0,41.0,-260.0,-22.0,4.0,-6.0,11.0,42.0,-258.0,-34.0,25.0,-3.0,9.0,40.0,-260.0,-69.0,35.0,2.0,14.0,45.0,-262.0,-31.0,14.0,6.0,15.0,44.0,-264.0,0.0,14.0,-14.0,12.0,37.0,-262.0,-16.0,16.0,9.0,14.0,41.0,-259.0,-33.0,17.0,19.0,13.0,41.0,-259.0,-56.0,28.0,17.0,15.0,46.0,-262.0,17.0,17.0,2.0,12.0,41.0,-260.0,-64.0,10.0,-6.0,13.0,41.0,-260.0,-58.0,12.0,-7.0,13.0,41.0,-262.0,-23.0,5.0,-13.0,14.0,38.0,-259.0,-49.0,15.0,-5.0,15.0,42.0,-262.0,-34.0,7.0,9.0,15.0,42.0,-261.0,-43.0,9.0,2.0,12.0,41.0,-261.0,-29.0,17.0,8.0,15.0,44.0,-261.0,-14.0,5.0,15.0,14.0,36.0,-264.0,-39.0,-5.0,25.0,21.0,25.0,-271.0,72.0,-55.0,114.0,28.0,-1.0,-282.0,70.0,-107.0,327.0,23.0,-10.0,-271.0,-34.0,-166.0,660.0,RIGHT,
30,17.0,-7.0,-266.0,-118.0,-119.0,1036.0,18.0,20.0,-256.0,-199.0,-35.0,1310.0,19.0,25.0,-255.0,41.0,2.0,1557.0,21.0,32.0,-239.0,-407.0,100.0,1678.0,47.0,88.0,-244.0,81.0,71.0,1656.0,40.0,82.0,-255.0,-531.0,234.0,1346.0,73.0,91.0,-263.0,123.0,119.0,1028.0,50.0,104.0,-259.0,-322.0,47.0,503.0,48.0,79.0,-251.0,121.0,4.0,249.0,51.0,90.0,-258.0,-2.0,-29.0,-21.0,66.0,102.0,-254.0,-79.0,-72.0,-537.0,62.0,111.0,-260.0,332.0,-167.0,-1028.0,54.0,91.0,-257.0,220.0,-149.0,-1493.0,57.0,69.0,-257.0,138.0,-103.0,-1826.0,40.0,50.0,-256.0,108.0,-163.0,-1917.0,21.0,29.0,-267.0,-496.0,-40.0,-1904.0,12.0,27.0,-263.0,-51.0,79.0,-1844.0,17.0,12.0,-275.0,-31.0,145.0,-1579.0,4.0,-3.0,-256.0,-519.0,137.0,-1183.0,4.0,25.0,-263.0,-101.0,91.0,-788.0,2.0,23.0,-261.0,-208.0,58.0,-425.0,1.0,34.0,-256.0,56.0,5.0,-189.0,0.0,45.0,-258.0,165.0,-5.0,-45.0,-2.0,48.0,-254.0,-160.0,24.0,28.0,-4.0,56.0,-257.0,50.0,25.0,43.0,-8.0,49.0,-255.0,-108.0,68.0,40.0,-3.0,55.0,-263.0,109.0,14.0,109.0,0.0,45.0,-257.0,-22.0,31.0,148.0,0.0,31.0,-261.0,146.0,28.0,350.0,10.0,15.0,-259.0,41.0,30.0,683.0,RIGHT,
60,18.0,36.0,-267.0,64.0,47.0,888.0,6.0,12.0,-262.0,379.0,24.0,1213.0,18.0,-12.0,-260.0,217.0,38.0,1543.0,26.0,12.0,-258.0,-118.0,22.0,1913.0,38.0,5.0,-243.0,-62.0,119.0,2028.0,50.0,79.0,-272.0,-414.0,177.0,1867.0,31.0,39.0,-258.0,790.0,358.0,1728.0,67.0,65.0,-263.0,-822.0,469.0,1519.0,89.0,73.0,-259.0,-290.0,280.0,1227.0,87.0,91.0,-254.0,-266.0,104.0,735.0,89.0,96.0,-257.0,-704.0,-44.0,187.0,68.0,96.0,-254.0,-212.0,-80.0,-231.0,72.0,93.0,-250.0,389.0,-106.0,-612.0,86.0,102.0,-256.0,-313.0,-86.0,-1158.0,70.0,90.0,-262.0,544.0,-166.0,-1492.0,63.0,75.0,-260.0,145.0,-127.0,-1848.0,54.0,50.0,-257.0,432.0,-136.0,-1984.0,43.0,25.0,-252.0,-463.0,42.0,-2046.0,42.0,40.0,-255.0,-254.0,160.0,-2001.0,36.0,44.0,-273.0,-66.0,106.0,-1813.0,13.0,3.0,-257.0,-78.0,103.0,-1627.0,15.0,7.0,-270.0,867.0,-95.0,-1123.0,13.0,-13.0,-254.0,-534.0,-44.0,-632.0,9.0,18.0,-258.0,195.0,-36.0,-271.0,3.0,39.0,-263.0,-338.0,69.0,-83.0,8.0,36.0,-257.0,49.0,30.0,78.0,3.0,43.0,-259.0,-170.0,35.0,158.0,0.0,41.0,-260.0,19.0,23.0,234.0,2.0,29.0,-260.0,71.0,-5.0,362.0,15.0,18.0,-260.0,130.0,-51.0,701.0,RIGHT,
90,24.0,14.0,-262.0,-228.0,-92.0,1001.0,13.0,11.0,-259.0,444.0,-211.0,1451.0,22.0,-2.0,-259.0,743.0,-174.0,1798.0,34.0,17.0,-265.0,-350.0,-105.0,2007.0,12.0,9.0,-257.0,816.0,27.0,2125.0,49.0,43.0,-261.0,-1060.0,131.0,2024.0,25.0,64.0,-253.0,-209.0,148.0,1783.0,58.0,86.0,-257.0,155.0,53.0,1521.0,41.0,67.0,-254.0,-680.0,138.0,1236.0,51.0,107.0,-260.0,-593.0,42.0,872.0,29.0,73.0,-246.0,-92.0,58.0,712.0,45.0,116.0,-255.0,62.0,78.0,258.0,38.0,90.0,-257.0,101.0,87.0,-131.0,27.0,110.0,-264.0,222.0,102.0,-468.0,70.0,125.0,-274.0,461.0,82.0,-1130.0,39.0,91.0,-261.0,400.0,-68.0,-1606.0,54.0,68.0,-252.0,324.0,-127.0,-1937.0,52.0,36.0,-251.0,141.0,-173.0,-2072.0,46.0,29.0,-256.0,-186.0,-253.0,-2143.0,18.0,0.0,-257.0,-127.0,-230.0,-1965.0,19.0,2.0,-251.0,-45.0,-111.0,-1705.0,17.0,3.0,-252.0,-545.0,-57.0,-1381.0,21.0,0.0,-265.0,-266.0,-4.0,-1075.0,13.0,9.0,-255.0,-191.0,17.0,-697.0,14.0,18.0,-269.0,-209.0,72.0,-352.0,11.0,8.0,-258.0,-139.0,77.0,-76.0,7.0,11.0,-264.0,-2.0,103.0,252.0,10.0,17.0,-256.0,-27.0,94.0,531.0,14.0,28.0,-261.0,-141.0,103.0,703.0,14.0,43.0,-269.0,-184.0,-58.0,917.0,RIGHT,
120,22.0,0.0,-273.0,56.0,-186.0,1356.0,31.0,31.0,-270.0,-232.0,-153.0,1549.0,12.0,29.0,-257.0,-62.0,-161.0,1928.0,22.0,63.0,-256.0,-159.0,-169.0,1652.0,68.0,32.0,-243.0,-834.0,-228.0,1384.0,52.0,150.0,-260.0,501.0,-536.0,1684.0,-13.0,73.0,-237.0,-878.0,-213.0,1012.0,0.0,108.0,-230.0,-87.0,-84.0,1405.0,21.0,128.0,-267.0,0.0,60.0,838.0,-1.0,100.0,-252.0,-88.0,79.0,339.0,-6.0,102.0,-259.0,-230.0,-12.0,168.0,0.0,114.0,-262.0,41.0,-103.0,-37.0,8.0,117.0,-255.0,-101.0,-69.0,-320.0,2.0,108.0,-249.0,-178.0,-64.0,-599.0,0.0,143.0,-251.0,10.0,-29.0,-1157.0,-3.0,118.0,-246.0,-216.0,143.0,-1440.0,-20.0,109.0,-231.0,-482.0,213.0,-1868.0,29.0,90.0,-248.0,46.0,222.0,-1555.0,0.0,67.0,-247.0,-754.0,204.0,-1706.0,-28.0,56.0,-258.0,-271.0,303.0,-1927.0,2.0,55.0,-255.0,-108.0,317.0,-1300.0,-2.0,42.0,-255.0,-110.0,304.0,-762.0,3.0,56.0,-269.0,89.0,164.0,-454.0,-20.0,55.0,-258.0,-499.0,90.0,-339.0,-13.0,68.0,-258.0,6.0,18.0,-34.0,-17.0,70.0,-253.0,-89.0,44.0,36.0,-18.0,66.0,-247.0,2.0,59.0,161.0,-18.0,77.0,-253.0,56.0,42.0,308.0,-13.0,63.0,-252.0,56.0,20.0,509.0,0.0,61.0,-264.0,320.0,-19.0,866.0,RIGHT,
150,11.0,40.0,-253.0,86.0,41.0,911.0,37.0,67.0,-270.0,589.0,-60.0,1328.0,20.0,30.0,-259.0,-371.0,-113.0,1748.0,54.0,133.0,-270.0,253.0,-449.0,1808.0,-2.0,58.0,-261.0,-232.0,-350.0,1657.0,32.0,93.0,-242.0,523.0,-407.0,1828.0,18.0,96.0,-251.0,-70.0,-236.0,1508.0,12.0,100.0,-258.0,-87.0,-111.0,1176.0,13.0,120.0,-253.0,-236.0,-132.0,841.0,2.0,112.0,-253.0,-214.0,-105.0,628.0,-1.0,126.0,-247.0,70.0,-46.0,311.0,-6.0,110.0,-251.0,-193.0,-28.0,107.0,3.0,126.0,-253.0,-7.0,-41.0,-83.0,-1.0,142.0,-250.0,-148.0,-30.0,-475.0,-11.0,130.0,-250.0,-182.0,38.0,-930.0,-3.0,156.0,-250.0,-260.0,112.0,-1475.0,-8.0,130.0,-259.0,-178.0,48.0,-1873.0,-4.0,138.0,-237.0,-223.0,195.0,-1965.0,-8.0,79.0,-237.0,-389.0,422.0,-2118.0,-8.0,81.0,-235.0,-547.0,538.0,-1905.0,35.0,60.0,-241.0,-124.0,444.0,-1545.0,7.0,96.0,-270.0,-363.0,452.0,-1234.0,-8.0,41.0,-264.0,-570.0,372.0,-826.0,4.0,59.0,-263.0,162.0,220.0,-446.0,3.0,72.0,-260.0,17.0,180.0,-213.0,-16.0,73.0,-253.0,-51.0,78.0,-44.0,-20.0,72.0,-248.0,-80.0,37.0,59.0,-13.0,80.0,-254.0,50.0,-26.0,108.0,-21.0,61.0,-253.0,54.0,-43.0,179.0,-1.0,73.0,-256.0,200.0,-133.0,623.0,RIGHT,
180,-2.0,28.0,-259.0,358.0,-153.0,1063.0,25.0,54.0,-255.0,561.0,-166.0,1431.0,21.0,42.0,-271.0,81.0,-64.0,1385.0,24.0,39.0,-255.0,-278.0,-108.0,1741.0,65.0,84.0,-244.0,215.0,-279.0,1975.0,10.0,99.0,-245.0,74.0,-148.0,2040.0,28.0,118.0,-250.0,198.0,-35.0,1858.0,34.0,106.0,-254.0,-17.0,-53.0,1644.0,59.0,121.0,-254.0,-185.0,-174.0,1223.0,46.0,106.0,-251.0,-438.0,-175.0,787.0,24.0,123.0,-253.0,-588.0,-274.0,602.0,7.0,147.0,-250.0,-46.0,-186.0,436.0,-6.0,147.0,-247.0,260.0,-53.0,113.0,-2.0,140.0,-244.0,39.0,44.0,-435.0,3.0,137.0,-256.0,-14.0,46.0,-839.0,11.0,143.0,-254.0,-207.0,-33.0,-1232.0,22.0,128.0,-250.0,106.0,31.0,-1523.0,-4.0,106.0,-231.0,-62.0,369.0,-2277.0,0.0,105.0,-241.0,-16.0,342.0,-2060.0,52.0,128.0,-229.0,455.0,311.0,-1944.0,8.0,21.0,-234.0,-430.0,256.0,-1664.0,9.0,62.0,-266.0,170.0,238.0,-1476.0,-2.0,56.0,-286.0,-103.0,196.0,-1113.0,20.0,64.0,-272.0,190.0,41.0,-832.0,12.0,33.0,-263.0,267.0,-14.0,-727.0,-3.0,1.0,-251.0,-24.0,18.0,-450.0,2.0,26.0,-268.0,-710.0,145.0,-88.0,4.0,39.0,-255.0,-19.0,38.0,73.0,0.0,41.0,-256.0,-84.0,45.0,309.0,14.0,40.0,-257.0,-13.0,7.0,731.0,RIGHT,
210,19.0,11.0,-258.0,-116.0,91.0,1080.0,41.0,39.0,-261.0,245.0,-18.0,1529.0,34.0,32.0,-264.0,50.0,48.0,1778.0,37.0,37.0,-237.0,-724.0,-40.0,2306.0,104.0,146.0,-265.0,788.0,-272.0,2515.0,23.0,113.0,-275.0,-171.0,-164.0,1984.0,9.0,82.0,-274.0,532.0,-46.0,1437.0,52.0,149.0,-265.0,508.0,-246.0,1386.0,15.0,95.0,-257.0,-557.0,-152.0,750.0,-8.0,63.0,-248.0,-72.0,-111.0,796.0,31.0,101.0,-250.0,-204.0,75.0,440.0,20.0,110.0,-256.0,-582.0,-58.0,375.0,13.0,128.0,-259.0,41.0,70.0,12.0,20.0,109.0,-256.0,128.0,40.0,-592.0,16.0,94.0,-258.0,-123.0,-3.0,-1096.0,4.0,108.0,-256.0,-502.0,147.0,-1728.0,32.0,109.0,-262.0,78.0,141.0,-1813.0,46.0,124.0,-268.0,803.0,12.0,-1805.0,24.0,86.0,-227.0,-709.0,344.0,-2541.0,31.0,24.0,-229.0,-591.0,297.0,-2326.0,27.0,83.0,-271.0,-405.0,433.0,-1793.0,26.0,34.0,-248.0,615.0,187.0,-1362.0,16.0,29.0,-263.0,273.0,265.0,-760.0,15.0,15.0,-269.0,-2.0,205.0,-604.0,26.0,47.0,-273.0,-732.0,138.0,-181.0,24.0,46.0,-259.0,337.0,-156.0,-133.0,20.0,63.0,-259.0,16.0,-37.0,80.0,6.0,58.0,-254.0,-48.0,6.0,213.0,-3.0,35.0,-257.0,-163.0,11.0,381.0,25.0,38.0,-258.0,-120.0,-68.0,608.0,RIGHT,
240,9.0,45.0,-261.0,-150.0,-100.0,931.0,47.0,54.0,-259.0,-150.0,-177.0,1211.0,32.0,60.0,-263.0,38.0,-260.0,1377.0,38.0,74.0,-268.0,-143.0,-327.0,1558.0,49.0,70.0,-254.0,267.0,-491.0,2449.0,74.0,106.0,-252.0,440.0,-520.0,1756.0,25.0,69.0,-222.0,480.0,-190.0,1625.0,61.0,60.0,-223.0,-333.0,230.0,1153.0,-11.0,91.0,-242.0,-450.0,262.0,942.0,25.0,117.0,-280.0,512.0,42.0,1188.0,46.0,75.0,-260.0,175.0,-12.0,763.0,-6.0,76.0,-255.0,-555.0,-55.0,98.0,10.0,113.0,-260.0,-325.0,-80.0,169.0,27.0,121.0,-262.0,5.0,33.0,-228.0,23.0,94.0,-253.0,170.0,-47.0,-487.0,34.0,115.0,-276.0,-157.0,-59.0,-783.0,13.0,121.0,-257.0,287.0,-134.0,-1298.0,10.0,107.0,-260.0,84.0,20.0,-1494.0,62.0,90.0,-276.0,482.0,-134.0,-1660.0,27.0,26.0,-247.0,990.0,-282.0,-2181.0,0.0,30.0,-241.0,-232.0,-187.0,-1880.0,13.0,10.0,-246.0,-217.0,-154.0,-1775.0,4.0,14.0,-255.0,-301.0,-123.0,-1389.0,8.0,-18.0,-244.0,-273.0,-47.0,-1123.0,9.0,-28.0,-253.0,-581.0,88.0,-898.0,26.0,12.0,-282.0,-435.0,50.0,-546.0,17.0,15.0,-275.0,-235.0,-23.0,-298.0,11.0,8.0,-271.0,-120.0,49.0,-89.0,0.0,16.0,-267.0,18.0,80.0,105.0,2.0,18.0,-271.0,19.0,87.0,269.0,RIGHT,
270,7.0,6.0,-268.0,139.0,66.0,500.0,1.0,1.0,-280.0,164.0,105.0,790.0,44.0,-21.0,-267.0,294.0,139.0,1168.0,34.0,-18.0,-271.0,56.0,161.0,1393.0,61.0,11.0,-253.0,-293.0,185.0,1734.0,30.0,54.0,-272.0,-206.0,53.0,2458.0,67.0,57.0,-259.0,-121.0,41.0,2657.0,69.0,65.0,-246.0,-514.0,102.0,2050.0,65.0,104.0,-250.0,-622.0,-80.0,1849.0,20.0,109.0,-242.0,-485.0,39.0,1382.0,27.0,126.0,-252.0,-1.0,58.0,921.0,1.0,120.0,-266.0,175.0,151.0,453.0,23.0,83.0,-230.0,-465.0,157.0,249.0,41.0,108.0,-254.0,-654.0,117.0,-180.0,37.0,136.0,-262.0,-166.0,31.0,-384.0,34.0,124.0,-252.0,168.0,30.0,-762.0,29.0,124.0,-253.0,183.0,54.0,-1103.0,30.0,123.0,-252.0,254.0,-30.0,-1289.0,10.0,90.0,-245.0,523.0,-114.0,-1707.0,15.0,65.0,-258.0,-27.0,58.0,-2100.0,20.0,94.0,-275.0,-186.0,39.0,-1869.0,46.0,64.0,-251.0,-648.0,32.0,-1755.0,44.0,34.0,-242.0,-229.0,152.0,-1910.0,14.0,86.0,-263.0,133.0,110.0,-1309.0,15.0,46.0,-242.0,445.0,-27.0,-1062.0,18.0,-18.0,-250.0,233.0,-45.0,-965.0,1.0,3.0,-261.0,-422.0,138.0,-738.0,-1.0,22.0,-275.0,-527.0,178.0,-495.0,11.0,45.0,-281.0,-318.0,108.0,-287.0,9.0,43.0,-273.0,-77.0,9.0,-114.0,RIGHT,
