TimeStamp,AccX_0,AccY_0,AccZ_0,GyrX_0,GyrY_0,GyrZ_0,AccX_1,AccY_1,AccZ_1,GyrX_1,GyrY_1,GyrZ_1,AccX_2,AccY_2,AccZ_2,GyrX_2,GyrY_2,GyrZ_2,AccX_3,AccY_3,AccZ_3,GyrX_3,GyrY_3,GyrZ_3,AccX_4,AccY_4,AccZ_4,GyrX_4,GyrY_4,GyrZ_4,AccX_5,AccY_5,AccZ_5,GyrX_5,GyrY_5,GyrZ_5,AccX_6,AccY_6,AccZ_6,GyrX_6,GyrY_6,GyrZ_6,AccX_7,AccY_7,AccZ_7,GyrX_7,GyrY_7,GyrZ_7,AccX_8,AccY_8,AccZ_8,GyrX_8,GyrY_8,GyrZ_8,AccX_9,AccY_9,AccZ_9,GyrX_9,GyrY_9,GyrZ_9,AccX_10,AccY_10,AccZ_10,GyrX_10,GyrY_10,GyrZ_10,AccX_11,AccY_11,AccZ_11,GyrX_11,GyrY_11,GyrZ_11,AccX_12,AccY_12,AccZ_12,GyrX_12,GyrY_12,GyrZ_12,AccX_13,AccY_13,AccZ_13,GyrX_13,GyrY_13,GyrZ_13,AccX_14,AccY_14,AccZ_14,GyrX_14,GyrY_14,GyrZ_14,AccX_15,AccY_15,AccZ_15,GyrX_15,GyrY_15,GyrZ_15,AccX_16,AccY_16,AccZ_16,GyrX_16,GyrY_16,GyrZ_16,AccX_17,AccY_17,AccZ_17,GyrX_17,GyrY_17,GyrZ_17,AccX_18,AccY_18,AccZ_18,GyrX_18,GyrY_18,GyrZ_18,AccX_19,AccY_19,AccZ_19,GyrX_19,GyrY_19,GyrZ_19,AccX_20,AccY_20,AccZ_20,GyrX_20,GyrY_20,GyrZ_20,AccX_21,AccY_21,AccZ_21,GyrX_21,GyrY_21,GyrZ_21,AccX_22,AccY_22,AccZ_22,GyrX_22,GyrY_22,GyrZ_22,AccX_23,AccY_23,AccZ_23,GyrX_23,GyrY_23,GyrZ_23,AccX_24,AccY_24,AccZ_24,GyrX_24,GyrY_24,GyrZ_24,AccX_25,AccY_25,AccZ_25,GyrX_25,GyrY_25,GyrZ_25,AccX_26,AccY_26,AccZ_26,GyrX_26,GyrY_26,GyrZ_26,AccX_27,AccY_27,AccZ_27,GyrX_27,GyrY_27,GyrZ_27,AccX_28,AccY_28,AccZ_28,GyrX_28,GyrY_28,GyrZ_28,AccX_29,AccY_29,AccZ_29,GyrX_29,GyrY_29,GyrZ_29,Label
0,36.0,18.0,-263.0,-20.0,25.0,2.0,35.0,19.0,-259.0,-37.0,34.0,6.0,35.0,20.0,-263.0,-28.0,38.0,10.0,36.0,14.0,-260.0,24.0,33.0,8.0,40.0,17.0,-259.0,-9.0,18.0,23.0,36.0,17.0,-260.0,-82.0,27.0,35.0,38.0,16.0,-260.0,-47.0,29.0,35.0,36.0,18.0,-263.0,-44.0,38.0,28.0,36.0,19.0,-263.0,0.0,20.0,12.0,41.0,18.0,-261.0,-26.0,22.0,-1.0,39.0,15.0,-259.0,-45.0,10.0,3.0,39.0,22.0,-262.0,-80.0,6.0,23.0,37.0,17.0,-264.0,-53.0,4.0,7.0,40.0,20.0,-261.0,-3.0,9.0,3.0,36.0,15.0,-263.0,1.0,15.0,2.0,36.0,20.0,-259.0,27.0,6.0,18.0,42.0,20.0,-262.0,-55.0,18.0,49.0,37.0,20.0,-266.0,56.0,27.0,52.0,40.0,14.0,-256.0,33.0,26.0,35.0,41.0,14.0,-259.0,57.0,-2.0,44.0,39.0,13.0,-259.0,-112.0,-10.0,26.0,39.0,12.0,-262.0,-42.0,-41.0,15.0,42.0,16.0,-262.0,-99.0,-43.0,-3.0,34.0,12.0,-258.0,33.0,-9.0,-1.0,29.0,10.0,-263.0,-215.0,-17.0,49.0,30.0,27.0,-266.0,43.0,-15.0,17.0,40.0,9.0,-256.0,-174.0,-12.0,-23.0,37.0,25.0,-267.0,-51.0,-20.0,-47.0,29.0,19.0,-261.0,-21.0,-40.0,-43.0,33.0,17.0,-258.0,-70.0,-6.0,3.0,TILT_R,
30,26.0,21.0,-264.0,-51.0,14.0,28.0,28.0,23.0,-264.0,-7.0,11.0,15.0,33.0,16.0,-257.0,-55.0,20.0,9.0,30.0,15.0,-260.0,-17.0,12.0,14.0,33.0,28.0,-267.0,3.0,-1.0,-14.0,26.0,13.0,-257.0,-91.0,-6.0,-21.0,37.0,26.0,-260.0,-130.0,-6.0,28.0,30.0,24.0,-266.0,-148.0,-4.0,40.0,28.0,18.0,-260.0,-165.0,1.0,54.0,30.0,32.0,-269.0,-254.0,-29.0,73.0,35.0,32.0,-258.0,-703.0,-106.0,70.0,26.0,45.0,-273.0,-2057.0,-34.0,3.0,-130.0,64.0,-258.0,-2628.0,110.0,-92.0,47.0,187.0,-256.0,-1412.0,-197.0,23.0,45.0,184.0,-213.0,-1753.0,-118.0,0.0,4.0,193.0,-166.0,-1874.0,179.0,-198.0,-6.0,227.0,-150.0,-1465.0,375.0,-165.0,9.0,244.0,-135.0,-1676.0,439.0,170.0,31.0,254.0,-102.0,-1721.0,480.0,-21.0,23.0,257.0,-73.0,-1523.0,523.0,14.0,30.0,282.0,-55.0,-1034.0,313.0,153.0,51.0,276.0,-27.0,-655.0,238.0,85.0,41.0,282.0,-24.0,-470.0,167.0,94.0,38.0,280.0,-13.0,-210.0,58.0,75.0,41.0,281.0,-15.0,-47.0,-29.0,112.0,50.0,287.0,-13.0,199.0,-87.0,78.0,40.0,283.0,-20.0,295.0,-70.0,0.0,38.0,280.0,-35.0,650.0,-250.0,63.0,37.0,296.0,-36.0,973.0,-260.0,-153.0,39.0,263.0,-55.0,1124.0,-278.0,22.0,TILT_R,
60,29.0,278.0,-102.0,1832.0,-393.0,-131.0,42.0,242.0,-121.0,2161.0,-595.0,-11.0,25.0,230.0,-167.0,2929.0,-671.0,148.0,9.0,155.0,-202.0,3111.0,-470.0,-351.0,-6.0,100.0,-232.0,1793.0,-170.0,-29.0,-5.0,91.0,-239.0,1766.0,193.0,-679.0,15.0,64.0,-266.0,755.0,115.0,0.0,6.0,37.0,-258.0,1012.0,23.0,175.0,5.0,42.0,-259.0,30.0,120.0,-134.0,-8.0,12.0,-264.0,-189.0,119.0,-9.0,3.0,25.0,-264.0,-214.0,27.0,-84.0,11.0,18.0,-265.0,33.0,26.0,-15.0,9.0,22.0,-264.0,-97.0,38.0,-6.0,0.0,30.0,-258.0,-229.0,9.0,-38.0,-1.0,29.0,-258.0,-424.0,-21.0,45.0,5.0,52.0,-262.0,-921.0,8.0,12.0,13.0,71.0,-256.0,-1205.0,-13.0,61.0,5.0,74.0,-257.0,-1239.0,37.0,102.0,1.0,123.0,-231.0,-2227.0,198.0,151.0,15.0,151.0,-202.0,-2220.0,234.0,47.0,42.0,208.0,-208.0,-1742.0,146.0,150.0,40.0,230.0,-173.0,-2227.0,340.0,-161.0,6.0,264.0,-156.0,-1750.0,322.0,24.0,27.0,275.0,-112.0,-1463.0,367.0,22.0,25.0,280.0,-74.0,-1532.0,423.0,151.0,39.0,272.0,-52.0,-1147.0,382.0,144.0,46.0,290.0,-18.0,-512.0,215.0,130.0,40.0,273.0,-20.0,-63.0,52.0,63.0,43.0,284.0,-22.0,122.0,-40.0,82.0,37.0,281.0,-20.0,394.0,-131.0,45.0,TILT_R,
90,33.0,278.0,-34.0,875.0,-329.0,60.0,40.0,283.0,-72.0,1368.0,-443.0,-36.0,27.0,259.0,-86.0,1745.0,-580.0,-127.0,23.0,244.0,-127.0,1992.0,-553.0,-5.0,21.0,233.0,-150.0,2110.0,-558.0,11.0,22.0,211.0,-190.0,2327.0,-361.0,-113.0,27.0,142.0,-196.0,2893.0,-402.0,261.0,9.0,110.0,-250.0,2573.0,-167.0,-324.0,1.0,63.0,-256.0,1518.0,-165.0,126.0,-5.0,40.0,-252.0,740.0,-34.0,-182.0,-6.0,15.0,-265.0,356.0,93.0,-181.0,-12.0,18.0,-264.0,165.0,72.0,-18.0,3.0,0.0,-269.0,108.0,39.0,31.0,-5.0,7.0,-261.0,-181.0,51.0,-17.0,0.0,13.0,-262.0,-162.0,4.0,-20.0,0.0,14.0,-258.0,-103.0,10.0,18.0,1.0,14.0,-259.0,-275.0,48.0,30.0,3.0,22.0,-257.0,-817.0,115.0,58.0,-6.0,42.0,-261.0,-1521.0,195.0,-72.0,-2.0,74.0,-253.0,-1904.0,258.0,-63.0,7.0,113.0,-247.0,-1802.0,287.0,-30.0,13.0,148.0,-218.0,-2141.0,379.0,-53.0,9.0,181.0,-200.0,-2029.0,398.0,-54.0,31.0,221.0,-178.0,-1746.0,386.0,-33.0,25.0,233.0,-147.0,-1798.0,444.0,-87.0,35.0,261.0,-111.0,-1970.0,498.0,107.0,33.0,270.0,-71.0,-1804.0,629.0,77.0,53.0,295.0,-40.0,-923.0,363.0,199.0,53.0,281.0,-26.0,-515.0,208.0,134.0,51.0,287.0,-19.0,-147.0,90.0,-2.0,TILT_R,
120,49.0,272.0,-21.0,-9.0,20.0,-6.0,42.0,288.0,-29.0,446.0,-163.0,-32.0,51.0,282.0,-29.0,546.0,-245.0,-38.0,46.0,280.0,-60.0,1195.0,-475.0,-76.0,42.0,261.0,-70.0,1203.0,-441.0,-216.0,38.0,262.0,-95.0,1615.0,-602.0,-67.0,30.0,245.0,-151.0,3000.0,-987.0,126.0,0.0,215.0,-166.0,2606.0,-770.0,153.0,25.0,159.0,-203.0,2043.0,-477.0,87.0,-4.0,171.0,-222.0,1688.0,-262.0,-27.0,-6.0,108.0,-241.0,1091.0,-119.0,-165.0,4.0,93.0,-246.0,2306.0,-96.0,10.0,-2.0,43.0,-250.0,698.0,115.0,-414.0,2.0,19.0,-262.0,381.0,139.0,-265.0,2.0,22.0,-265.0,204.0,66.0,-277.0,-5.0,12.0,-265.0,157.0,34.0,32.0,-7.0,10.0,-267.0,117.0,75.0,-45.0,1.0,10.0,-267.0,-12.0,-18.0,47.0,0.0,9.0,-261.0,-42.0,10.0,0.0,-1.0,12.0,-262.0,-217.0,17.0,70.0,0.0,19.0,-255.0,-526.0,24.0,169.0,3.0,29.0,-268.0,-1237.0,90.0,121.0,5.0,59.0,-257.0,-2005.0,202.0,42.0,2.0,115.0,-236.0,-2497.0,317.0,-56.0,5.0,153.0,-214.0,-2581.0,430.0,-88.0,20.0,208.0,-173.0,-2600.0,462.0,-65.0,32.0,242.0,-153.0,-2016.0,457.0,48.0,35.0,254.0,-104.0,-2221.0,610.0,-140.0,6.0,281.0,-78.0,-1546.0,490.0,-37.0,46.0,270.0,-63.0,-1313.0,477.0,-26.0,TILT_R,
150,29.0,286.0,-49.0,-453.0,237.0,-21.0,38.0,273.0,-38.0,-151.0,103.0,-38.0,35.0,276.0,-38.0,21.0,-2.0,1.0,36.0,283.0,-45.0,357.0,-173.0,36.0,35.0,284.0,-47.0,784.0,-308.0,-9.0,34.0,280.0,-81.0,1535.0,-604.0,57.0,36.0,265.0,-101.0,2540.0,-918.0,134.0,7.0,231.0,-138.0,2512.0,-760.0,76.0,6.0,179.0,-203.0,2973.0,-540.0,-157.0,1.0,177.0,-211.0,3111.0,-480.0,119.0,-4.0,53.0,-251.0,2142.0,-200.0,-182.0,21.0,112.0,-270.0,1491.0,-61.0,129.0,26.0,36.0,-264.0,717.0,97.0,-178.0,-20.0,3.0,-252.0,611.0,78.0,10.0,0.0,-5.0,-260.0,289.0,22.0,-3.0,-19.0,-1.0,-267.0,-97.0,33.0,6.0,-2.0,-3.0,-268.0,-7.0,-22.0,83.0,-4.0,-2.0,-264.0,-32.0,-30.0,93.0,-6.0,-6.0,-260.0,-229.0,-15.0,88.0,-7.0,2.0,-258.0,-350.0,13.0,94.0,3.0,10.0,-263.0,-800.0,7.0,126.0,0.0,31.0,-256.0,-1632.0,96.0,43.0,-9.0,69.0,-234.0,-2752.0,277.0,32.0,6.0,143.0,-241.0,-2243.0,323.0,19.0,6.0,160.0,-205.0,-2363.0,448.0,-80.0,15.0,191.0,-174.0,-2249.0,519.0,-239.0,27.0,226.0,-114.0,-2438.0,689.0,-51.0,18.0,270.0,-132.0,-2141.0,600.0,-15.0,19.0,296.0,-52.0,-2346.0,745.0,86.0,17.0,296.0,-14.0,-1155.0,436.0,69.0,TILT_R,
180,33.0,281.0,-19.0,-508.0,286.0,22.0,40.0,280.0,-7.0,-54.0,64.0,75.0,42.0,283.0,-8.0,0.0,3.0,26.0,48.0,280.0,-5.0,130.0,-38.0,53.0,36.0,287.0,-10.0,383.0,-170.0,9.0,37.0,292.0,-36.0,1155.0,-525.0,-40.0,31.0,292.0,-56.0,1971.0,-699.0,-216.0,36.0,265.0,-84.0,2848.0,-806.0,-1.0,12.0,214.0,-138.0,2183.0,-585.0,20.0,8.0,214.0,-165.0,2630.0,-552.0,230.0,-2.0,129.0,-215.0,3028.0,-466.0,-5.0,-6.0,135.0,-230.0,3230.0,-248.0,-374.0,-16.0,1.0,-240.0,1354.0,139.0,-322.0,5.0,5.0,-274.0,1132.0,164.0,-165.0,-12.0,13.0,-260.0,465.0,101.0,13.0,-3.0,-19.0,-271.0,281.0,85.0,-52.0,-1.0,-11.0,-265.0,-44.0,47.0,-5.0,2.0,-12.0,-268.0,-44.0,-15.0,24.0,0.0,-9.0,-260.0,-110.0,-7.0,4.0,5.0,-4.0,-261.0,-241.0,15.0,-14.0,4.0,0.0,-260.0,-401.0,1.0,-18.0,0.0,5.0,-259.0,-847.0,34.0,27.0,-10.0,49.0,-258.0,-2046.0,150.0,58.0,9.0,73.0,-256.0,-2388.0,145.0,80.0,4.0,142.0,-217.0,-3350.0,370.0,15.0,22.0,201.0,-185.0,-3577.0,676.0,-94.0,19.0,242.0,-146.0,-2754.0,733.0,-273.0,50.0,261.0,-98.0,-2588.0,701.0,-94.0,29.0,288.0,-48.0,-1274.0,335.0,83.0,58.0,294.0,-36.0,-478.0,158.0,74.0,TILT_R,
210,39.0,276.0,-24.0,-185.0,111.0,-4.0,35.0,274.0,-28.0,220.0,-103.0,94.0,35.0,280.0,-27.0,294.0,-121.0,41.0,34.0,278.0,-34.0,255.0,-117.0,44.0,34.0,286.0,-53.0,642.0,-255.0,32.0,38.0,279.0,-62.0,956.0,-391.0,16.0,39.0,277.0,-85.0,1658.0,-631.0,89.0,26.0,252.0,-120.0,2279.0,-754.0,154.0,25.0,234.0,-169.0,3156.0,-907.0,78.0,8.0,166.0,-185.0,3053.0,-702.0,188.0,9.0,168.0,-210.0,2259.0,-281.0,-125.0,21.0,64.0,-247.0,2232.0,-120.0,-85.0,0.0,29.0,-248.0,911.0,29.0,71.0,-15.0,20.0,-262.0,763.0,41.0,-177.0,-3.0,11.0,-258.0,336.0,116.0,-101.0,-9.0,1.0,-261.0,77.0,97.0,-90.0,-2.0,-3.0,-270.0,-89.0,24.0,-27.0,2.0,4.0,-263.0,-42.0,-6.0,20.0,7.0,2.0,-267.0,-84.0,-5.0,25.0,-2.0,3.0,-258.0,-95.0,-12.0,20.0,1.0,1.0,-255.0,-389.0,41.0,4.0,-1.0,10.0,-260.0,-743.0,77.0,20.0,5.0,41.0,-252.0,-1215.0,127.0,30.0,2.0,62.0,-259.0,-1699.0,200.0,-2.0,27.0,113.0,-250.0,-2185.0,210.0,102.0,8.0,143.0,-214.0,-3127.0,447.0,3.0,11.0,208.0,-188.0,-3050.0,711.0,-165.0,36.0,245.0,-130.0,-2492.0,749.0,-267.0,11.0,276.0,-107.0,-1222.0,330.0,145.0,41.0,245.0,-75.0,-1496.0,598.0,53.0,TILT_R,
240,11.0,283.0,-59.0,-1459.0,637.0,119.0,44.0,304.0,-13.0,-574.0,65.0,475.0,74.0,286.0,-51.0,-93.0,200.0,-7.0,27.0,281.0,-42.0,-69.0,71.0,-69.0,67.0,281.0,-34.0,534.0,-221.0,83.0,58.0,275.0,-43.0,512.0,-265.0,32.0,51.0,264.0,-63.0,996.0,-503.0,120.0,68.0,276.0,-93.0,1836.0,-801.0,152.0,75.0,250.0,-118.0,2409.0,-968.0,186.0,25.0,236.0,-172.0,2518.0,-989.0,272.0,40.0,168.0,-192.0,2822.0,-866.0,-107.0,3.0,117.0,-230.0,2664.0,-782.0,-58.0,-17.0,92.0,-262.0,1866.0,-513.0,145.0,-13.0,53.0,-233.0,390.0,115.0,-340.0,-1.0,61.0,-262.0,370.0,28.0,178.0,-4.0,34.0,-260.0,232.0,103.0,-216.0,-3.0,29.0,-254.0,-679.0,119.0,-33.0,-8.0,41.0,-266.0,228.0,-36.0,42.0,6.0,62.0,-263.0,-12.0,12.0,-125.0,25.0,41.0,-247.0,169.0,-10.0,112.0,-9.0,37.0,-250.0,-261.0,57.0,141.0,-6.0,22.0,-246.0,-542.0,81.0,-100.0,-10.0,60.0,-253.0,-1336.0,236.0,-173.0,-7.0,93.0,-245.0,-1652.0,403.0,-50.0,15.0,132.0,-227.0,-1745.0,520.0,-233.0,21.0,158.0,-238.0,-2109.0,499.0,-221.0,23.0,198.0,-186.0,-2554.0,541.0,-249.0,53.0,242.0,-159.0,-1560.0,380.0,-178.0,51.0,253.0,-149.0,-1055.0,153.0,3.0,38.0,275.0,-149.0,-1801.0,372.0,130.0,TILT_R,
270,23.0,260.0,-88.0,-1381.0,479.0,-118.0,31.0,272.0,-79.0,-205.0,64.0,-3.0,41.0,261.0,-69.0,142.0,-97.0,50.0,43.0,257.0,-67.0,-137.0,73.0,93.0,43.0,277.0,-70.0,-144.0,7.0,81.0,45.0,275.0,-70.0,-18.0,-43.0,36.0,44.0,277.0,-80.0,264.0,-166.0,87.0,54.0,279.0,-83.0,505.0,-186.0,94.0,27.0,274.0,-104.0,1055.0,-483.0,199.0,28.0,284.0,-115.0,1648.0,-493.0,147.0,61.0,233.0,-146.0,2819.0,-847.0,149.0,36.0,205.0,-188.0,3090.0,-816.0,154.0,31.0,140.0,-223.0,2373.0,-440.0,-190.0,-17.0,91.0,-230.0,2213.0,-360.0,150.0,1.0,40.0,-267.0,1625.0,-116.0,-252.0,0.0,35.0,-260.0,625.0,14.0,333.0,5.0,30.0,-271.0,877.0,20.0,-223.0,0.0,5.0,-264.0,-54.0,122.0,3.0,1.0,3.0,-265.0,-91.0,34.0,63.0,6.0,13.0,-260.0,-223.0,63.0,-35.0,2.0,13.0,-263.0,19.0,21.0,5.0,1.0,11.0,-260.0,-44.0,39.0,15.0,4.0,9.0,-262.0,-357.0,58.0,-34.0,0.0,22.0,-265.0,-588.0,62.0,3.0,4.0,37.0,-260.0,-898.0,107.0,-20.0,5.0,54.0,-258.0,-935.0,114.0,-127.0,18.0,81.0,-253.0,-1639.0,264.0,42.0,32.0,125.0,-245.0,-2708.0,507.0,-11.0,-1.0,175.0,-198.0,-3075.0,777.0,-34.0,41.0,191.0,-160.0,-2073.0,601.0,-317.0,TILT_R,
