TimeStamp,AccXAxis,AccYAxis,AccZAxis,GyroXAxis,GyroYAxis,GyroZAxis,,AccXAxisAvg5,AccYAxisAvg5,AccZAxisAvg5,GyroXAxisAvg5,GyroYAxisAvg5,GyroZAxisAvg5,,AccXAxisAvg10,AccYAxisAvg10,AccZAxisAvg10,GyroXAxisAvg10,GyroYAxisAvg10,GyroZAxisAvg10,,AccXAxisAvg15,AccYAxisAvg15,AccZAxisAvg15,GyroXAxisAvg15,GyroYAxisAvg15,GyroZAxisAvg15
0,-29,47,-252,-68,-1,3,,-29.4,49,-252.6,-41.8,10,10.2,,-29.8,51,-254.9,-92.8,-17.4,28.8,,-27.6666666667,78.0666666667,-245.0666666667,-738.8,24.1333333333,-59.8666666667
1,-27,49,-251,-43,0,18,,-29.4,49.6,-252.8,-36.6,0.8,13.2,,-29.9,52.6,-258.7,-202.6,-9.6,55.4,,-28.5333333333,88.4666666667,-237.2,-806.4,58.0666666667,-61.4
2,-31,51,-252,-26,25,9,,-30.6,50,-253,-50.2,-19.4,19.6,,-31.4,58.2,-261.6,-389.1,49.9,84.8,,-30.6,99.7333333333,-225.2,-968.7333333333,61.8666666667,-53.0666666667
3,-31,49,-254,-24,6,8,,-30.4,49.8,-253.4,-57.6,-25.2,23.8,,-27.7,66.7,-258.1,-684,33.1,13,,-32.4,113.8,-210.7333333333,-1081.2,58.8666666667,-24.4666666667
4,-29,49,-254,-48,20,13,,-30.4,51,-254.2,-76,-30.8,32.8,,-25.3,78.1,-250.4,-891,97.2,-53.1,,-32.9333333333,128.2666666667,-193.6,-1124.4666666667,48.0666666667,-33.1333333333
5,-29,50,-253,-42,-47,18,,-30.2,53,-257.2,-143.8,-44.8,47.4,,-26.8,92.6,-241.3,-1087.3,31.2,-94.9,,-32.7333333333,143.3333333333,-176.9333333333,-1072.6666666667,29.5333333333,-51.2
6,-33,51,-252,-111,-101,50,,-30.4,55.6,-264.6,-368.6,-20,97.6,,-28.1,107.9,-229.4,-1191.3,86.7,-98.7,,-33.4,157.4,-162.2,-1088.8666666667,-1.8666666667,-60.4
7,-30,50,-254,-63,-4,30,,-32.2,66.4,-270.2,-728,119.2,150,,-30.6,124.6,-211.3,-1428,102.5,-89.4,,-34.3333333333,172.5333333333,-148.5333333333,-1086.6,1.5333333333,-56.5333333333
8,-31,55,-258,-116,-22,53,,-25,83.6,-262.8,-1310.4,91.4,2.2,,-33.4,145.8,-189.4,-1593,100.9,-48.6,,-34.8666666667,188.8,-130.6,-1113.2666666667,-99.0666666667,-49.0666666667
9,-28,59,-269,-387,-50,86,,-20.2,105.2,-246.6,-1706,225.2,-139,,-34.2,166.9,-163.3,-1648.7,87.5,-66.1,,-31.8,202.4666666667,-116.7333333333,-900.6,-65.6666666667,-4.4
10,-30,63,-290,-1166,77,269,,-23.4,132.2,-225.4,-2030.8,107.2,-237.2,,-34,188.5,-136.8,-1537.1,66.7,-100.5,,-33.2,214,-106.1333333333,-680.7333333333,-177.5333333333,79.2666666667
11,-42,105,-280,-1908,595,312,,-25.8,160.2,-194.2,-2014,193.4,-295,,-34.9,208.3,-111,-1449,7.2,-139.4,,-31.6,223.2666666667,-96.3333333333,-369.1333333333,-228.0666666667,135.6666666667
12,6,136,-217,-2975,-143,-709,,-29,182.8,-152.4,-2128,85.8,-328.8,,-35.4,225.6,-87.7,-1265.9,-57.3,-159.8,,-25.4666666667,221.2,-89.6,60.9333333333,-230.2666666667,223.1333333333
