TimeStamp,AccXAxis,AccYAxis,AccZAxis,GyroXAxis,GyroYAxis,GyroZAxis,,AccXAxisAvg5,AccYAxisAvg5,AccZAxisAvg5,GyroXAxisAvg5,GyroYAxisAvg5,GyroZAxisAvg5,,AccXAxisAvg10,AccYAxisAvg10,AccZAxisAvg10,GyroXAxisAvg10,GyroYAxisAvg10,GyroZAxisAvg10,,AccXAxisAvg15,AccYAxisAvg15,AccZAxisAvg15,GyroXAxisAvg15,GyroYAxisAvg15,GyroZAxisAvg15
0,7,23,-277,-671,343,-112,,0,46.6,-254.2,-307.4,96.6,-64.8,,-0.2,46.7,-255.1,33.4,-4.1,-18,,-10.4,6.8666666667,-247.8,502.3333333333,-105.5333333333,144.1333333333
1,1,52,-261,-666,105,-242,,-2,51.6,-250,-157.6,22.8,-33.4,,-3,44.7,-251.7,331.9,-12.3,14,,-15.9333333333,-3.0666666667,-244.6,663.2666666667,-157.3333333333,127.6
2,1,48,-246,-429,179,-127,,-2.4,51.4,-250,-23.4,-3.8,24.4,,-1,32,-244.9,649.3,-95.4,95.2,,-20,-16.6666666667,-240.0666666667,759.0666666667,-200.6666666667,149.8
3,-6,60,-242,19,-113,72,,-2.2,52,-253.4,82.2,-41,56,,-5.7,19.6,-246.1,801.4,-93.6,202.8,,-27,-30.6666666667,-236.3333333333,897.7333333333,-251.8,147.9333333333
4,-3,50,-245,210,-31,85,,-1.4,49.6,-255.2,134,-68.6,68,,-8.2,-0.3,-245.2,950.3,-191.8,194.1,,-32.2666666667,-49.3333333333,-229.6666666667,957.8,-266.6666666667,143.3333333333
5,-3,48,-256,78,-26,45,,-0.4,46.8,-256,374.2,-104.8,28.8,,-15.6,-13,-244.6,907.2,-206.6,248.6,,-39.2,-65.6,-224.6666666667,931.7333333333,-263.9333333333,142.4
6,-1,51,-261,5,-28,47,,-4,37.8,-253.4,821.4,-47.4,61.4,,-22.9,-30.4,-241.9,1073.7,-247.4,208.1,,-44.8666666667,-82.4666666667,-217.0666666667,894.4666666667,-263.0666666667,131.2666666667
7,2,51,-263,99,-7,31,,0.4,12.6,-239.8,1322,-187,166,,-28.8,-50.7,-235.1,1150.3,-299.1,212.5,,-51.3333333333,-98.7333333333,-210.2666666667,838.8,-251.8666666667,130.2
8,-2,48,-251,278,-251,132,,-9.2,-12.8,-238.8,1520.6,-146.2,349.6,,-39.4,-72,-227.8,1305.5,-357.2,193.9,,-57.4666666667,-114.4,-205.9333333333,762.5333333333,-224.1333333333,128.1333333333
9,2,36,-249,1411,-212,-111,,-15,-50.2,-235.2,1766.6,-315,320.2,,-47.7,-98.8,-216.9,1369.7,-365.7,181,,-64.3333333333,-129.7333333333,-203.6,664.7333333333,-151.4,129.6666666667
10,-21,3,-243,2314,261,208,,-30.8,-72.8,-233.2,1440.2,-308.4,468.4,,-58.6,-121.8,-209,1210.5,-343.5,199.2,,-70.3333333333,-141.9333333333,-202.8,382.4666666667,-59.8,170.6666666667
11,21,-75,-193,2508,-726,570,,-41.8,-98.6,-230.4,1326,-447.4,354.8,,-65.3,-142.6,-198.9,931,-370.9,166.2,,-72.4666666667,-147.7333333333,-205.9333333333,71.1333333333,31.1333333333,189.8666666667
