AccX_0,AccY_0,AccZ_0,GyroX_0,GyroY_0,GyroZ_0,AccX_1,AccY_1,AccZ_1,GyroX_1,GyroY_1,GyroZ_1,AccX_2,AccY_2,AccZ_2,GyroX_2,GyroY_2,GyroZ_2,AccX_3,AccY_3,AccZ_3,GyroX_3,GyroY_3,GyroZ_3,AccX_4,AccY_4,AccZ_4,GyroX_4,GyroY_4,GyroZ_4,AccX_5,AccY_5,AccZ_5,GyroX_5,GyroY_5,GyroZ_5,AccX_6,AccY_6,AccZ_6,GyroX_6,GyroY_6,GyroZ_6,AccX_7,AccY_7,AccZ_7,GyroX_7,GyroY_7,GyroZ_7,AccX_8,AccY_8,AccZ_8,GyroX_8,GyroY_8,GyroZ_8,AccX_9,AccY_9,AccZ_9,GyroX_9,GyroY_9,GyroZ_9,AccX_10,AccY_10,AccZ_10,GyroX_10,GyroY_10,GyroZ_10,AccX_11,AccY_11,AccZ_11,GyroX_11,GyroY_11,GyroZ_11,AccX_12,AccY_12,AccZ_12,GyroX_12,GyroY_12,GyroZ_12,AccX_13,AccY_13,AccZ_13,GyroX_13,GyroY_13,GyroZ_13,AccX_14,AccY_14,AccZ_14,GyroX_14,GyroY_14,GyroZ_14,AccX_15,AccY_15,AccZ_15,GyroX_15,GyroY_15,GyroZ_15,AccX_16,AccY_16,AccZ_16,GyroX_16,GyroY_16,GyroZ_16,AccX_17,AccY_17,AccZ_17,GyroX_17,GyroY_17,GyroZ_17,AccX_18,AccY_18,AccZ_18,GyroX_18,GyroY_18,GyroZ_18,AccX_19,AccY_19,AccZ_19,GyroX_19,GyroY_19,GyroZ_19,AccX_20,AccY_20,AccZ_20,GyroX_20,GyroY_20,GyroZ_20,AccX_21,AccY_21,AccZ_21,GyroX_21,GyroY_21,GyroZ_21,AccX_22,AccY_22,AccZ_22,GyroX_22,GyroY_22,GyroZ_22,AccX_23,AccY_23,AccZ_23,GyroX_23,GyroY_23,GyroZ_23,AccX_24,AccY_24,AccZ_24,GyroX_24,GyroY_24,GyroZ_24,AccX_25,AccY_25,AccZ_25,GyroX_25,GyroY_25,GyroZ_25,AccX_26,AccY_26,AccZ_26,GyroX_26,GyroY_26,GyroZ_26,AccX_27,AccY_27,AccZ_27,GyroX_27,GyroY_27,GyroZ_27,AccX_28,AccY_28,AccZ_28,GyroX_28,GyroY_28,GyroZ_28,AccX_29,AccY_29,AccZ_29,GyroX_29,GyroY_29,GyroZ_29,Label 
-199.4,-8.2,-1904.8,1241.8,-6723.0,-133.2,-290.0,-46.4,-1715.8,2047.0,-9229.0,258.8,-458.2,-27.0,-1534.0,1740.6,-10448.2,104.6,-598.0,-65.8,-1350.0,2060.8,-10916.0,37.2,-758.6,-103.8,-1183.2,2080.2,-11002.8,-104.0,-938.6,-141.8,-977.4,1663.0,-10461.6,775.0,-1103.4,-148.6,-769.4,1331.4,-9391.8,519.4,-1234.0,-158.2,-625.4,1570.8,-7738.8,351.4,-1238.6,-152.6,-526.6,2124.0,-6200.8,278.8,-1369.6,-176.4,-444.4,933.8,-4837.0,336.0,-1436.6,-211.6,-285.6,83.6,-3644.4,356.4,-1470.2,-244.4,-211.4,-149.0,-2009.8,520.2,-1555.0,-230.4,-163.0,-25.8,-266.6,336.0,-1533.0,-177.2,-164.0,-792.0,1512.0,341.4,-1476.6,-180.6,-171.8,-667.2,3421.2,457.6,-1450.6,-171.0,-214.6,-1831.6,6021.2,569.4,-1338.6,-121.8,-306.8,-2391.0,8826.8,975.6,-1153.8,-120.2,-571.8,-2971.8,11043.0,900.8,-964.6,-92.4,-846.8,-2038.6,12727.2,920.0,-775.6,-8.6,-1016.0,-1715.8,13295.6,32.0,-685.0,45.2,-1307.4,-2244.0,12975.6,71.2,-378.6,8.2,-1474.8,-3189.2,12064.6,-580.4,-144.0,164.8,-1683.4,-2219.0,10276.0,70.8,-44.4,101.2,-1861.8,-406.8,8367.2,-128.8,68.8,95.6,-1911.0,589.2,5642.4,-161.8,72.8,40.4,-1872.8,443.6,3383.4,-341.4,170.0,51.2,-1775.2,74.8,1801.4,-488.6,177.8,66.8,-1727.4,-866.8,642.8,-243.2,144.4,72.4,-1702.0,-695.2,4.4,-27.0,166.0,85.0,-1666.6,-195.4,-270.4,173.4,UP
157.8,83.4,-1664.2,-232.0,-586.2,92.6,145.2,93.2,-1722.2,-307.0,-1230.8,84.4,150.4,102.4,-1830.6,-252.2,-2629.8,23.2,88.8,119.6,-1844.2,-121.4,-4726.0,54.8,-5.6,107.6,-1783.8,-338.2,-6606.6,-440.4,-188.2,122.0,-1721.6,-345.4,-8235.4,-770.2,-279.4,141.2,-1630.4,548.4,-9439.0,-579.8,-414.0,98.2,-1478.4,1480.4,-10528.8,-1042.2,-636.8,48.2,-1319.2,2342.2,-10978.6,-929.8,-779.8,0.6,-1137.0,3062.0,-10822.0,-845.2,-1060.2,-95.6,-945.4,3255.4,-10076.6,-512.0,-1172.0,-184.6,-726.0,2653.8,-8548.6,-594.2,-1292.0,-217.8,-539.8,2634.8,-7257.0,-17.6,-1380.4,-206.8,-447.2,-162.6,-5278.6,287.8,-1410.0,-221.2,-410.2,-1476.0,-3741.6,485.8,-1442.0,-217.0,-335.4,-1096.2,-2560.2,770.2,-1533.2,-240.0,-270.6,-863.0,-896.8,306.0,-1551.8,-209.8,-255.4,-1019.6,1034.8,233.4,-1516.4,-166.4,-284.2,-864.0,2841.4,604.2,-1432.8,-141.2,-320.8,-996.8,5060.6,832.2,-1330.8,-126.4,-430.2,-1013.4,7660.8,736.2,-1244.0,-109.6,-600.6,-1078.2,10206.2,699.6,-995.2,-55.4,-773.8,-1113.4,11998.4,768.2,-777.4,-18.2,-1072.6,-1933.4,12524.8,625.2,-733.4,-18.8,-1321.4,-2222.8,12869.2,346.4,-206.2,92.2,-1482.0,-2788.6,11443.6,729.8,-303.6,107.2,-1709.8,-1328.4,10144.6,-895.6,-247.2,93.0,-1793.6,760.6,8180.0,-254.8,16.0,92.0,-1844.6,1129.6,6033.0,-639.6,-37.0,31.6,-1842.4,437.6,3499.8,8.4,UP
141.2,7.4,-1766.4,-752.0,1983.6,-950.2,80.6,29.4,-1735.8,-1286.8,683.6,-259.0,112.2,54.8,-1698.0,-324.2,120.0,101.8,74.8,47.4,-1671.6,-217.8,-346.6,281.2,105.0,58.8,-1675.4,-273.8,-797.6,311.4,82.8,61.4,-1721.4,-234.8,-1512.0,236.8,62.8,66.8,-1814.6,51.8,-2940.6,371.8,43.0,54.2,-1860.2,476.6,-5278.2,160.6,-64.0,49.8,-1804.8,1590.8,-7964.8,-108.6,-161.0,19.2,-1720.0,2221.4,-9917.6,58.8,-377.6,-14.4,-1539.4,2743.4,-11419.0,-47.6,-579.2,-88.2,-1336.0,2344.2,-12303.8,77.0,-813.2,-99.6,-1132.6,2753.6,-12183.8,188.8,-964.6,-174.8,-905.6,2869.0,-11400.2,202.2,-1125.4,-244.0,-639.8,1839.8,-10060.2,-464.8,-1344.0,-241.2,-461.8,-110.8,-7647.6,-137.0,-1406.4,-226.6,-379.8,-1072.2,-5189.0,178.8,-1412.8,-254.6,-264.6,-1130.8,-2914.8,-121.0,-1522.4,-273.6,-216.0,-676.0,-732.0,-138.6,-1573.6,-242.0,-251.0,-1031.4,1577.4,548.8,-1483.8,-193.2,-277.6,-1898.0,3965.2,775.8,-1403.6,-173.4,-372.6,-2710.4,6217.0,846.4,-1354.4,-149.2,-446.8,-3059.2,8547.4,1071.2,-1206.8,-50.6,-719.2,-3147.0,10630.0,1531.4,-969.0,-30.0,-930.6,-2856.8,11749.0,1586.4,-694.4,62.6,-1112.2,-2846.4,11809.6,1436.8,-645.6,75.0,-1366.8,-1658.2,12516.2,902.2,-263.8,178.6,-1487.4,-2631.4,11120.0,603.8,-258.0,212.6,-1651.6,-407.2,9656.4,94.4,-41.4,198.2,-1791.4,-29.6,7699.0,1140.2,UP
61.8,163.6,-1801.4,1549.4,5233.4,690.4,102.0,94.2,-1813.0,962.0,3469.4,162.6,101.0,96.0,-1779.2,-360.6,1768.0,250.2,181.0,112.2,-1722.4,-676.4,667.8,-121.4,133.0,120.4,-1711.0,-675.8,-102.6,14.0,145.6,117.6,-1713.4,-362.4,-840.4,118.2,161.0,117.8,-1776.2,-541.8,-1968.6,104.2,127.6,123.6,-1876.4,-195.6,-3952.4,-61.6,94.8,139.4,-1931.0,267.4,-7087.8,-323.0,-83.0,126.0,-1830.6,1048.8,-10179.2,-44.8,-236.4,98.8,-1635.8,1034.6,-12075.2,-154.4,-441.6,58.2,-1427.6,2006.6,-12983.6,-393.6,-640.4,11.0,-1211.8,1624.8,-13014.8,-574.4,-904.0,-19.4,-930.2,1995.4,-12048.4,-325.4,-1120.4,-72.0,-722.0,2115.2,-9734.4,-1028.4,-1263.2,-164.0,-522.6,1741.2,-7643.2,-578.8,-1319.6,-174.4,-464.2,1541.6,-5791.6,-681.8,-1447.0,-257.8,-277.8,2460.2,-4071.6,-366.2,-1485.2,-220.0,-225.4,-314.8,-830.6,622.0,-1459.0,-201.4,-232.4,-1688.8,1580.2,666.6,-1470.4,-172.0,-278.4,-1731.0,3704.8,752.2,-1433.2,-142.4,-340.4,-1959.8,6796.4,1079.0,-1305.0,-120.8,-447.0,-2428.8,10856.0,1323.6,-993.4,-74.0,-666.6,-1525.6,13803.6,829.6,-799.8,4.0,-1013.0,-1537.4,15069.6,485.4,-404.6,0.2,-1290.6,-3751.4,14524.2,297.8,-311.4,105.6,-1578.6,-1467.8,12319.0,-1163.0,1.2,83.4,-1889.4,-2532.8,9468.0,-812.4,-116.0,131.2,-1894.6,-287.6,5998.2,15.8,84.2,111.2,-1803.2,128.6,3813.0,-293.6,UP
23.4,64.8,-1798.6,395.2,2259.0,-143.6,94.0,43.0,-1740.0,-457.6,1195.0,81.0,91.2,83.8,-1720.6,-302.4,267.8,46.8,80.2,84.0,-1746.6,-343.6,-662.6,-3.0,75.2,94.0,-1771.8,-569.8,-1990.6,-116.0,65.0,115.6,-1847.2,-765.4,-4088.6,-318.2,34.8,140.0,-1931.4,-556.2,-7342.4,-759.2,-132.2,145.2,-1828.4,-460.4,-10689.4,-1110.4,-306.6,97.6,-1589.8,274.0,-12697.8,-1360.6,-588.0,103.4,-1346.6,3648.2,-13235.0,-422.2,-735.8,60.0,-1082.4,4779.2,-12835.2,-150.4,-933.8,-42.0,-839.0,4584.8,-11813.0,89.0,-1195.4,-79.8,-632.8,3063.0,-10069.8,201.8,-1297.4,-142.6,-443.8,1878.2,-8156.0,-278.8,-1403.2,-221.6,-365.6,558.4,-5861.0,-785.2,-1582.2,-259.2,-267.0,-116.8,-3780.8,-1027.6,-1581.2,-255.8,-160.6,-261.6,-1568.0,-139.4,-1576.8,-241.8,-186.2,-987.4,540.8,641.2,-1531.8,-211.4,-263.4,-1764.0,1957.6,842.6,-1505.0,-202.6,-253.8,-2111.8,3523.2,1060.2,-1452.4,-148.4,-237.0,-2051.6,6120.4,1585.6,-1368.6,-99.8,-382.2,-2350.2,9501.6,1388.0,-1266.8,-29.4,-628.8,-2130.0,12129.4,1375.6,-986.8,47.8,-906.2,108.4,13340.4,1253.0,-648.6,16.6,-1187.4,-1274.8,13501.6,-67.4,-554.0,12.0,-1468.6,-1561.6,12174.4,-1420.0,-294.6,73.6,-1632.6,-4290.8,10551.6,-459.6,-124.2,232.4,-1720.8,-2105.0,8485.2,-341.0,25.0,127.8,-1840.4,558.0,6769.6,-470.6,45.8,123.8,-1822.6,1135.2,4390.0,515.0,UP
70.8,109.0,-1773.8,955.0,2837.8,-16.6,126.6,67.6,-1731.2,528.0,1493.2,0.6,126.6,75.2,-1745.2,-611.4,506.0,-66.4,111.6,85.8,-1749.0,-243.0,-500.2,245.0,147.6,96.2,-1783.8,-751.8,-1847.0,339.2,129.0,128.8,-1858.8,-1188.8,-3990.2,126.4,109.2,158.4,-1879.2,-1060.8,-6838.6,-454.8,-51.6,190.6,-1812.2,-889.4,-9639.2,-986.2,-314.2,198.6,-1627.6,-263.8,-11413.8,-1153.6,-499.2,147.2,-1401.4,1489.0,-12064.2,-965.2,-633.4,75.0,-1183.6,2974.6,-11867.8,-460.6,-849.0,45.0,-996.2,2746.0,-11347.2,216.0,-1096.4,29.0,-790.8,2270.4,-10713.8,-4.6,-1226.0,-44.0,-564.4,1271.4,-9124.6,-210.8,-1310.2,-79.6,-456.8,486.4,-6920.6,-349.8,-1447.4,-105.6,-310.4,-152.0,-4523.4,-196.2,-1565.4,-130.2,-265.8,-1063.2,-1715.2,-299.0,-1538.2,-153.0,-287.4,-951.4,448.8,94.8,-1494.0,-115.6,-370.0,-336.2,1713.2,538.2,-1476.6,-91.8,-349.4,-1052.6,3173.4,900.6,-1401.0,-50.2,-367.4,-1895.8,5384.8,1126.2,-1334.4,-26.6,-462.6,-2504.0,8067.8,1269.0,-1214.2,-1.4,-589.4,-906.2,10572.0,1516.8,-1055.4,51.0,-825.4,-596.4,12794.0,1678.4,-718.6,155.8,-1100.4,-73.4,13675.6,1050.8,-515.4,144.2,-1394.8,-1918.4,13095.4,-220.0,-281.8,186.4,-1524.0,-1531.6,10806.4,943.6,-200.2,150.8,-1766.6,-592.2,8869.2,124.8,-95.8,217.8,-1796.0,628.8,6815.0,1220.8,113.8,155.2,-1802.2,870.4,5086.0,676.6,UP
21.8,141.0,-1800.2,1289.8,3099.2,60.4,244.0,66.8,-1761.4,-352.8,1439.6,-542.8,130.4,73.2,-1789.4,-529.0,-254.4,18.4,141.8,169.4,-1685.4,-111.4,-591.6,89.4,136.6,103.6,-1721.6,-325.0,-1334.8,-308.2,91.4,104.0,-1836.6,-531.2,-3050.0,-222.6,106.0,138.4,-1944.8,-152.2,-6200.8,-129.4,-40.8,162.6,-1847.0,66.4,-9617.4,-390.6,-193.0,204.2,-1646.6,650.2,-11856.4,-857.8,-432.0,151.4,-1408.8,1394.8,-12640.0,-702.8,-616.8,121.2,-1202.0,2108.8,-12552.0,-886.6,-868.6,8.0,-998.6,2511.2,-11812.2,-813.6,-1066.8,-22.2,-811.4,2370.4,-10400.6,-684.2,-1281.0,-69.8,-591.4,1910.4,-8295.8,-344.0,-1343.6,-112.4,-465.4,585.8,-5913.8,301.4,-1428.6,-151.2,-416.4,-445.2,-3275.0,207.2,-1477.4,-178.6,-353.2,-281.8,-771.8,263.6,-1512.0,-159.0,-369.2,-594.6,1380.6,509.2,-1467.0,-116.2,-386.2,-1306.6,3542.8,875.6,-1402.4,-78.8,-412.6,-2308.0,5813.8,1262.6,-1323.0,-53.2,-531.6,-2824.4,8754.6,1533.2,-1142.0,31.4,-688.0,-1453.4,11045.0,1725.2,-944.8,76.6,-962.4,509.0,12645.8,1829.8,-709.8,50.0,-1171.2,-86.0,13834.2,1190.8,-459.2,100.8,-1426.6,-308.8,13429.6,1003.0,-200.6,139.0,-1657.6,-1449.8,11756.2,-241.8,10.2,170.4,-1861.8,-178.0,8593.0,250.2,182.0,109.8,-1859.0,701.0,5441.4,-1281.0,92.4,44.2,-1878.0,-355.6,3139.0,-165.8,176.0,66.6,-1788.0,-868.0,1271.6,145.4,UP
121.8,93.0,-1757.8,-933.4,96.6,125.6,189.4,154.8,-1756.4,-740.4,-885.6,112.2,120.4,134.0,-1799.4,-676.8,-2163.0,-326.4,115.2,151.6,-1908.6,-802.4,-4599.0,-390.0,83.4,186.0,-1911.0,-585.6,-7987.6,-292.0,-73.4,226.0,-1825.6,-264.8,-11251.4,-437.6,-292.6,218.4,-1597.8,1284.4,-13557.8,-718.6,-549.6,114.4,-1309.8,2005.6,-14233.4,-1225.4,-811.0,59.4,-1010.4,3400.6,-13545.0,-408.4,-1060.6,-23.0,-776.8,3601.8,-11841.2,-256.6,-1242.8,-84.4,-530.8,1781.0,-9239.4,124.8,-1352.2,-67.4,-427.6,-2026.6,-6140.8,-48.6,-1434.6,-60.4,-383.4,-3200.6,-3610.0,104.4,-1489.0,-27.2,-454.2,-805.4,-1895.0,14.8,-1538.0,-23.2,-380.2,725.8,-801.4,179.6,-1527.2,-47.8,-328.0,404.0,1291.0,533.8,-1476.8,-57.2,-284.4,-193.4,3659.6,1000.4,-1422.6,-34.0,-346.6,-1418.6,6511.2,1568.4,-1364.0,18.0,-496.8,-2252.6,9902.8,2046.4,-1100.2,70.0,-742.2,-1214.4,12177.0,2336.0,-982.2,187.6,-1038.0,179.6,12538.8,1155.2,-638.6,179.4,-1322.6,1034.2,11732.6,1763.0,-506.8,248.6,-1414.2,854.0,10621.6,970.0,-280.4,206.6,-1594.8,441.0,9585.0,-464.4,-220.4,145.4,-1667.2,-189.2,7966.6,-7.8,-99.8,204.4,-1701.0,-685.4,6361.8,-736.6,-22.6,125.4,-1761.4,-258.2,4762.8,-342.6,84.4,94.8,-1807.0,441.2,2694.4,-408.0,59.2,71.6,-1779.0,-166.0,1104.4,-65.0,82.0,117.8,-1748.6,-87.4,-116.8,-133.0,UP
102.6,141.4,-1757.2,-604.6,-1390.6,-154.4,61.8,140.8,-1796.4,-610.6,-2893.8,-279.0,60.2,160.8,-1819.6,-737.6,-5050.0,-444.4,-77.6,213.0,-1784.6,-862.4,-7141.2,-817.4,-243.0,217.2,-1704.4,-425.2,-8903.8,-941.0,-398.4,176.4,-1569.2,-327.8,-10457.0,-1174.6,-547.6,186.8,-1401.4,907.2,-11898.6,-1047.4,-744.8,144.0,-1194.8,1921.8,-12404.8,-1242.6,-933.6,75.6,-927.0,2667.0,-11950.4,-489.2,-1159.4,71.0,-709.0,1730.0,-10188.6,-453.2,-1282.4,0.0,-487.0,906.4,-7985.4,-168.0,-1370.4,-13.4,-450.8,678.2,-5574.6,-395.0,-1510.6,-53.6,-350.6,724.8,-3656.0,-175.6,-1611.6,-67.6,-207.0,1402.6,-1219.2,339.0,-1543.2,-23.6,-207.4,-321.2,2047.8,917.8,-1475.0,-7.8,-334.6,-1996.2,4219.0,973.6,-1478.0,13.2,-441.4,-1657.0,6045.0,1314.8,-1376.4,75.2,-532.8,-1326.8,8211.6,1631.8,-1187.8,118.2,-745.2,-2128.4,10209.2,1634.4,-1060.4,147.2,-978.0,-1605.8,11379.4,1774.8,-844.8,266.6,-1093.2,816.6,11152.0,2470.2,-469.6,227.8,-1345.4,866.6,11269.2,378.0,-493.2,123.0,-1458.8,1588.2,10400.2,-80.2,-270.4,49.6,-1555.4,1765.0,10025.2,565.6,-23.6,87.8,-1748.4,589.6,8059.4,-13.6,-123.8,42.4,-1875.6,285.8,5580.0,-291.8,39.4,28.8,-1842.0,-535.2,3178.4,8.6,143.6,53.2,-1799.2,263.6,1481.2,-51.6,109.8,44.2,-1784.2,-665.4,-148.6,15.0,53.2,49.0,-1760.6,-498.8,-1265.6,182.8,UP
1.4,241.0,-1602.8,580.8,324.2,-768.6,14.8,212.2,-1600.0,532.8,205.4,-654.6,-48.4,179.6,-1613.8,268.0,250.8,34.8,-32.8,166.0,-1602.2,371.8,283.0,123.8,-42.2,155.2,-1613.0,-346.0,415.2,63.8,-26.8,152.0,-1589.0,-494.8,517.4,-7.4,-24.8,134.4,-1556.0,-337.4,845.8,51.0,-4.2,120.0,-1487.0,-177.8,1539.0,360.2,8.4,80.4,-1379.2,-526.4,2993.6,722.0,112.6,93.8,-1309.8,-841.2,4936.0,1268.2,255.8,148.6,-1399.2,-1081.8,6813.8,1772.0,441.8,206.4,-1507.6,-1805.8,8213.2,2049.4,694.8,271.6,-1606.4,-2411.2,8327.8,2408.8,889.2,340.0,-1660.8,-1596.4,7319.8,1700.0,1001.8,379.4,-1597.8,-1746.2,6050.4,624.8,1058.8,380.0,-1541.0,-1790.8,4415.4,118.0,1107.4,399.2,-1431.2,-1313.4,1954.8,326.0,1124.4,413.2,-1506.0,572.4,-306.4,29.8,1086.2,377.4,-1528.8,769.6,-2360.8,-180.2,1037.2,347.8,-1545.6,706.0,-3783.6,-248.2,988.2,335.4,-1615.6,483.0,-5490.2,-805.6,925.2,344.8,-1628.2,1088.0,-7552.0,-1077.2,703.4,325.0,-1650.8,1020.2,-8941.8,-1556.2,507.6,277.8,-1657.8,556.6,-9951.8,-1226.4,262.4,271.4,-1563.0,1389.4,-10434.0,-1950.4,36.6,195.0,-1442.6,612.8,-9855.2,-1829.2,-103.4,173.0,-1383.6,1210.0,-9078.0,-1482.4,-388.8,136.2,-1348.4,887.0,-7292.8,-1008.0,-495.4,99.8,-1274.2,909.8,-5421.4,-286.2,-681.0,78.8,-1326.8,738.4,-2926.2,-453.4,DOWN
