TimeStamp,AccXAxis,AccYAxis,AccZAxis,GyroXAxis,GyroYAxis,GyroZAxis
0,68.0,91.0,-242.0,-145.0,3.0,-30.0,
1,65.0,90.0,-239.0,-24.0,8.0,-11.0,
2,66.0,92.0,-241.0,34.0,29.0,6.0,
3,64.0,89.0,-239.0,-13.0,14.0,1.0,
4,65.0,91.0,-236.0,-55.0,14.0,3.0,
5,65.0,91.0,-240.0,-23.0,15.0,7.0,
6,64.0,90.0,-237.0,-33.0,24.0,5.0,
7,66.0,91.0,-239.0,-55.0,12.0,15.0,
8,63.0,94.0,-240.0,-73.0,14.0,6.0,
9,65.0,92.0,-239.0,-39.0,26.0,7.0,
10,64.0,91.0,-233.0,20.0,17.0,3.0,
11,64.0,92.0,-223.0,76.0,-57.0,40.0,
12,60.0,85.0,-217.0,180.0,-246.0,56.0,
13,60.0,74.0,-203.0,360.0,-432.0,58.0,
14,43.0,62.0,-193.0,448.0,-844.0,47.0,
15,11.0,54.0,-219.0,683.0,-1145.0,-36.0,
16,2.0,52.0,-261.0,86.0,-1233.0,-16.0,
17,-33.0,58.0,-278.0,-161.0,-946.0,26.0,
18,-52.0,63.0,-283.0,-195.0,-805.0,29.0,
19,-56.0,61.0,-257.0,185.0,-618.0,25.0,
20,-67.0,37.0,-241.0,4.0,-672.0,23.0,
21,-84.0,49.0,-235.0,82.0,-664.0,-37.0,
22,-97.0,45.0,-225.0,93.0,-792.0,2.0,
23,-117.0,41.0,-238.0,157.0,-686.0,-46.0,
24,-121.0,36.0,-238.0,-23.0,-559.0,-62.0,
25,-134.0,42.0,-236.0,91.0,-360.0,-51.0,
26,-134.0,48.0,-237.0,49.0,-248.0,-16.0,
27,-135.0,41.0,-227.0,137.0,-176.0,-44.0,
28,-138.0,42.0,-233.0,-27.0,18.0,24.0,
29,-138.0,41.0,-233.0,-251.0,105.0,12.0,
30,-134.0,44.0,-243.0,-288.0,236.0,26.0,
31,-134.0,52.0,-261.0,-335.0,586.0,83.0,
32,-132.0,56.0,-276.0,-179.0,1004.0,90.0,
33,-105.0,54.0,-270.0,-507.0,1350.0,171.0,
34,-113.0,82.0,-257.0,-533.0,1674.0,230.0,
35,-47.0,41.0,-242.0,-154.0,1693.0,194.0,
36,-43.0,85.0,-232.0,-350.0,1557.0,322.0,
37,12.0,64.0,-211.0,-198.0,1324.0,25.0,
38,25.0,80.0,-220.0,-560.0,1324.0,42.0,
39,64.0,99.0,-196.0,-173.0,995.0,49.0,
40,82.0,96.0,-201.0,-283.0,787.0,117.0,
41,94.0,105.0,-185.0,-90.0,466.0,119.0,
42,115.0,106.0,-196.0,-107.0,138.0,73.0,
43,110.0,101.0,-204.0,-146.0,-116.0,-29.0,
44,102.0,113.0,-223.0,-224.0,7.0,8.0,
45,105.0,112.0,-212.0,-39.0,-33.0,5.0,
46,110.0,109.0,-203.0,90.0,-8.0,39.0,
47,104.0,102.0,-184.0,298.0,-35.0,19.0,
48,89.0,100.0,-181.0,267.0,-626.0,-5.0,
49,78.0,100.0,-191.0,343.0,-978.0,-22.0,
50,47.0,73.0,-206.0,293.0,-1380.0,-284.0,
51,41.0,71.0,-229.0,388.0,-1158.0,-136.0,
52,-6.0,87.0,-251.0,383.0,-1651.0,-56.0,
53,-21.0,85.0,-264.0,124.0,-1185.0,57.0,
54,-40.0,53.0,-269.0,-242.0,-845.0,132.0,
55,-65.0,76.0,-225.0,-242.0,-829.0,97.0,
56,-69.0,83.0,-248.0,684.0,-1045.0,-31.0,
57,-85.0,56.0,-251.0,159.0,-844.0,-2.0,
58,-121.0,55.0,-235.0,43.0,-760.0,-108.0,
59,-114.0,60.0,-235.0,334.0,-666.0,-101.0,
60,-133.0,57.0,-243.0,208.0,-394.0,-24.0,
61,-133.0,53.0,-233.0,88.0,-315.0,-20.0,
62,-132.0,50.0,-234.0,20.0,-124.0,-28.0,
63,-141.0,52.0,-235.0,-32.0,28.0,36.0,
64,-133.0,47.0,-229.0,-122.0,107.0,14.0,
65,-129.0,54.0,-251.0,-387.0,294.0,34.0,
66,-128.0,68.0,-261.0,-373.0,587.0,112.0,
67,-121.0,64.0,-265.0,-393.0,919.0,188.0,
68,-119.0,86.0,-279.0,-338.0,1327.0,187.0,
69,-88.0,71.0,-256.0,-301.0,1570.0,310.0,
70,-64.0,76.0,-241.0,-175.0,1549.0,188.0,
71,-28.0,56.0,-223.0,-63.0,1494.0,95.0,
72,-4.0,73.0,-250.0,-79.0,1516.0,64.0,
73,29.0,89.0,-227.0,-653.0,1573.0,136.0,
74,53.0,95.0,-197.0,-581.0,1067.0,120.0,
75,96.0,95.0,-167.0,-671.0,909.0,232.0,
76,112.0,110.0,-163.0,45.0,249.0,134.0,
77,120.0,107.0,-195.0,-10.0,185.0,-2.0,
78,126.0,119.0,-206.0,-180.0,-53.0,-50.0,
79,116.0,124.0,-206.0,-126.0,64.0,49.0,
80,118.0,115.0,-195.0,135.0,-23.0,68.0,
81,111.0,107.0,-182.0,228.0,-213.0,41.0,
82,99.0,96.0,-171.0,322.0,-798.0,50.0,
83,93.0,83.0,-182.0,198.0,-1157.0,-320.0,
84,37.0,102.0,-196.0,350.0,-1403.0,-224.0,
85,8.0,90.0,-236.0,554.0,-1470.0,-228.0,
86,-10.0,95.0,-263.0,17.0,-1504.0,-33.0,
87,-55.0,75.0,-262.0,0.0,-1170.0,-146.0,
88,-52.0,77.0,-249.0,14.0,-1126.0,-67.0,
89,-92.0,89.0,-248.0,88.0,-1045.0,-135.0,
90,-95.0,65.0,-234.0,157.0,-923.0,-263.0,
91,-120.0,92.0,-227.0,-366.0,-824.0,-113.0,
92,-131.0,81.0,-232.0,-310.0,-718.0,-123.0,
93,-142.0,88.0,-229.0,-216.0,-455.0,-76.0,
94,-143.0,90.0,-234.0,125.0,-218.0,-33.0,
95,-139.0,92.0,-218.0,-84.0,-124.0,1.0,
96,-143.0,91.0,-217.0,28.0,56.0,42.0,
97,-139.0,91.0,-219.0,-11.0,155.0,48.0,
98,-135.0,93.0,-236.0,-136.0,364.0,160.0,
99,-135.0,102.0,-240.0,-63.0,611.0,196.0,
100,-123.0,96.0,-262.0,-69.0,954.0,205.0,
101,-119.0,108.0,-259.0,-546.0,1283.0,368.0,
102,-109.0,115.0,-245.0,-398.0,1495.0,459.0,
103,-59.0,83.0,-215.0,-118.0,1493.0,425.0,
104,-43.0,110.0,-223.0,0.0,1416.0,369.0,
105,16.0,89.0,-235.0,170.0,1241.0,265.0,
106,13.0,97.0,-213.0,-569.0,1239.0,272.0,
107,56.0,106.0,-191.0,-155.0,1081.0,305.0,
108,86.0,108.0,-180.0,-367.0,916.0,272.0,
109,105.0,109.0,-168.0,-42.0,352.0,91.0,
110,120.0,124.0,-177.0,-206.0,239.0,-20.0,
111,121.0,126.0,-186.0,-243.0,100.0,16.0,
112,122.0,131.0,-184.0,-213.0,-14.0,27.0,
113,115.0,133.0,-194.0,9.0,21.0,38.0,
114,120.0,127.0,-193.0,91.0,2.0,10.0,
115,113.0,124.0,-191.0,136.0,-169.0,-31.0,
116,104.0,118.0,-184.0,287.0,-309.0,-76.0,
117,96.0,105.0,-190.0,309.0,-509.0,-276.0,
118,77.0,112.0,-185.0,279.0,-860.0,-263.0,
119,69.0,109.0,-188.0,172.0,-986.0,-315.0,
120,6.0,105.0,-194.0,529.0,-1334.0,-402.0,
121,6.0,105.0,-217.0,276.0,-1603.0,-311.0,
122,-50.0,113.0,-264.0,128.0,-1584.0,-227.0,
123,-64.0,83.0,-252.0,-426.0,-1269.0,-179.0,
124,-80.0,153.0,-234.0,-216.0,-1580.0,43.0,
125,-103.0,111.0,-236.0,106.0,-885.0,-291.0,
126,-117.0,96.0,-225.0,191.0,-829.0,-262.0,
127,-138.0,105.0,-236.0,-192.0,-630.0,-170.0,
128,-136.0,106.0,-223.0,-375.0,-401.0,-88.0,
129,-139.0,90.0,-222.0,-382.0,-128.0,-81.0,
130,-144.0,122.0,-199.0,-112.0,-151.0,-1.0,
131,-144.0,113.0,-204.0,-22.0,-2.0,34.0,
132,-143.0,122.0,-217.0,28.0,177.0,120.0,
133,-136.0,125.0,-242.0,-30.0,492.0,202.0,
134,-139.0,139.0,-260.0,491.0,1055.0,374.0,
135,-133.0,123.0,-268.0,-207.0,1482.0,582.0,
136,-108.0,114.0,-236.0,-828.0,1783.0,649.0,
137,-64.0,126.0,-199.0,-178.0,1756.0,669.0,
138,-24.0,121.0,-203.0,378.0,1543.0,474.0,
139,9.0,102.0,-195.0,130.0,1294.0,373.0,
140,33.0,119.0,-211.0,-465.0,1194.0,277.0,
141,59.0,125.0,-188.0,-1009.0,1077.0,226.0,
142,96.0,130.0,-154.0,-768.0,823.0,428.0,
143,111.0,134.0,-133.0,-456.0,910.0,387.0,
144,157.0,125.0,-145.0,180.0,209.0,166.0,
145,138.0,139.0,-163.0,-123.0,-201.0,-3.0,
146,131.0,151.0,-182.0,-172.0,-123.0,-56.0,
147,132.0,145.0,-185.0,3.0,-21.0,-13.0,
148,131.0,145.0,-166.0,274.0,-94.0,-46.0,
149,120.0,135.0,-149.0,465.0,-412.0,-117.0,
150,92.0,121.0,-167.0,209.0,-786.0,-402.0,
151,89.0,97.0,-173.0,652.0,-1097.0,-415.0,
152,27.0,139.0,-199.0,702.0,-1460.0,-573.0,
153,23.0,76.0,-205.0,427.0,-1853.0,-459.0,
154,-35.0,133.0,-242.0,180.0,-1460.0,-243.0,
155,-66.0,131.0,-251.0,329.0,-1669.0,-339.0,
156,-90.0,80.0,-257.0,-54.0,-1363.0,-349.0,
157,-134.0,124.0,-239.0,-262.0,-1095.0,-136.0,
158,-114.0,108.0,-244.0,-291.0,-836.0,-88.0,
159,-133.0,133.0,-223.0,-568.0,-622.0,-35.0,
160,-136.0,99.0,-212.0,174.0,-483.0,-71.0,
161,-141.0,122.0,-226.0,-82.0,-54.0,138.0,
162,-139.0,121.0,-192.0,-37.0,84.0,67.0,
163,-134.0,118.0,-205.0,-59.0,126.0,28.0,
164,-133.0,138.0,-229.0,-57.0,476.0,189.0,
165,-136.0,147.0,-250.0,110.0,829.0,303.0,
166,-122.0,153.0,-277.0,-21.0,1383.0,425.0,
167,-123.0,152.0,-252.0,-772.0,1799.0,703.0,
168,-90.0,135.0,-205.0,-400.0,1928.0,934.0,
169,-35.0,130.0,-184.0,98.0,1706.0,931.0,
170,-16.0,142.0,-199.0,375.0,1774.0,740.0,
171,42.0,126.0,-161.0,36.0,1162.0,685.0,
172,91.0,100.0,-143.0,-271.0,830.0,337.0,
173,124.0,127.0,-163.0,153.0,265.0,219.0,
174,132.0,126.0,-176.0,-191.0,-7.0,50.0,
175,109.0,142.0,-201.0,-4.0,-31.0,15.0,
176,109.0,140.0,-204.0,-26.0,-71.0,-54.0,
177,114.0,142.0,-210.0,36.0,-58.0,-32.0,
178,111.0,139.0,-199.0,-10.0,-23.0,2.0,
179,114.0,130.0,-206.0,-119.0,16.0,10.0,
180,110.0,136.0,-196.0,-56.0,-3.0,-2.0,
181,110.0,138.0,-201.0,-16.0,10.0,18.0,
182,106.0,140.0,-200.0,16.0,-3.0,28.0,
183,110.0,141.0,-207.0,-53.0,20.0,2.0,
184,112.0,141.0,-202.0,-107.0,13.0,13.0,
185,102.0,143.0,-198.0,-91.0,-6.0,-7.0,
186,111.0,138.0,-199.0,10.0,-57.0,-27.0,
187,107.0,142.0,-204.0,-34.0,-13.0,14.0,
188,110.0,140.0,-200.0,-164.0,0.0,11.0,
189,109.0,142.0,-201.0,-46.0,34.0,18.0,
