TimeStamp,AccXAxis,AccYAxis,AccZAxis,GyroXAxis,GyroYAxis,GyroZAxis,,AccXAxisAvg5,AccYAxisAvg5,AccZAxisAvg5,GyroXAxisAvg5,GyroYAxisAvg5,GyroZAxisAvg5,,AccXAxisAvg10,AccYAxisAvg10,AccZAxisAvg10,GyroXAxisAvg10,GyroYAxisAvg10,GyroZAxisAvg10,,AccXAxisAvg15,AccYAxisAvg15,AccZAxisAvg15,GyroXAxisAvg15,GyroYAxisAvg15,GyroZAxisAvg15
0,73,57,-249,520,228,53,,80,34.2,-249.8,-17.8,58.6,-21.6,,77.125,30.5,-249.625,-115.875,52.875,-384.875,,60,75.4,-243.5333333333,-90.4,193.3333333333,-608.6
1,80,41,-244,724,307,166,,79.8,27,-250.6,-174.4,24.6,-133.6,,78.875,34.75,-246.75,-170.5,21.5,-526.625,,57.9333333333,78.4,-244.7333333333,-156.8666666667,199.8,-630.5333333333
2,85,20,-245,-254,-124,-31,,83,21.2,-250.6,-392.8,-50.2,-404.4,,74.5,39.375,-247.625,-325.125,25.125,-730.625,,55.2,84.4,-242.8,-196.6,164.8,-638.5333333333
3,83,34,-253,-631,-119,-88,,75.8,25.2,-251.8,-383.4,2.4,-653.4,,66.75,54.25,-247.75,-381.25,97.625,-846,,52.2666666667,92.0666666667,-241.6666666667,-197.6666666667,164.5333333333,-620.3333333333
4,79,19,-258,-448,1,-208,,76.6,36.6,-246.4,-240.6,21.6,-852,,53.5,67.625,-248.75,-364.875,181.625,-977.625,,50.8666666667,100.5333333333,-237.4666666667,-127.6666666667,148.8666666667,-568.8
5,72,21,-253,-263,58,-507,,69.8,48.4,-245,-253.6,88.6,-1103.6,,47.5,79.25,-244.5,-144.125,252.75,-1043.75,,47.1333333333,108.7333333333,-235.8666666667,-127.2666666667,105.0666666667,-481.4666666667
6,96,12,-244,-368,-67,-1188,,60,72,-243.6,-341.6,168.2,-1193,,46.25,92.25,-243.5,-217.5,263.5,-1060.5,,45.6666666667,117.2,-232.9333333333,-92.4666666667,63.4666666667,-348.1333333333
7,49,40,-251,-207,139,-1276,,36.2,97.8,-247,-368,292.2,-1183.6,,41.5,115.875,-238.375,-79.5,327,-915.75,,40.8666666667,119.7333333333,-239.5333333333,-89.2,9.1333333333,-179.4
8,87,91,-226,83,-23,-1081,,32.6,112.2,-241.6,-63,378.4,-1075.8,,40.625,123.625,-240.375,-113.25,350.25,-790.75,,41.4666666667,124.1333333333,-237.6,-40.2666666667,-36.5333333333,8.4666666667
9,45,78,-251,-513,336,-1466,,27.6,119,-245.4,-249.6,411.8,-987.8,,34.625,128.625,-239,-107.625,325.875,-649.875,,37.6666666667,123.1333333333,-240.8666666667,4.2666666667,-75.1333333333,177.6
10,23,139,-246,-703,456,-954,,30.2,143.6,-235.8,0.2,432.8,-700.6,,34.125,135.75,-236.125,-77.25,267.875,-436.375,,34.6,118.5333333333,-239.8,46.2666666667,-148.8666666667,349.8666666667
11,-23,141,-261,-500,553,-1141,,34,136.2,-240,45.4,406.6,-565,,39,138.5,-229.125,63,166.625,-231.5,,35.4666666667,111.4,-241.4666666667,35.3333333333,-223.0666666667,480.6666666667
12,31,112,-224,1318,570,-737,,46.4,134.2,-230.8,171,252.4,-327.6,,44.75,138.625,-225.75,70.25,15.5,48.875,,37.2666666667,106.5333333333,-241.4,61.2666666667,-301.6,616.4
