TimeStamp,AccXAxis,AccYAxis,AccZAxis,GyroXAxis,GyroYAxis,GyroZAxis,,AccXAxisAvg5,AccYAxisAvg5,AccZAxisAvg5,GyroXAxisAvg5,GyroYAxisAvg5,GyroZAxisAvg5,,AccXAxisAvg10,AccYAxisAvg10,AccZAxisAvg10,GyroXAxisAvg10,GyroYAxisAvg10,GyroZAxisAvg10,,AccXAxisAvg15,AccYAxisAvg15,AccZAxisAvg15,GyroXAxisAvg15,GyroYAxisAvg15,GyroZAxisAvg15
0,73,39,-251,-2,18,7,,72.8,38.8,-250.6,-52.2,21.8,7.2,,72.5,45,-252.6,-36.2,38.9,67.2,,66.8666666667,50.6,-253.6666666667,-100.4,-3,448.3333333333
1,72,40,-251,-10,26,11,,73.4,38.4,-250,-47.4,24.6,11.2,,72,50,-252.4,-103.2,25.7,134.6,,66.2666666667,48.6,-253,-142.6,4.6666666667,533.9333333333
2,72,36,-249,-50,-15,3,,74.2,38.8,-249.2,-40.2,25.2,15.4,,70.4,56.5,-250.6,-171.6,-15.3,239.1,,66.8666666667,46.6666666667,-251.8,-154.8,-4.7333333333,608.1333333333
3,73,40,-253,-133,46,7,,73.6,42.4,-251.2,-12.4,38.4,29,,67.6,57.6,-253.3,-130.1,-28,383,,67.3333333333,44.2,-251.1333333333,-181.7333333333,7.9333333333,668.4
4,74,39,-249,-66,34,8,,73,44.2,-252.2,-7.6,34,56.4,,65.5,59,-253.9,-121.5,-27.3,527,,68.1333333333,41.2,-251.4,-203.4666666667,25.0666666667,729.0666666667
5,76,37,-248,22,32,27,,72.2,51.2,-254.6,-20.2,56,127.2,,63.9,56.5,-255.2,-124.5,-15.4,668.9,,69.4666666667,40.2,-251.6666666667,-272.1333333333,16.5333333333,783.5333333333
6,76,42,-247,26,29,32,,70.6,61.6,-254.8,-159,26.8,258,,62.7,53.7,-254.5,-190.2,-5.3,795.3,,72.2,37.2666666667,-250.3333333333,-277.9333333333,7.2666666667,811.6
7,69,54,-259,89,51,71,,66.6,74.2,-252,-303,-55.8,462.8,,63.2,50.6,-253.1,-212.1,-19.7,904.5,,75.4666666667,33.8666666667,-249.8,-227.8,2.2,820.8
8,70,49,-258,-109,24,144,,61.6,72.8,-255.4,-247.8,-94.4,737,,64.2,45.1,-251.1,-266.4,-7.3,988.1,,78.3333333333,30.8666666667,-249.1333333333,-214.4666666667,0.9333333333,812.5333333333
9,70,74,-261,-129,144,362,,58,73.8,-255.6,-235.4,-88.6,997.6,,65.7,39.7,-251,-301.4,20.6,1065.4,,81.1333333333,27.4,-248.5333333333,-216.7333333333,6.6666666667,785.8666666667
