TimeStamp,AccXAxis,AccYAxis,AccZAxis,GyroXAxis,GyroYAxis,GyroZAxis
0,-29.0,47.0,-252.0,-68.0,-1.0,3.0,
1,-27.0,49.0,-251.0,-43.0,0.0,18.0,
2,-31.0,51.0,-252.0,-26.0,25.0,9.0,
3,-31.0,49.0,-254.0,-24.0,6.0,8.0,
4,-29.0,49.0,-254.0,-48.0,20.0,13.0,
5,-29.0,50.0,-253.0,-42.0,-47.0,18.0,
6,-33.0,51.0,-252.0,-111.0,-101.0,50.0,
7,-30.0,50.0,-254.0,-63.0,-4.0,30.0,
8,-31.0,55.0,-258.0,-116.0,-22.0,53.0,
9,-28.0,59.0,-269.0,-387.0,-50.0,86.0,
10,-30.0,63.0,-290.0,-1166.0,77.0,269.0,
11,-42.0,105.0,-280.0,-1908.0,595.0,312.0,
12,6.0,136.0,-217.0,-2975.0,-143.0,-709.0,
13,-7.0,163.0,-177.0,-2094.0,647.0,-653.0,
14,-44.0,194.0,-163.0,-2011.0,-640.0,-405.0,
15,-42.0,203.0,-134.0,-1082.0,508.0,-20.0,
16,-58.0,218.0,-71.0,-2478.0,57.0,143.0,
17,-58.0,262.0,-35.0,-1713.0,-20.0,438.0,
18,-39.0,266.0,3.0,-673.0,-156.0,-122.0,
19,-26.0,275.0,-4.0,729.0,-258.0,-258.0,
20,-39.0,261.0,-32.0,-285.0,-518.0,-120.0,
21,-47.0,278.0,-47.0,-77.0,-50.0,108.0,
22,-38.0,294.0,15.0,-463.0,-1513.0,142.0,
23,15.0,260.0,-50.0,3074.0,479.0,723.0,
24,-49.0,232.0,-110.0,2911.0,-1728.0,1341.0,
25,-6.0,202.0,-143.0,3508.0,-681.0,1115.0,
26,50.0,74.0,-179.0,4543.0,562.0,1624.0,
27,-22.0,133.0,-216.0,1710.0,-1088.0,1231.0,
28,-20.0,83.0,-271.0,843.0,-166.0,304.0,
29,3.0,53.0,-283.0,718.0,49.0,-577.0,
30,22.0,56.0,-248.0,-336.0,108.0,-1090.0,
31,-4.0,49.0,-221.0,1948.0,893.0,-861.0,
32,78.0,44.0,-289.0,-241.0,378.0,-344.0,
33,53.0,21.0,-267.0,-137.0,-138.0,249.0,
34,61.0,3.0,-265.0,-264.0,-75.0,4.0,
35,64.0,5.0,-273.0,-692.0,-35.0,-174.0,
36,48.0,46.0,-293.0,-1578.0,103.0,-530.0,
37,52.0,64.0,-289.0,-2084.0,377.0,-630.0,
38,61.0,124.0,-281.0,-2371.0,-2.0,-146.0,
39,12.0,135.0,-251.0,-1681.0,467.0,-553.0,
40,1.0,211.0,-158.0,-2811.0,-609.0,-597.0,
41,-24.0,215.0,-103.0,-2091.0,-146.0,-273.0,
42,8.0,223.0,-85.0,-1221.0,-342.0,-1194.0,
43,-19.0,260.0,-68.0,-1603.0,32.0,-156.0,
44,-82.0,269.0,-83.0,-839.0,607.0,-405.0,
45,-31.0,245.0,-59.0,-911.0,105.0,-307.0,
46,-51.0,261.0,-30.0,260.0,-133.0,208.0,
47,-39.0,256.0,-22.0,410.0,-6.0,142.0,
48,-28.0,273.0,-13.0,996.0,-143.0,105.0,
49,-14.0,258.0,-51.0,2676.0,-540.0,452.0,
50,-20.0,217.0,-172.0,3421.0,738.0,391.0,
51,-54.0,166.0,-162.0,2479.0,-157.0,557.0,
52,-43.0,98.0,-207.0,3777.0,407.0,1032.0,
53,-8.0,42.0,-248.0,3192.0,570.0,978.0,
54,74.0,10.0,-281.0,1951.0,65.0,515.0,
55,5.0,5.0,-261.0,1588.0,-7.0,792.0,
56,48.0,-57.0,-279.0,1533.0,-39.0,473.0,
57,-2.0,-77.0,-264.0,286.0,25.0,153.0,
58,13.0,-69.0,-265.0,-19.0,270.0,-168.0,
59,47.0,-74.0,-259.0,-211.0,173.0,-139.0,
60,35.0,-66.0,-257.0,-605.0,36.0,-81.0,
61,33.0,-63.0,-265.0,-661.0,208.0,-161.0,
62,56.0,-35.0,-284.0,-1575.0,81.0,-239.0,
63,43.0,-9.0,-292.0,-2035.0,161.0,-119.0,
64,37.0,32.0,-246.0,-3836.0,93.0,-637.0,
65,27.0,78.0,-221.0,-3321.0,529.0,-682.0,
66,21.0,138.0,-106.0,-2847.0,326.0,-946.0,
67,-13.0,172.0,-106.0,-1477.0,161.0,-801.0,
68,36.0,236.0,-75.0,-2143.0,-392.0,-779.0,
69,-6.0,279.0,-89.0,-1548.0,191.0,-984.0,
70,-3.0,264.0,-41.0,-942.0,353.0,-395.0,
71,-23.0,284.0,-50.0,-349.0,-274.0,-348.0,
72,-2.0,262.0,-41.0,-231.0,-64.0,-54.0,
73,-43.0,270.0,-52.0,14.0,31.0,-22.0,
74,-15.0,279.0,-28.0,117.0,-691.0,187.0,
75,-35.0,256.0,-19.0,1606.0,258.0,502.0,
76,-2.0,261.0,-135.0,2634.0,-360.0,650.0,
77,-10.0,238.0,-166.0,3361.0,648.0,527.0,
78,-7.0,120.0,-144.0,3792.0,-161.0,467.0,
79,18.0,101.0,-249.0,1993.0,360.0,447.0,
