TimeStamp,AccXAxis,AccYAxis,AccZAxis,GyroXAxis,GyroYAxis,GyroZAxis
0,7.0,23.0,-277.0,-671.0,343.0,-112.0,
1,1.0,52.0,-261.0,-666.0,105.0,-242.0,
2,1.0,48.0,-246.0,-429.0,179.0,-127.0,
3,-6.0,60.0,-242.0,19.0,-113.0,72.0,
4,-3.0,50.0,-245.0,210.0,-31.0,85.0,
5,-3.0,48.0,-256.0,78.0,-26.0,45.0,
6,-1.0,51.0,-261.0,5.0,-28.0,47.0,
7,2.0,51.0,-263.0,99.0,-7.0,31.0,
8,-2.0,48.0,-251.0,278.0,-251.0,132.0,
9,2.0,36.0,-249.0,1411.0,-212.0,-111.0,
10,-21.0,3.0,-243.0,2314.0,261.0,208.0,
11,21.0,-75.0,-193.0,2508.0,-726.0,570.0,
12,-46.0,-76.0,-258.0,1092.0,197.0,949.0,
13,-31.0,-139.0,-233.0,1508.0,-1095.0,-15.0,
14,-77.0,-77.0,-239.0,-221.0,-179.0,630.0,
15,-76.0,-126.0,-229.0,1743.0,-434.0,-360.0,
16,-60.0,-152.0,-193.0,771.0,-545.0,91.0,
17,-104.0,-162.0,-190.0,1651.0,-588.0,-155.0,
18,-85.0,-220.0,-142.0,920.0,-336.0,3.0,
19,-107.0,-194.0,-170.0,-181.0,10.0,71.0,
20,-88.0,-205.0,-142.0,-481.0,-13.0,-122.0,
21,-98.0,-193.0,-159.0,-830.0,140.0,31.0,
22,-90.0,-184.0,-198.0,-1045.0,409.0,0.0,
23,-105.0,-182.0,-216.0,-1189.0,840.0,155.0,
24,-88.0,-147.0,-237.0,-2823.0,1162.0,504.0,
25,-53.0,-84.0,-290.0,-2356.0,1625.0,496.0,
26,-59.0,-62.0,-126.0,-3437.0,-206.0,-401.0,
27,-21.0,14.0,-229.0,-1330.0,385.0,-417.0,
28,-54.0,49.0,-173.0,-1069.0,136.0,-285.0,
29,23.0,24.0,-268.0,-765.0,527.0,-663.0,
30,3.0,75.0,-244.0,-206.0,194.0,-245.0,
31,-18.0,68.0,-284.0,-1268.0,46.0,-688.0,
32,3.0,-35.0,-328.0,1151.0,919.0,-1399.0,
33,-17.0,119.0,-177.0,1643.0,803.0,-1420.0,
34,-35.0,35.0,-251.0,328.0,487.0,-920.0,
35,23.0,64.0,-311.0,51.0,-43.0,-138.0,
36,27.0,-11.0,-190.0,-505.0,-812.0,594.0,
37,1.0,-15.0,-265.0,-829.0,-376.0,-22.0,
38,-1.0,21.0,-287.0,466.0,-426.0,133.0,
39,-34.0,12.0,-255.0,437.0,-298.0,296.0,
40,28.0,6.0,-282.0,901.0,623.0,-46.0,
41,-86.0,6.0,-214.0,1321.0,-754.0,694.0,
42,33.0,-69.0,-231.0,2615.0,604.0,-62.0,
43,22.0,-127.0,-224.0,3100.0,496.0,259.0,
44,-69.0,-161.0,-177.0,2680.0,323.0,299.0,
45,37.0,-221.0,-183.0,2410.0,802.0,-668.0,
46,-44.0,-205.0,-96.0,2059.0,-354.0,195.0,
47,-8.0,-241.0,-81.0,1963.0,194.0,-168.0,
48,43.0,-256.0,-74.0,2037.0,-52.0,-159.0,
49,-38.0,-265.0,-11.0,1244.0,-826.0,581.0,
50,-13.0,-271.0,7.0,950.0,-182.0,148.0,
51,13.0,-275.0,2.0,243.0,-133.0,86.0,
52,-2.0,-273.0,-6.0,-228.0,163.0,28.0,
53,-6.0,-281.0,-14.0,-1708.0,520.0,143.0,
54,9.0,-280.0,-57.0,-1971.0,349.0,-102.0,
55,-34.0,-266.0,-94.0,-2730.0,14.0,388.0,
56,33.0,-251.0,-144.0,-3241.0,-179.0,150.0,
57,24.0,-176.0,-146.0,-4040.0,-1286.0,448.0,
58,-76.0,-131.0,-191.0,-3706.0,-91.0,-359.0,
59,-93.0,-55.0,-202.0,-3728.0,-319.0,-109.0,
60,21.0,-2.0,-242.0,-2561.0,-49.0,-400.0,
61,12.0,54.0,-228.0,-863.0,-404.0,-32.0,
62,-35.0,52.0,-231.0,-379.0,-556.0,-60.0,
63,-36.0,67.0,-258.0,-82.0,-8.0,-123.0,
64,-41.0,68.0,-259.0,93.0,-95.0,91.0,
65,-30.0,63.0,-249.0,212.0,-91.0,64.0,
66,-40.0,61.0,-234.0,937.0,2.0,36.0,
67,-25.0,35.0,-239.0,2335.0,728.0,330.0,
68,28.0,-38.0,-198.0,3084.0,542.0,902.0,
69,-51.0,-108.0,-219.0,3092.0,250.0,536.0,
70,33.0,-183.0,-172.0,2888.0,-15.0,162.0,
71,-24.0,-223.0,-153.0,3039.0,104.0,-79.0,
72,-4.0,-233.0,-117.0,2261.0,22.0,-416.0,
73,-44.0,-252.0,-98.0,870.0,-15.0,-130.0,
74,11.0,-247.0,-68.0,1888.0,-430.0,-31.0,
75,-28.0,-264.0,-44.0,1461.0,-479.0,290.0,
76,-20.0,-274.0,-18.0,999.0,-479.0,257.0,
77,-26.0,-271.0,3.0,302.0,-182.0,150.0,
78,-29.0,-262.0,8.0,-16.0,30.0,7.0,
79,-25.0,-269.0,1.0,-510.0,123.0,93.0,
80,-34.0,-282.0,-32.0,-1369.0,338.0,221.0,
81,-39.0,-278.0,-85.0,-2406.0,258.0,397.0,
82,-71.0,-280.0,-87.0,-3698.0,449.0,275.0,
83,5.0,-229.0,-159.0,-3490.0,55.0,-64.0,
84,-8.0,-168.0,-168.0,-4070.0,-185.0,287.0,
85,-22.0,-119.0,-226.0,-4104.0,91.0,-754.0,
86,-59.0,0.0,-185.0,-3632.0,7.0,-726.0,
87,-55.0,72.0,-175.0,-1806.0,-890.0,-703.0,
88,-28.0,87.0,-223.0,-247.0,-695.0,-152.0,
89,-65.0,79.0,-229.0,140.0,-217.0,-82.0,
90,-59.0,72.0,-256.0,21.0,191.0,-43.0,
91,-35.0,79.0,-260.0,28.0,257.0,56.0,
92,-49.0,77.0,-239.0,205.0,-66.0,208.0,
93,-34.0,90.0,-238.0,1204.0,340.0,225.0,
94,-71.0,69.0,-242.0,2500.0,557.0,1054.0,
95,26.0,-36.0,-249.0,3973.0,1129.0,433.0,
96,-59.0,-103.0,-169.0,3798.0,40.0,1111.0,
97,26.0,-202.0,-185.0,3894.0,592.0,-464.0,
98,-39.0,-230.0,-118.0,2910.0,-390.0,-100.0,
99,-57.0,-237.0,-66.0,2441.0,-457.0,-230.0,
100,-34.0,-254.0,-24.0,2654.0,-750.0,-215.0,
101,-59.0,-240.0,-10.0,1507.0,-657.0,308.0,
102,-14.0,-284.0,13.0,920.0,-410.0,-65.0,
103,-10.0,-270.0,32.0,-9.0,-70.0,228.0,
104,-15.0,-263.0,41.0,252.0,-154.0,-73.0,
105,-2.0,-271.0,35.0,-447.0,99.0,42.0,
106,-26.0,-266.0,17.0,-1217.0,164.0,211.0,
107,-81.0,-271.0,-3.0,-2115.0,445.0,339.0,
108,35.0,-308.0,-97.0,-3132.0,712.0,-13.0,
109,-25.0,-215.0,-69.0,-4383.0,-135.0,310.0,
