TimeStamp,AccXAxis,AccYAxis,AccZAxis,GyroXAxis,GyroYAxis,GyroZAxis,,AccXAxisAvg5,AccYAxisAvg5,AccZAxisAvg5,GyroXAxisAvg5,GyroYAxisAvg5,GyroZAxisAvg5,,AccXAxisAvg10,AccYAxisAvg10,AccZAxisAvg10,GyroXAxisAvg10,GyroYAxisAvg10,GyroZAxisAvg10,,AccXAxisAvg15,AccYAxisAvg15,AccZAxisAvg15,GyroXAxisAvg15,GyroYAxisAvg15,GyroZAxisAvg15
0,23,81,-253,-454,-40,5,,18.4,83,-250.6,-108.6,30.4,29.8,,19.9,86.6,-246.2,-143.7,-40.9,34.6,,17.6153846154,91.3846153846,-247,-135.3846153846,-35.6153846154,30.5384615385
1,25,81,-246,178,68,-1,,17.2,84,-248.8,-62.4,47.6,51.2,,19.1,88.4,-245.5,-94.3,-47.3,30.6,,16.1538461538,94.5384615385,-248.1538461538,-69.2307692308,-5.7692307692,38.1538461538
2,20,79,-258,-69,9,-1,,18.4,85.4,-246.2,-108.6,11.4,56.2,,17.9,91,-246.1,-143.6,-59.2,32,,14.9230769231,98.6923076923,-250.6923076923,-47,28.2307692308,58
3,14,91,-251,6,80,69,,18.6,87.4,-243,-117,-20.2,65.2,,16.1,94.7,-245.4,-141.5,-50,39.4,,17.5384615385,99.4615384615,-255.5384615385,-39.5384615385,86.9230769231,74.6923076923
4,10,83,-245,-204,35,77,,20.2,87,-242,-170.4,-80.6,58,,15.1,97.8,-247.1,-101.5,-23.2,42.9,,18.9230769231,101.6153846154,-259.3846153846,-67.3846153846,174.8461538462,112.6153846154
5,17,86,-244,-223,46,112,,21.4,90.2,-241.8,-178.8,-112.2,39.4,,15,103,-250.5,-34.4,24.3,60.9,,22.3846153846,99.1538461538,-264.2307692308,-108.0769230769,297.3846153846,125.6923076923
6,31,88,-233,-53,-113,24,,21,92.8,-242.2,-126.2,-142.2,10,,18.7,103.3,-258.2,-9.3,96.9,71.3,,27.6153846154,97.3076923077,-261.8461538462,-225.3076923077,428.5384615385,157.2307692308
7,21,89,-242,-111,-149,44,,17.4,96.6,-246,-178.6,-129.8,7.8,,18.8,106.4,-265,-39.6,230.5,125.1,,32.3076923077,99.5384615385,-257.6923076923,-332.3076923077,581.0769230769,177.2307692308
8,22,89,-246,-261,-222,33,,13.6,102,-247.8,-166,-79.8,13.6,,22.2,102.6,-271.6,-101.8,408.2,145.4,,42.8461538462,102.8461538462,-249.1538461538,-372.6923076923,723,210.7692307692
9,16,99,-244,-246,-123,-16,,10,108.6,-252.2,-32.6,34.2,27.8,,28.5,99.9,-268.3,-250.4,605.5,194.3,,54.0769230769,104.3076923077,-240,-371.3846153846,851,242.5384615385
